variable,kind,n,spearman_with_rgpm,nonzero_rate,median,iqr,cap_hit_rate
RGPM_expansion_component,mechanism_component,83944,0.6195520710745288,0.1807157152387306,0.0,0.0,
RGPM_bridging_component,mechanism_component,83944,0.6642476512023602,0.20500571809777948,0.0,0.0,
RGPM_reconfiguration_component,mechanism_component,83944,0.5595496675115634,0.19003144953778708,0.0,0.0,
community_reach_z,delta_z,83944,0.3608647461791174,0.3297674640236348,0.0,0.0,0.22747307728962166
field_entropy_z,delta_z,83944,0.5209782026307551,0.31705660916801676,0.0,0.0,0.11455255884875631
cross_community_adoption_z,delta_z,83944,0.6459653037016535,0.25131039740779565,0.0,0.0,0.13132564566854094
path_shortening_z,delta_z,83944,0.11083294336949488,0.018679119412941963,0.0,0.0,0.016725436004955685
modularity_shock_z,delta_z,83944,0.5345330747181066,0.20823406080243972,0.0,0.0,0.08291241780234442
partition_change_z,delta_z,83944,0.5145036350052614,0.3421209377680358,0.0,0.207527741750836,0.10914419136567236
boundary_mixing_z,delta_z,83944,0.4304035998941847,0.3610502239588297,0.0,0.0,0.11705422662727533
post_perturbation_concentration_z,delta_z,83944,-0.5340236730268203,0.3763223101115029,0.0,0.8431134493457441,0.21355903935957304
hub_formation_z,delta_z,83944,0.029732439985504896,0.01067378252168112,0.0,0.0,0.007624130372629372
community_reach,delta_raw,83944,0.3023590928058569,0.8731535309253788,1.0,0.0,
field_entropy,delta_raw,83944,0.5533656754288705,0.8731535309253788,-1.000088900581841e-12,1.000088900581841e-12,
cross_community_adoption,delta_raw,83944,0.6264828408633012,0.22329171828838273,0.0,0.0,
path_shortening,delta_raw,83944,0.11851653819986699,0.017821404746021157,0.0,0.0,
modularity_shock,delta_raw,83944,0.5516005162989148,0.19603545220623272,0.0,0.0,
partition_change,delta_raw,83944,0.5272351977452959,0.29657867149528255,0.0,0.025142318859134226,
boundary_mixing,delta_raw,83944,0.42429236914086205,0.34732678928809685,0.0,0.0,
post_perturbation_concentration,delta_raw,83944,-0.5714639632254306,0.8731535309253788,1.0,0.17999999999999994,
hub_formation,delta_raw,83944,0.029793677249850273,1.0,1.0,0.0,
