scope,domain,control_tier,n_rows,tier_count,tier_rate,relaxed_tier_rate,n_controls_median,n_controls_min,n_controls_max
all,all,all_non_landmark,20986,665,0.03168779186124083,0.05594205660916802,104.0,50.0,20974.0
all,all,field_all_years,20986,509,0.02425426474792719,0.05594205660916802,104.0,50.0,20974.0
all,all,field_year,20986,6819,0.324930906318498,0.05594205660916802,104.0,50.0,20974.0
all,all,field_year3,20986,727,0.03464214238063471,0.05594205660916802,104.0,50.0,20974.0
all,all,field_year_refbin,20986,12266,0.5844848946916992,0.05594205660916802,104.0,50.0,20974.0
domain,advanced_mri_techniques_and_applications,all_non_landmark,1125,22,0.019555555555555555,0.058666666666666666,106.0,50.0,20974.0
domain,advanced_mri_techniques_and_applications,field_all_years,1125,44,0.03911111111111111,0.058666666666666666,106.0,50.0,20974.0
domain,advanced_mri_techniques_and_applications,field_year,1125,719,0.6391111111111111,0.058666666666666666,106.0,50.0,20974.0
domain,advanced_mri_techniques_and_applications,field_year3,1125,55,0.04888888888888889,0.058666666666666666,106.0,50.0,20974.0
domain,advanced_mri_techniques_and_applications,field_year_refbin,1125,285,0.25333333333333335,0.058666666666666666,106.0,50.0,20974.0
domain,autophagy_in_disease_and_therapy,all_non_landmark,1577,62,0.039315155358275206,0.04882688649334179,210.0,50.0,20974.0
domain,autophagy_in_disease_and_therapy,field_all_years,1577,15,0.009511731135066582,0.04882688649334179,210.0,50.0,20974.0
domain,autophagy_in_disease_and_therapy,field_year,1577,210,0.13316423589093215,0.04882688649334179,210.0,50.0,20974.0
domain,autophagy_in_disease_and_therapy,field_year3,1577,31,0.019657577679137603,0.04882688649334179,210.0,50.0,20974.0
domain,autophagy_in_disease_and_therapy,field_year_refbin,1577,1259,0.7983512999365885,0.04882688649334179,210.0,50.0,20974.0
domain,banking_stability_regulation_efficiency,all_non_landmark,1326,2,0.0015082956259426848,0.012066365007541479,125.0,51.0,20974.0
domain,banking_stability_regulation_efficiency,field_all_years,1326,14,0.010558069381598794,0.012066365007541479,125.0,51.0,20974.0
domain,banking_stability_regulation_efficiency,field_year,1326,97,0.07315233785822021,0.012066365007541479,125.0,51.0,20974.0
domain,banking_stability_regulation_efficiency,field_year_refbin,1326,1213,0.9147812971342383,0.012066365007541479,125.0,51.0,20974.0
domain,economic_growth_and_productivity,all_non_landmark,856,12,0.014018691588785047,0.017523364485981307,80.0,50.0,20974.0
domain,economic_growth_and_productivity,field_all_years,856,3,0.0035046728971962616,0.017523364485981307,80.0,50.0,20974.0
domain,economic_growth_and_productivity,field_year,856,208,0.24299065420560748,0.017523364485981307,80.0,50.0,20974.0
domain,economic_growth_and_productivity,field_year3,856,11,0.012850467289719626,0.017523364485981307,80.0,50.0,20974.0
domain,economic_growth_and_productivity,field_year_refbin,856,622,0.7266355140186916,0.017523364485981307,80.0,50.0,20974.0
domain,economic_theories_and_models,all_non_landmark,365,21,0.057534246575342465,0.08493150684931507,85.0,50.0,20974.0
domain,economic_theories_and_models,field_all_years,365,10,0.0273972602739726,0.08493150684931507,85.0,50.0,20974.0
domain,economic_theories_and_models,field_year,365,84,0.23013698630136986,0.08493150684931507,85.0,50.0,20974.0
domain,economic_theories_and_models,field_year3,365,23,0.06301369863013699,0.08493150684931507,85.0,50.0,20974.0
domain,economic_theories_and_models,field_year_refbin,365,227,0.6219178082191781,0.08493150684931507,85.0,50.0,20974.0
domain,economic_theory_and_institutions,all_non_landmark,494,115,0.23279352226720648,0.3076923076923077,107.0,50.0,20974.0
domain,economic_theory_and_institutions,field_all_years,494,37,0.07489878542510121,0.3076923076923077,107.0,50.0,20974.0
domain,economic_theory_and_institutions,field_year,494,107,0.2165991902834008,0.3076923076923077,107.0,50.0,20974.0
domain,economic_theory_and_institutions,field_year3,494,20,0.04048582995951417,0.3076923076923077,107.0,50.0,20974.0
domain,economic_theory_and_institutions,field_year_refbin,494,215,0.4352226720647773,0.3076923076923077,107.0,50.0,20974.0
domain,economic_theory_and_policy,all_non_landmark,287,24,0.08362369337979095,0.09407665505226481,80.0,53.0,20974.0
domain,economic_theory_and_policy,field_all_years,287,3,0.010452961672473868,0.09407665505226481,80.0,53.0,20974.0
domain,economic_theory_and_policy,field_year,287,124,0.43205574912891986,0.09407665505226481,80.0,53.0,20974.0
domain,economic_theory_and_policy,field_year3,287,10,0.03484320557491289,0.09407665505226481,80.0,53.0,20974.0
domain,economic_theory_and_policy,field_year_refbin,287,126,0.43902439024390244,0.09407665505226481,80.0,53.0,20974.0
domain,financial_markets_and_investment_strategies,all_non_landmark,1544,46,0.029792746113989636,0.05569948186528497,123.0,51.0,20974.0
domain,financial_markets_and_investment_strategies,field_all_years,1544,40,0.025906735751295335,0.05569948186528497,123.0,51.0,20974.0
domain,financial_markets_and_investment_strategies,field_year,1544,312,0.20207253886010362,0.05569948186528497,123.0,51.0,20974.0
domain,financial_markets_and_investment_strategies,field_year3,1544,32,0.02072538860103627,0.05569948186528497,123.0,51.0,20974.0
domain,financial_markets_and_investment_strategies,field_year_refbin,1544,1114,0.7215025906735751,0.05569948186528497,123.0,51.0,20974.0
domain,gamma_ray_bursts_and_supernovae,all_non_landmark,1531,4,0.002612671456564337,0.012410189418680601,162.0,52.0,20974.0
domain,gamma_ray_bursts_and_supernovae,field_all_years,1531,15,0.009797517962116264,0.012410189418680601,162.0,52.0,20974.0
domain,gamma_ray_bursts_and_supernovae,field_year,1531,423,0.2762900065316786,0.012410189418680601,162.0,52.0,20974.0
domain,gamma_ray_bursts_and_supernovae,field_year3,1531,11,0.007184846505551927,0.012410189418680601,162.0,52.0,20974.0
domain,gamma_ray_bursts_and_supernovae,field_year_refbin,1531,1078,0.7041149575440888,0.012410189418680601,162.0,52.0,20974.0
domain,gender_labor_and_family_dynamics,all_non_landmark,568,16,0.028169014084507043,0.04929577464788732,84.0,53.0,20974.0
domain,gender_labor_and_family_dynamics,field_all_years,568,12,0.02112676056338028,0.04929577464788732,84.0,53.0,20974.0
domain,gender_labor_and_family_dynamics,field_year,568,470,0.8274647887323944,0.04929577464788732,84.0,53.0,20974.0
