audit_type,run_name,check,domain,status,value,threshold,details,id_suffix_duplicate_rate,n_landmarks,label,expected_year,expected_doi,match_method,n_matches,matched_ids,matched_titles,source_domain
input_integrity,multi_domain,id_suffix_duplicate_rate,all,pass,0.003106581888917881,0.05,"34,336 unique suffixes / 34,443 rows",,,,,,,,,,
input_integrity,multi_domain,max_pairwise_id_suffix_jaccard,all,pass,0.005738161559888579,0.5,crispr vs ipsc_reprogramming,,,,,,,,,,
input_integrity,multi_domain,cross_domain_title_duplicate_rate,all,pass,0.003397913561847988,0.5,"33,665 unique title-domain pairs",,,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,crispr,pass,7565.0,1.0,"7,565 works; 3 landmarks",0.0,3.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,graphene_2d_materials,pass,7642.0,1.0,"7,642 works; 2 landmarks",0.0,2.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,ipsc_reprogramming,pass,10488.0,1.0,"10,488 works; 7 landmarks",0.0,7.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,transformer_foundation_models,pass,8748.0,1.0,"8,748 works; 3 landmarks",0.0,3.0,,,,,,,,
expected_landmark,,,crispr,matched,,,,,,Jinek 2012,2012.0,10.1126/science.1225829,doi_or_title,1.0,https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,crispr
expected_landmark,,,crispr,matched,,,,,,Cong/Mali 2013,2013.0,10.1126/science.1231143,doi_or_title,1.0,https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,crispr
expected_landmark,,,crispr,matched,,,,,,Mali 2013,2013.0,10.1126/science.1232033,doi_or_title,1.0,https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,crispr
expected_landmark,,,graphene_2d_materials,matched,,,,,,Novoselov 2004,2004.0,10.1126/science.1102896,doi_or_title,2.0,https://openalex.org/W2058122340; https://openalex.org/W3148579438,Electric Field Effect in Atomically Thin Carbon Films; Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials
expected_landmark,,,ipsc_reprogramming,matched,,,,,,Takahashi/Yamanaka 2006,2006.0,10.1016/j.cell.2006.07.024,doi_or_title,1.0,https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming
expected_landmark,,,ipsc_reprogramming,matched,,,,,,Yu 2007,2007.0,10.1126/science.1151526,doi_or_title,3.0,https://openalex.org/W2142046859; https://openalex.org/W1983494917; https://openalex.org/W2315891872,Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells; Induced Pluripotent Stem Cell Lines Derived From Human Somatic Cells; Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells,ipsc_reprogramming
expected_landmark,,,ipsc_reprogramming,matched,,,,,,Takahashi 2007,2007.0,10.1016/j.cell.2007.11.019,doi_or_title,3.0,https://openalex.org/W2138977668; https://openalex.org/W2071699739; https://openalex.org/W2317756796,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors; Induction of Pluripotent Stem Cells From Adult Human Fibroblasts by Defined Factors; Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,ipsc_reprogramming
expected_landmark,,,transformer_foundation_models,configured_placeholder,,,,,,Vaswani 2017,2017.0,10.48550/arxiv.1706.03762,configured_doi_for_missing_transformer_landmark,1.0,configured_landmark::transformer_foundation_models::10.48550/arxiv.1706.03762,Vaswani 2017,transformer_foundation_models
expected_landmark,,,transformer_foundation_models,configured_placeholder,,,,,,BERT 2018,2018.0,10.48550/arxiv.1810.04805,configured_doi_for_missing_transformer_landmark,1.0,configured_landmark::transformer_foundation_models::10.48550/arxiv.1810.04805,BERT 2018,transformer_foundation_models
expected_landmark,,,transformer_foundation_models,matched,,,,,,GPT-3 2020,2020.0,10.48550/arxiv.2005.14165,doi_or_title,1.0,https://openalex.org/W3030163527,Language Models are Few-Shot Learners,transformer_foundation_models
