scope,domain,control_tier,n_rows,tier_count,tier_rate,relaxed_tier_rate,n_controls_median,n_controls_min,n_controls_max
all,all,all_non_landmark,5928,1310,0.22098515519568152,0.2898110661268556,152.0,50.0,5921.0
all,all,field_all_years,5928,408,0.06882591093117409,0.2898110661268556,152.0,50.0,5921.0
all,all,field_year,5928,422,0.07118758434547909,0.2898110661268556,152.0,50.0,5921.0
all,all,field_year3,5928,441,0.07439271255060728,0.2898110661268556,152.0,50.0,5921.0
all,all,field_year_refbin,5928,3347,0.564608636977058,0.2898110661268556,152.0,50.0,5921.0
domain,crispr,all_non_landmark,1432,320,0.22346368715083798,0.316340782122905,159.0,50.0,5920.0
domain,crispr,field_all_years,1432,133,0.09287709497206705,0.316340782122905,159.0,50.0,5920.0
domain,crispr,field_year,1432,81,0.05656424581005587,0.316340782122905,159.0,50.0,5920.0
domain,crispr,field_year3,1432,127,0.08868715083798882,0.316340782122905,159.0,50.0,5920.0
domain,crispr,field_year_refbin,1432,771,0.5384078212290503,0.316340782122905,159.0,50.0,5920.0
domain,graphene_2d_materials,all_non_landmark,325,139,0.4276923076923077,0.6492307692307693,113.0,52.0,5921.0
domain,graphene_2d_materials,field_all_years,325,72,0.22153846153846155,0.6492307692307693,113.0,52.0,5921.0
domain,graphene_2d_materials,field_year,325,63,0.19384615384615383,0.6492307692307693,113.0,52.0,5921.0
domain,graphene_2d_materials,field_year3,325,51,0.15692307692307692,0.6492307692307693,113.0,52.0,5921.0
domain,ipsc_reprogramming,all_non_landmark,2604,723,0.27764976958525345,0.337173579109063,232.0,50.0,5920.0
domain,ipsc_reprogramming,field_all_years,2604,155,0.05952380952380952,0.337173579109063,232.0,50.0,5920.0
domain,ipsc_reprogramming,field_year,2604,119,0.0456989247311828,0.337173579109063,232.0,50.0,5920.0
domain,ipsc_reprogramming,field_year3,2604,66,0.02534562211981567,0.337173579109063,232.0,50.0,5920.0
domain,ipsc_reprogramming,field_year_refbin,2604,1541,0.5917818740399385,0.337173579109063,232.0,50.0,5920.0
domain,transformer_foundation_models,all_non_landmark,1567,128,0.0816847479259732,0.11231652839821314,125.0,52.0,5920.0
domain,transformer_foundation_models,field_all_years,1567,48,0.03063178047223995,0.11231652839821314,125.0,52.0,5920.0
domain,transformer_foundation_models,field_year,1567,159,0.10146777281429484,0.11231652839821314,125.0,52.0,5920.0
domain,transformer_foundation_models,field_year3,1567,197,0.12571793235481812,0.11231652839821314,125.0,52.0,5920.0
domain,transformer_foundation_models,field_year_refbin,1567,1035,0.6604977664326739,0.11231652839821314,125.0,52.0,5920.0
