community,label,x,y
0,crispr: 3D Printing in Biomedical Research,-0.0470435835151938,0.0003051234384475
1,crispr: ATP Synthase and ATPases Research,0.4802977719092731,0.8279759915541814
2,crispr: Academic Publishing and Open Access,0.9765872864423476,-0.0080470497147534
3,crispr: Academic and Historical Perspectives in Psychology,0.3198039578418992,0.7319357048279749
4,crispr: Accounting Education and Careers,0.3871693210858722,0.6633718541252465
5,crispr: Acne and Rosacea Treatments and Effects,-0.1315255393117805,0.0137448642618121
6,crispr: Acoustic Wave Resonator Technologies,-0.753524341587221,0.6201354800057214
7,crispr: Actinomycetales infections and treatment,-0.1094498789072677,0.1535909544099247
8,crispr: Acupuncture Treatment Research Studies,-0.6837220185786471,-0.3948781722418112
9,crispr: Acute Myeloid Leukemia Research,0.0436637953175168,-0.0746113288144277
10,crispr: Adipose Tissue and Metabolism,0.0694902236803516,-0.0818298688302924
11,crispr: Administrative Law and Governance,-0.324095713008021,0.9005025630501259
12,crispr: Advanced Breast Cancer Therapies,0.0394026135897977,0.0975974027274043
13,crispr: Advanced Chemical Physics Studies,0.2402679013364608,0.8470585041043218
14,crispr: Advanced Data Compression Techniques,-0.9046878781112532,0.4461303496629419
15,crispr: Advanced Data Storage Technologies,0.5259429230167993,-0.8203811455672875
16,crispr: Advanced Database Systems and Queries,0.7510106678801137,0.0917383374391711
17,crispr: Advanced Drug Delivery Systems,-0.0402749826362431,0.9410152481689216
18,crispr: Advanced Fluorescence Microscopy Techniques,-0.0479704358919116,-0.044066499970755
19,crispr: Advanced MRI Techniques and Applications,0.6025591170269899,-0.4075884840002318
20,crispr: Advanced Mathematical Theories and Applications,-0.0669118325113602,0.1167859421747621
21,crispr: Advanced Measurement and Detection Methods,0.7950449781281035,-0.439699817084806
22,crispr: Advanced Multi-Objective Optimization Algorithms,-0.1708521116716949,-0.7256045237533809
23,crispr: Advanced Nanomaterials in Catalysis,-0.1164504631664874,0.1489270183657516
24,crispr: Advanced Proteomics Techniques and Applications,-0.0474043398746015,-0.0810475676499893
25,crispr: Advanced Statistical Process Monitoring,0.7022296728686146,0.20078615196878
26,crispr: Advanced Surface Polishing Techniques,-0.6519981544326663,-0.7084602650560887
27,crispr: Advanced Text Analysis Techniques,-0.188823472492059,-0.0757778841202959
28,crispr: Advanced Theoretical and Applied Studies in Material Sciences and Geometry,0.8466441144381042,0.377279122639421
29,crispr: Advanced Topics in Algebra,-0.1922714900393574,0.0685935749794805
30,crispr: Advanced biosensing and bioanalysis techniques,-0.0364730826508622,0.0161312763234551
31,crispr: Advancements in Transdermal Drug Delivery,0.7634161733434792,-0.1291734784824206
32,crispr: Advances in Cucurbitaceae Research,-0.6799970448991499,-0.5495916909720864
33,crispr: Aerogels and thermal insulation,0.0088055434292775,0.7821687765600751
34,"crispr: Aging, Health, and Disability",0.8106068709663625,0.5568838516425392
