model,kind,metric,oof_spearman,ci_low,ci_high,delta_vs_equal,fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,linear_oof_spearman,equal_weight_spearman,delta_vs_linear
equal_weights,fixed,,0.35958088643916664,0.3370489351040065,0.3814074347410648,0.0,,,,,,,,,
best_single_indicator,single_indicator,RS,0.3352637478818846,0.31181671280755935,0.3569941525124539,-0.024317138557282014,,,,,,,,,
reference_count,bibliometric,,0.017453279311477617,-0.006377587297663992,0.04295082764808812,-0.342127607127689,,,,,,,,,
cited_by_count,bibliometric,,0.005424102406388433,-0.01889620019438548,0.029324271389173116,-0.3541567840327782,,,,,,,,,
random_dirichlet_median,sampled_weights,,0.34748317529124273,,,-0.012097711147923906,,,,,,,,,
learned_weight_oof,learned_hybrid,,0.4056501056367717,0.38377636039991747,0.4257430200121192,0.04606921919760504,,,,,,,,,
quadratic_ridge_oof,,,,,,0.08838489920099868,0.0,5928.0,5928.0,,,0.4479657856401653,0.4056501056367717,0.35958088643916664,0.04231568000339364
quadratic_ridge_oof_fold,,,,,,,1.0,4496.0,1432.0,0.01,0.5118760662525373,0.3515723980908069,0.4056501056367717,0.35958088643916664,
quadratic_ridge_oof_fold,,,,,,,2.0,5603.0,325.0,0.01,0.4905613563825196,0.4516397074440292,0.4056501056367717,0.35958088643916664,
quadratic_ridge_oof_fold,,,,,,,3.0,3324.0,2604.0,0.1,0.49826120419676767,0.4440070039927336,0.4056501056367717,0.35958088643916664,
quadratic_ridge_oof_fold,,,,,,,4.0,4361.0,1567.0,0.01,0.4542118670776877,0.5337257467261757,0.4056501056367717,0.35958088643916664,
