scope,domain,fold_id,metric,metric_active,target,n,spearman
all,all,-1,B,1,RGPM,5928,0.130522183677793
all,all,-1,B,1,RGPM_v3_balanced,5928,0.15987066774159125
all,all,-1,B,1,RGPM_mahalanobis_debug,5928,0.1632298805397641
all,all,-1,B,1,RGPM_breadth_component,5928,0.02789045859771143
all,all,-1,B,1,RGPM_boundary_component,5928,0.2185087102682767
all,all,-1,B,1,RGPM_consolidation_component,5928,-0.06192750302860521
all,all,-1,B,1,community_reach_z,5928,-0.043787584239363055
all,all,-1,B,1,field_entropy_z,5928,0.019367427968795984
all,all,-1,B,1,cross_community_adoption_z,5928,0.07224811348062239
all,all,-1,B,1,path_shortening_z,5928,0.17829972455948767
all,all,-1,B,1,modularity_shock_z,5928,0.2048454118903497
all,all,-1,B,1,partition_change_z,5928,0.15828132408478898
all,all,-1,B,1,boundary_mixing_z,5928,0.08944273225163718
all,all,-1,B,1,post_perturbation_concentration_z,5928,-0.085591924955157
all,all,-1,B,1,hub_formation_z,5928,0.006416464233044443
all,all,-1,RS,1,RGPM,5928,0.3352637478818846
all,all,-1,RS,1,RGPM_v3_balanced,5928,0.3358935494276773
all,all,-1,RS,1,RGPM_mahalanobis_debug,5928,0.363868354879763
all,all,-1,RS,1,RGPM_breadth_component,5928,0.17966726459259702
all,all,-1,RS,1,RGPM_boundary_component,5928,0.3495691412718111
all,all,-1,RS,1,RGPM_consolidation_component,5928,-0.10962801174458346
all,all,-1,RS,1,community_reach_z,5928,0.020687372218093712
all,all,-1,RS,1,field_entropy_z,5928,0.12129603125319174
all,all,-1,RS,1,cross_community_adoption_z,5928,0.23705910012687392
all,all,-1,RS,1,path_shortening_z,5928,0.4008139533171403
all,all,-1,RS,1,modularity_shock_z,5928,0.20801680500357378
all,all,-1,RS,1,partition_change_z,5928,0.45548463701722314
all,all,-1,RS,1,boundary_mixing_z,5928,-0.13295200405368768
all,all,-1,RS,1,post_perturbation_concentration_z,5928,-0.16475467905485403
all,all,-1,RS,1,hub_formation_z,5928,0.011953273393907558
all,all,-1,DeltaQ0,1,RGPM,5928,0.3103907225314169
all,all,-1,DeltaQ0,1,RGPM_v3_balanced,5928,0.28735521116003127
all,all,-1,DeltaQ0,1,RGPM_mahalanobis_debug,5928,0.16053960144560883
all,all,-1,DeltaQ0,1,RGPM_breadth_component,5928,0.10777520842901105
all,all,-1,DeltaQ0,1,RGPM_boundary_component,5928,0.3488844758819997
all,all,-1,DeltaQ0,1,RGPM_consolidation_component,5928,-0.05219539019779282
all,all,-1,DeltaQ0,1,community_reach_z,5928,0.011215287774682784
all,all,-1,DeltaQ0,1,field_entropy_z,5928,0.05660988414844002
all,all,-1,DeltaQ0,1,cross_community_adoption_z,5928,0.1387915463650905
all,all,-1,DeltaQ0,1,path_shortening_z,5928,0.09022245377032247
all,all,-1,DeltaQ0,1,modularity_shock_z,5928,0.6378785199589154
all,all,-1,DeltaQ0,1,partition_change_z,5928,0.09455142523071462
all,all,-1,DeltaQ0,1,boundary_mixing_z,5928,0.5019303385773011
all,all,-1,DeltaQ0,1,post_perturbation_concentration_z,5928,-0.06727131341216777
all,all,-1,DeltaQ0,1,hub_formation_z,5928,-0.010916729698349004
all,all,-1,Uzzi,1,RGPM,5928,-0.03871495711235384
all,all,-1,Uzzi,1,RGPM_v3_balanced,5928,-0.11861261066886258
all,all,-1,Uzzi,1,RGPM_mahalanobis_debug,5928,-0.14697125277973672
all,all,-1,Uzzi,1,RGPM_breadth_component,5928,-0.08273563167492189
all,all,-1,Uzzi,1,RGPM_boundary_component,5928,-0.11752643081609977
all,all,-1,Uzzi,1,RGPM_consolidation_component,5928,-0.11708897933635805
all,all,-1,Uzzi,1,community_reach_z,5928,0.017032943314769962
all,all,-1,Uzzi,1,field_entropy_z,5928,0.06120240533721479
all,all,-1,Uzzi,1,cross_community_adoption_z,5928,-0.012018529360725906
all,all,-1,Uzzi,1,path_shortening_z,5928,0.08073928852915148
all,all,-1,Uzzi,1,modularity_shock_z,5928,-0.05775908864708543
all,all,-1,Uzzi,1,partition_change_z,5928,4.7501257726036806e-05
all,all,-1,Uzzi,1,boundary_mixing_z,5928,-0.0013412648935098507
all,all,-1,Uzzi,1,post_perturbation_concentration_z,5928,-0.045349671238357
all,all,-1,Uzzi,1,hub_formation_z,5928,-0.00447948650358976
all,all,-1,RTD,1,RGPM,5928,0.32887483687616653
all,all,-1,RTD,1,RGPM_v3_balanced,5928,0.3236209126673467
all,all,-1,RTD,1,RGPM_mahalanobis_debug,5928,0.3557310462998793
all,all,-1,RTD,1,RGPM_breadth_component,5928,0.17283244404409845
all,all,-1,RTD,1,RGPM_boundary_component,5928,0.3323730921923858
all,all,-1,RTD,1,RGPM_consolidation_component,5928,-0.10625029630806879
all,all,-1,RTD,1,community_reach_z,5928,0.01794276209284951
all,all,-1,RTD,1,field_entropy_z,5928,0.11790940257516726
all,all,-1,RTD,1,cross_community_adoption_z,5928,0.22811482192081892
all,all,-1,RTD,1,path_shortening_z,5928,0.37667162398817855
all,all,-1,RTD,1,modularity_shock_z,5928,0.2061601358492304
all,all,-1,RTD,1,partition_change_z,5928,0.45512803589940887
all,all,-1,RTD,1,boundary_mixing_z,5928,-0.16209387363001931
all,all,-1,RTD,1,post_perturbation_concentration_z,5928,-0.16120316610697974
all,all,-1,RTD,1,hub_formation_z,5928,0.014597081793358864
all,all,-1,BurtIP,1,RGPM,5928,0.14750245127363998
all,all,-1,BurtIP,1,RGPM_v3_balanced,5928,0.12919514801517928
all,all,-1,BurtIP,1,RGPM_mahalanobis_debug,5928,0.12227766526837867
all,all,-1,BurtIP,1,RGPM_breadth_component,5928,0.007521489042154393
all,all,-1,BurtIP,1,RGPM_boundary_component,5928,0.18879351952137854
all,all,-1,BurtIP,1,RGPM_consolidation_component,5928,-0.056742452231260954
all,all,-1,BurtIP,1,community_reach_z,5928,-0.0456157155420912
all,all,-1,BurtIP,1,field_entropy_z,5928,0.015931087623846377
all,all,-1,BurtIP,1,cross_community_adoption_z,5928,0.06245083117797643
