pair_valid,metric_x,metric_y,pair_label,n_grid_cells,p95_delta_vs_equal,max_delta_vs_equal,mean_positive_delta_vs_equal,positive_cell_rate,fold_stability,fold_p95_min,best_pair_mass,best_share_to_first,pair_key,selected_for_panel_d,coverage_pair,weak_pair,selection_score
True,Uzzi,RTD,Uzzi × RTD,625,0.05803086148950523,0.05906282598707351,0.031623495251135524,0.776,0.75,0.007017906891221435,0.16666666666666666,0.375,RTD|Uzzi,0,0,0,0.0810765679862736
True,RTD,BurtIP,RTD × Burt IP,625,0.05732968305233319,0.058796784564160286,0.02298486623133122,0.5872,1.0,0.021140817984916082,0.125,0.7083333333333333,BurtIP|RTD,1,1,0,0.07964487919337328
True,RS,RTD,RS × RTD,625,0.058338415268559235,0.059372349455036603,0.024670995251578183,0.696,0.75,0.007720076422943704,0.3333333333333333,0.16666666666666666,RS|RTD,0,0,0,0.07906150263231838
True,RTD,PDE,RTD × PDE,625,0.058032216599116,0.05850881460531796,0.024948590193046315,0.6864,0.75,0.0070212139672939265,0.3333333333333333,0.125,PDE|RTD,0,0,0,0.07825142025044549
True,B,RTD,B × RTD,625,0.056412023575332884,0.058351199852157816,0.021418534831686684,0.5616,1.0,0.014421435390445414,0.08333333333333333,0.041666666666666664,B|RTD,1,1,0,0.07784782353837234
True,Uzzi,PDE,Uzzi × PDE,625,0.056273225154370096,0.05907349651624478,0.021155152718832913,0.7008,0.75,0.004709276505487137,0.375,0.16666666666666666,PDE|Uzzi,0,0,0,0.07706559928343129
True,RS,Uzzi,RS × Uzzi,625,0.05548953928086108,0.058461230870764276,0.02048659642163077,0.6832,0.75,0.0025263243666247878,0.3333333333333333,0.9166666666666666,RS|Uzzi,0,0,0,0.07560084699855216
True,BurtIP,PDE,Burt IP × PDE,625,0.053927978524838716,0.05857568719663917,0.01508555278421137,0.5376,1.0,0.01756817503383954,0.3333333333333333,0.08333333333333333,BurtIP|PDE,0,0,0,0.07469990032399852
True,RS,BurtIP,RS × Burt IP,625,0.053108311938125624,0.05775844051449728,0.014661119324176542,0.536,1.0,0.015154884298041193,0.3333333333333333,0.875,BurtIP|RS,0,0,0,0.07362792206674995
True,DeltaQ0,RTD,ΔQ0 × RTD,625,0.05690761818673769,0.059115009464184805,0.017264689883562973,0.5248,0.75,0.00750545735282364,0.625,0.5833333333333333,DeltaQ0|RTD,0,0,0,0.0724303705527839
True,B,PDE,B × PDE,625,0.05201063259703166,0.05864431318033985,0.013982908131569622,0.5152,1.0,0.011534871006364796,0.29166666666666663,0.0,B|PDE,0,0,0,0.07212771089211663
True,RS,PDE,RS × PDE,625,0.05674531307311638,0.058454394518199414,0.018016012033780737,0.52,0.75,0.004786512824303015,0.5,0.25,PDE|RS,1,0,0,0.07195891170266623
True,RS,DeltaQ0,RS × ΔQ0,625,0.05596028516692329,0.05820761338656331,0.017487604471356694,0.5424,0.75,0.005433296316706613,0.5416666666666666,0.375,DeltaQ0|RS,0,0,0,0.07178418851356412
True,DeltaQ0,PDE,ΔQ0 × PDE,625,0.05540080821153035,0.059095670471388174,0.017276350570055433,0.5424,0.75,0.004692953329914072,0.7083333333333333,0.5,DeltaQ0|PDE,0,0,0,0.07144672582937739
True,Uzzi,BurtIP,Uzzi × Burt IP,625,0.05574820129132391,0.05646457829657906,0.021719178559167055,0.5184,0.75,0.00012458843736023691,0.125,0.4583333333333333,BurtIP|Uzzi,0,0,0,0.07041634586546867
True,B,Uzzi,B × Uzzi,625,0.055165382390622505,0.05601471821071414,0.02033835802183371,0.4992,0.75,-0.005312974714881327,0.08333333333333333,0.041666666666666664,B|Uzzi,0,0,0,0.06914506194330104
True,B,RS,B × RS,625,0.05165305229392304,0.058045722924798517,0.013595558169964847,0.5136,0.75,0.008776455508221202,0.29166666666666663,0.0,B|RS,0,0,0,0.06657248302512267
True,DeltaQ0,Uzzi,ΔQ0 × Uzzi,625,0.05244817042999285,0.058923671845503435,0.011998990731815653,0.416,0.75,0.003421408644420833,0.41666666666666663,0.875,DeltaQ0|Uzzi,1,0,0,0.06465908839136872
True,B,BurtIP,B × Burt IP,625,0.05533583257746632,0.05599349581914186,0.013054864418868217,0.32,0.75,-0.0030709361917738444,0.041666666666666664,0.0,B|BurtIP,0,0,0,0.06393420653225178
True,DeltaQ0,BurtIP,ΔQ0 × Burt IP,625,0.04796790729285403,0.05820189501460365,0.008149184638529537,0.3056,1.0,0.014989782485880749,0.375,0.9166666666666666,BurtIP|DeltaQ0,0,0,0,0.06168638104650494
True,B,DeltaQ0,B × ΔQ0,625,0.04499288082781279,0.05805816735508788,0.007339266393057098,0.28,0.75,0.00942341894997347,0.3333333333333333,0.0,B|DeltaQ0,0,0,0,0.052907422666584755
