variable,kind,n,spearman_with_rgpm,nonzero_rate,median,iqr,cap_hit_rate
RGPM_breadth_component,mechanism_component,5928,0.6669563484928441,0.5867071524966262,0.3024444783156255,1.7325507531782702,
RGPM_boundary_component,mechanism_component,5928,0.8187834368290138,0.7113697705802969,0.5311048926917423,1.4915935658008663,
RGPM_consolidation_component,mechanism_component,5928,-0.21973398620577989,0.3635290148448043,0.0,0.4726923658352235,
community_reach_z,delta_z,5928,0.3273930708556672,0.7213225371120108,0.0,1.3489815189531904,0.05786099865047233
field_entropy_z,delta_z,5928,0.4680062307542844,0.8503711201079622,0.0,1.4166548323880142,0.037112010796221326
cross_community_adoption_z,delta_z,5928,0.6462916908941303,0.775472334682861,0.0,1.307916924248153,0.02564102564102564
path_shortening_z,delta_z,5928,0.16791047956866384,0.21761133603238866,0.0,0.0,0.061572199730094465
modularity_shock_z,delta_z,5928,0.32394991379546856,0.48819163292847506,0.0,0.45189342546610844,0.06983805668016195
partition_change_z,delta_z,5928,0.6036555427088839,0.8609986504723347,0.030931092017050358,1.4722796012893538,0.05516194331983806
boundary_mixing_z,delta_z,5928,0.4736765255466976,0.8685897435897436,0.010782107160472133,1.5494532784226753,0.07304318488529014
post_perturbation_concentration_z,delta_z,5928,-0.2864308219795181,0.8837719298245614,-0.08667513589696614,1.2262613522849368,0.036605937921727394
hub_formation_z,delta_z,5928,-0.00038624614879827695,0.0023616734143049934,0.0,0.0,0.001855600539811066
community_reach,delta_raw,5928,0.2687743803645382,0.8527327935222672,2.0,3.0,
field_entropy,delta_raw,5928,0.35011993436501754,0.8527327935222672,0.2868359830541607,0.7555647750680905,
cross_community_adoption,delta_raw,5928,0.5420925986174501,0.6086369770580297,0.12732200049273218,0.5,
path_shortening,delta_raw,5928,0.14731698803993903,0.20512820512820512,0.0,0.0,
modularity_shock,delta_raw,5928,0.31760220267629663,0.41228070175438597,0.0,0.007253358354509196,
partition_change,delta_raw,5928,0.5309493181677272,0.7366734143049932,0.10803154614560004,0.23645279766002797,
boundary_mixing,delta_raw,5928,0.4085170278755504,0.8372132253711201,0.0032650276552715555,0.13362705501484143,
post_perturbation_concentration,delta_raw,5928,-0.21112736215194386,0.8527327935222672,0.6735971449495912,0.6004766360795466,
hub_formation,delta_raw,5928,-0.00039683094061905853,1.0,1.0,0.0,
