w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.00324585,0.31153442,0.07112348,0.1677354,0.31432075,0.09388368,0.03815643,0.363395573746124,0.0038146873069573872
0.27904046,0.1606297,0.02678783,0.00251881,0.09296052,0.43057439,0.0074883,0.23387019837831968,-0.12571068806084695
0.1318853,0.11272731,0.26150571,0.03485335,0.03697675,0.23070775,0.19134384,0.3544695873564757,-0.005111299082690923
0.00223657,0.02085412,0.35655954,0.164406,0.33647131,0.01601123,0.10346122,0.420632725945548,0.06105183950638138
0.09256266,0.04381592,0.23691976,0.05300479,0.33760579,0.02258812,0.21350296,0.40492683513668815,0.04534594869752151
0.16145936,0.27359461,0.10069074,0.02349753,0.06061304,0.19624296,0.18390176,0.3492142450523164,-0.010366641386850228
0.09124689,0.03377357,0.08008582,0.18221084,0.36132242,0.13238108,0.11897939,0.363403300166911,0.0038224137277443893
0.25090117,0.21451294,0.0876227,0.15155889,0.10350739,0.08479837,0.10709854,0.33977661704933604,-0.019804269389830598
0.16603823,0.45510259,0.13956903,0.09433496,0.0777977,0.04675691,0.02040059,0.3766570664105764,0.017076179971409755
0.26975226,0.07157932,0.08676199,0.06273456,0.17650084,0.29023321,0.04243783,0.2749851368020643,-0.08459574963710231
0.00777306,0.02853991,0.0640756,0.27403526,0.07477438,0.29457183,0.25622996,0.3340814200513734,-0.025499466387793213
0.11930019,0.18843287,0.05113575,0.47163035,0.00358036,0.08146119,0.08445929,0.32853625454590574,-0.0310446318932609
0.31718933,0.02483029,0.07184678,0.09367022,0.31599053,0.03886828,0.13760456,0.3379861880171121,-0.021594698422054526
0.05680843,0.16895204,0.04088405,0.20910323,0.10881651,0.19698816,0.21844757,0.3482203912166888,-0.01136049522247784
0.00663836,0.07811805,0.08326617,0.14718415,0.02259624,0.60934963,0.05284738,0.23398851145753669,-0.12559237498162995
0.10424181,0.01749444,0.14401926,0.01258059,0.01036787,0.66613359,0.04516245,0.20316574375895774,-0.1564151426802089
