domain,n_papers,n_landmarks,year_min,year_max,citation_rows,citation_coverage
advanced_mri_techniques_and_applications,2581,1,1980,2024,18205,7.053467648198373
autophagy_in_disease_and_therapy,3000,4,1982,2024,86474,28.824666666666666
banking_stability_regulation_efficiency,2809,2,1980,2024,33169,11.80811676753293
economic_growth_and_productivity,2313,2,1977,2024,14355,6.206225680933852
economic_theories_and_models,2854,2,1980,2024,6981,2.4460406447091803
economic_theory_and_institutions,3000,4,1972,2024,8938,2.9793333333333334
economic_theory_and_policy,2777,3,1970,2024,6714,2.4177169607490097
financial_markets_and_investment_strategies,2914,3,1975,2024,32695,11.219972546328071
gamma_ray_bursts_and_supernovae,2502,1,1980,2024,53208,21.26618705035971
gender_labor_and_family_dynamics,2515,1,1976,2024,9454,3.759045725646123
genetics_aging_and_longevity_in_model_organisms,2575,1,1980,2024,37422,14.532815533980582
income_poverty_and_inequality,2829,3,1973,2024,15110,5.341109932838459
magnetic_properties_of_thin_films,2257,1,1980,2024,29978,13.282233052724855
mass_spectrometry_techniques_and_applications,2351,1,1980,2024,19152,8.146320714589537
monetary_policy_and_economic_impact,2693,2,1980,2024,23295,8.650204233197178
protein_structure_and_dynamics,2543,1,1980,2024,22412,8.813212740857255
spectroscopy_and_quantum_chemical_studies,2712,2,1980,2024,19850,7.319321533923304
sustainable_development_and_environmental_policy,2513,1,1980,2024,9751,3.8802228412256268
theoretical_and_computational_physics,2585,1,1971,2023,14555,5.630560928433269
ubiquitin_and_proteasome_pathways,2291,1,1980,2024,31527,13.761239633347882
