id,short_id,doi,title,year,domain,primary_field,display_community,display_topic_id,display_topic_label,is_landmark,document_type,cited_by_count,reference_count
https://openalex.org/W2040157483,W2040157483,10.1074/jbc.c700195200,The Atg12-Atg5 Conjugate Has a Novel E3-like Activity for Protein Lipidation in Autophagy,2007,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,1,article,1091,28
https://openalex.org/W2032700869,W2032700869,10.1038/cr.2013.169,Historical landmarks of autophagy research,2013,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,1,review,1084,115
https://openalex.org/W2146887271,W2146887271,10.1083/jcb.200412022,Impairment of starvation-induced and constitutive autophagy in <i>Atg7</i> -deficient mice,2005,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,1,article,2322,49
https://openalex.org/W2066040465,W2066040465,10.1074/jbc.m706214200,In Vitro Reconstitution of Plant Atg8 and Atg12 Conjugation Systems Essential for Autophagy,2007,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,1,article,115,27
https://openalex.org/W1523693806,W1523693806,10.1159/000373980,Repertoires of Autophagy in the Pathogenesis of Ocular Diseases,2015,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,review,16339,760
https://openalex.org/W1970637701,W1970637701,10.1038/ncb2152,AMPK and mTOR regulate autophagy through direct phosphorylation of Ulk1,2011,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,7008,52
https://openalex.org/W2109034822,W2109034822,10.1016/j.cell.2007.12.018,Autophagy in the Pathogenesis of Disease,2008,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,7007,104
https://openalex.org/W1977767269,W1977767269,10.1093/emboj/19.21.5720,"LC3, a mammalian homologue of yeast Apg8p, is localized in autophagosome membranes after processing",2000,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,6540,31
https://openalex.org/W1994823455,W1994823455,10.1038/nature06639,Autophagy fights disease through cellular self-digestion,2008,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,6420,60
https://openalex.org/W1985124617,W1985124617,10.1016/j.cell.2011.10.026,Autophagy: Renovation of Cells and Tissues,2011,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,review,6342,133
https://openalex.org/W2752326209,W2752326209,10.1080/15548627.2015.1100356,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition),2016,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,5983,2196
https://openalex.org/W2743254891,W2743254891,10.1159/000479571,Induction of the Vitamin D Receptor Attenuates Autophagy Dysfunction-Mediated Cell Death Following Traumatic Brain Injury.,2017,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,5191,74
https://openalex.org/W2738996050,W2738996050,10.1159/000479441,Anti-Vascular Endothelial Growth Factors Protect Retinal Pigment Epithelium Cells Against Oxidation by Modulating Nitric Oxide Release and Autophagy,2017,autophagy_in_disease_and_therapy,Ophthalmology,91962877,https://openalex.org/T10170,Retinal Diseases and Treatments,0,article,5140,142
https://openalex.org/W2014918593,W2014918593,10.1074/jbc.m702824200,p62/SQSTM1 Binds Directly to Atg8/LC3 to Facilitate Degradation of Ubiquitinated Protein Aggregates by Autophagy,2007,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,4539,55
https://openalex.org/W2025665129,W2025665129,10.1016/j.cell.2010.01.028,Methods in Mammalian Autophagy Research,2010,autophagy_in_disease_and_therapy,Epidemiology,22526935,https://openalex.org/T10587,Autophagy in Disease and Therapy,0,article,4501,88
