window,method,top5_hit_rate,top10_hit_rate,n_predicted,n_realized
1995->2000,graph_score,,,0,6
1995->2000,growth_only,,,0,6
1995->2000,citation_only,,,0,6
1995->2000,random,,,0,6
2000->2005,graph_score,0.4,0.2,2,10
2000->2005,growth_only,0.4,0.2,2,10
2000->2005,citation_only,0.4,0.2,2,10
2000->2005,random,0.4,0.2,2,10
2005->2010,graph_score,0.2,0.6,10,10
2005->2010,growth_only,0.6,0.7,10,10
2005->2010,citation_only,0.4,0.7,10,10
2005->2010,random,0.2,0.4,10,10
2010->2015,graph_score,0.2,0.3,10,10
2010->2015,growth_only,0.6,0.8,10,10
2010->2015,citation_only,0.4,0.5,10,10
2010->2015,random,0.4,0.3,10,10
2015->2020,graph_score,0.2,0.1,10,10
2015->2020,growth_only,0.4,0.7,10,10
2015->2020,citation_only,0.4,0.3,10,10
2015->2020,random,0.0,0.0,10,10
2020->2026,graph_score,0.0,0.1,10,10
2020->2026,growth_only,0.2,0.4,10,10
2020->2026,citation_only,0.4,0.5,10,10
2020->2026,random,0.2,0.1,10,10
