focus_id,focus_label,predicted_rank,predicted_score,cluster_x,cluster_y,historical_size,domain,forecast_category,realized_rank
crispr::814,Salmonella and Campylobacter epidemiology,1.0,0.9617272561198392,-0.0248109202863813,0.0223567529930985,23.0,crispr,predicted_only,
crispr::768,RNA modifications and cancer,2.0,0.9422489323598293,-0.0168242272780368,-0.0014752578190964,183.0,crispr,predicted_only,
crispr::900,Trypanosoma species research and implications,3.0,0.9389644794087847,-0.0255721085793711,-0.0185103210428838,141.0,crispr,predicted_only,
crispr::100,Bacteriophages and microbial interactions,4.0,0.9357120743034056,-0.0381894868303475,0.0115559143903953,95.0,crispr,predicted_only,
crispr::767,RNA and protein synthesis mechanisms,5.0,0.9295915032679739,-0.0234163429432896,0.005029405424089,144.0,crispr,predicted_only,
crispr::510,Legionella and Acanthamoeba research,6.0,0.9252100840336134,-0.0452709045292072,0.0070258392591917,5.0,crispr,predicted_only,
crispr::64,Antimicrobial Resistance in Staphylococcus,7.0,0.9225303454715219,-0.0474353541804339,0.0511185207659221,9.0,crispr,predicted_only,
crispr::766,RNA Research and Splicing,8.0,0.9223132266605273,-0.0187634615199255,0.0003047341385837,73.0,crispr,predicted_only,
crispr::140,Cancer-related gene regulation,9.0,0.9208823529411764,-0.0039596191042507,-0.0213835224272675,8.0,crispr,predicted_only,
crispr::128,CRISPR and Genetic Engineering,10.0,0.9198248888172652,-0.0340085432189021,0.0100357596094874,3233.0,crispr,hit,1.0
crispr::769,RNA regulation and disease,11.0,0.9194700460829494,-0.022565607937865,-0.0060936984364142,31.0,crispr,background,26.0
crispr::946,"Yersinia bacterium, plague, ectoparasites research",12.0,0.9171008403361344,-0.0555228501300948,0.0118391639928411,14.0,crispr,background,
crispr::582,Microbial Community Ecology and Physiology,13.0,0.9170588235294117,-0.0586880758280621,-0.0035784545112841,20.0,crispr,background,
crispr::96,Bacterial Genetics and Biotechnology,14.0,0.9136592818945759,-0.0470634236076825,0.0091537963725505,22.0,crispr,background,
crispr::581,MicroRNA in disease regulation,15.0,0.913469806527262,-0.0055573835466364,0.0080585150055865,43.0,crispr,unexpected_realized,10.0
crispr::765,RNA Interference and Gene Delivery,16.0,0.9130775588924094,-0.029839293912903,0.0116933229096245,122.0,crispr,unexpected_realized,4.0
crispr::608,Mycobacterium research and diagnosis,17.0,0.9112796027501909,-0.0660672005140906,0.0158850149081727,11.0,crispr,background,
crispr::170,Chromosomal and Genetic Variations,18.0,0.9112559371574717,-0.0259617515198887,-0.016248574189117,23.0,crispr,background,
crispr::705,Plant Molecular Biology Research,19.0,0.9078991596638655,-0.022172352963086,0.02166935584232,32.0,crispr,background,
crispr::901,Tuberculosis Research and Epidemiology,20.0,0.9062702003878473,-0.0550539556456448,0.0363267146214679,13.0,crispr,background,
