focus_id,focus_label,realized_rank,realized_score,is_hotspot,is_landmark_related,domain,future_papers,future_citations,future_rgpm_top_tail,predicted_rank
crispr::128,CRISPR and Genetic Engineering,1.0,0.9358823529411766,True,True,crispr,879.0,84629.0,0.0,10.0
crispr::318,Extracellular vesicles in disease,2.0,0.9347058823529412,True,False,crispr,13.0,1461.0,0.0,66.0
crispr::126,CAR-T cell therapy research,3.0,0.9342857142857143,True,False,crispr,16.0,2658.0,0.0,51.0
crispr::765,RNA Interference and Gene Delivery,4.0,0.9341176470588235,True,False,crispr,14.0,3808.0,0.0,16.0
crispr::30,Advanced biosensing and bioanalysis techniques,5.0,0.9331932773109245,True,False,crispr,14.0,2090.0,0.0,27.0
crispr::114,Biosensors and Analytical Detection,6.0,0.9313445378151262,True,False,crispr,6.0,1176.0,0.0,79.0
crispr::714,Plant Virus Research Studies,7.0,0.9300840336134455,True,False,crispr,10.0,1128.0,0.0,34.0
crispr::813,SARS-CoV-2 detection and testing,8.0,0.9276890756302522,True,False,crispr,3.0,650.0,0.0,
crispr::410,Hemoglobinopathies and Related Disorders,9.0,0.9273949579831934,True,False,crispr,5.0,492.0,0.0,67.0
crispr::581,MicroRNA in disease regulation,10.0,0.9273109243697479,True,False,crispr,2.0,2315.0,0.0,15.0
crispr::722,Plant tissue culture and regeneration,11.0,0.9269327731092437,False,False,crispr,6.0,389.0,0.0,41.0
crispr::174,Circular RNAs in diseases,12.0,0.9263865546218488,False,False,crispr,3.0,808.0,0.0,
crispr::110,Biofuel production and bioconversion,13.0,0.9249579831932773,False,False,crispr,2.0,1073.0,0.0,
crispr::370,Genomics and Phylogenetic Studies,14.0,0.9240756302521008,False,False,crispr,2.0,5191.0,0.0,24.0
crispr::829,Single-cell and spatial transcriptomics,15.0,0.9229831932773108,False,False,crispr,3.0,812.0,0.0,59.0
crispr::750,Protein Structure and Dynamics,16.0,0.9222689075630253,False,False,crispr,2.0,575.0,0.0,
crispr::0,3D Printing in Biomedical Research,17.0,0.9220588235294117,False,False,crispr,2.0,1539.0,0.0,68.0
crispr::111,Bioinformatics and Genomic Networks,18.0,0.9218487394957984,False,False,crispr,2.0,866.0,0.0,
crispr::702,Plant Gene Expression Analysis,19.0,0.9183193277310924,False,False,crispr,3.0,245.0,0.0,
crispr::359,Genetic and phenotypic traits in livestock,20.0,0.9178991596638655,False,False,crispr,2.0,367.0,0.0,
