predicted_focus,realized_focus,predicted_focus_id,realized_focus_id,match_score,hit_type
Zebrafish Biomedical Research Applications,,ipsc_reprogramming::200542,,0.0,missed
Salmonella and Campylobacter epidemiology,,crispr::814,,0.0,missed
Angiogenesis and VEGF in Cancer,,ipsc_reprogramming::200030,,0.0,missed
RNA modifications and cancer,,crispr::768,,0.0,missed
Reproductive Biology and Fertility,,ipsc_reprogramming::200449,,0.0,missed
Natural Language Processing Techniques,,transformer_foundation_models::300491,,0.0,missed
Information Retrieval and Search Behavior,,transformer_foundation_models::300363,,0.0,missed
Pluripotent Stem Cells Research,,ipsc_reprogramming::200414,,0.0,missed
RNA and protein synthesis mechanisms,,crispr::767,,0.0,missed
Trypanosoma species research and implications,,crispr::900,,0.0,missed
,Artificial Intelligence in Healthcare and Education,,transformer_foundation_models::300071,0.0,unexpected_realized
,Multimodal Machine Learning Applications,,transformer_foundation_models::300480,0.0,unexpected_realized
,Advanced Neural Network Applications,,transformer_foundation_models::300032,0.0,unexpected_realized
,Machine Learning in Materials Science,,transformer_foundation_models::300420,0.0,unexpected_realized
,Software Engineering Research,,transformer_foundation_models::300688,0.0,unexpected_realized
,Topic Modeling,,transformer_foundation_models::300741,0.0,unexpected_realized
,Software Testing and Debugging Techniques,,transformer_foundation_models::300692,0.0,unexpected_realized
,Generative Adversarial Networks and Image Synthesis,,transformer_foundation_models::300298,0.0,unexpected_realized
,Machine Learning in Bioinformatics,,transformer_foundation_models::300418,0.0,unexpected_realized
,Genomics and Phylogenetic Studies,,transformer_foundation_models::300310,0.0,unexpected_realized
