focus_id,domain,display_community,focus_label,cluster_x,cluster_y,historical_size,historical_citations,hist_scored_papers,hist_mean_score,hist_max_score,hist_top_tail_score,hist_landmarks,recent_hist_size,prior_hist_size,future_papers,future_citations,future_mean_citations,future_landmarks,future_rgpm_top_tail,future_rgpm_mean,top_future_paper,top_future_year,top_future_citations,predicted_score,realized_score,growth_only_score,citation_only_score,prediction_eligible,realization_eligible,predicted_rank,realized_rank,is_hotspot,is_landmark_related,forecast_category
ipsc_reprogramming::200542,ipsc_reprogramming,200542,Zebrafish Biomedical Research Applications,-0.0095706151999838,0.0207023341790477,61.0,11698.0,29.0,1.063773521415111,2.503126739751866,1.9968325056630636,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.9410215768536385,0.45223729883243924,0.5265698958662038,0.9766487851057116,True,False,1.0,,False,False,predicted_only
crispr::814,crispr,814,Salmonella and Campylobacter epidemiology,-0.0248109202863813,0.0223567529930985,23.0,2819.0,18.0,0.3292099034861097,1.1585033945203749,1.05292205023461,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.9390750065169371,0.45223729883243924,0.5224992111076049,0.9286841274850111,True,False,2.0,,False,False,predicted_only
ipsc_reprogramming::200030,ipsc_reprogramming,200030,Angiogenesis and VEGF in Cancer,-0.0006363647253557,-0.0049128304458281,49.0,13438.0,19.0,0.8343999876426261,2.1810026546196184,1.8171503489610623,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.9297127143694335,0.45223729883243924,0.5259308930261912,0.9810665825181445,True,False,3.0,,False,False,predicted_only
crispr::768,crispr,768,RNA modifications and cancer,-0.0168242272780368,-0.0014752578190964,183.0,26722.0,96.0,0.018750419135346634,1.6738112595395878,1.0199757761360735,0.0,7.0,14.0,1.0,47.0,47.0,0.0,0.0,0.0,Programmable System of Cas13-Mediated RNA Modification and Its Biological and Biomedical Applications,2021,47.0,0.9245637813035089,0.8619438308614704,0.9073366992742189,0.9889555064689176,True,False,4.0,,False,False,predicted_only
ipsc_reprogramming::200449,ipsc_reprogramming,200449,Reproductive Biology and Fertility,-0.0179245033982478,0.0095637533303395,131.0,18507.0,44.0,0.5304695441605275,2.327114683683688,1.5285928523549834,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.9233889853759825,0.45223729883243924,0.5277295676869674,0.9851688229725466,True,False,5.0,,False,False,predicted_only
transformer_foundation_models::300491,transformer_foundation_models,300491,Natural Language Processing Techniques,0.0303447410973415,-0.0413903044381096,2704.0,298063.0,1192.0,0.04062915617453719,2.189574948219694,1.1073748443635822,2.0,397.0,670.0,70.0,11458.0,163.68571428571428,0.0,0.0,0.0,LLaMA: Open and Efficient Foundation Language Models,2023,3891.0,0.9225239888640137,0.9301798674660777,0.9089775954559798,0.9990533291259073,True,True,6.0,26.0,False,True,predicted_only
transformer_foundation_models::300363,transformer_foundation_models,300363,Information Retrieval and Search Behavior,0.0323832265883663,-0.0454208059808847,50.0,7775.0,24.0,0.28295308590462936,1.5754051721237037,1.1912163858619191,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.922307352477122,0.45223729883243924,0.5260492268854527,0.9671820763647838,True,False,7.0,,False,False,predicted_only
ipsc_reprogramming::200414,ipsc_reprogramming,200414,Pluripotent Stem Cells Research,-0.0017163140381458,0.0079083740095956,4316.0,948862.0,1671.0,0.015639077187209822,2.6571718844400665,1.2760874167325462,7.0,729.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.9218530402406773,0.45223729883243924,0.5288655727358788,0.9993688860839381,True,False,8.0,,False,True,predicted_only
crispr::767,crispr,767,RNA and protein synthesis mechanisms,-0.0234163429432896,0.005029405424089,144.0,20534.0,46.0,0.45041988641987774,2.3109298548442605,1.4888560977729035,0.0,5.0,28.0,1.0,386.0,386.0,0.0,0.0,0.0,Sequence modeling and design from molecular to genome scale with Evo,2024,386.0,0.92047079345044,0.8804228463237614,0.9075418112969391,0.9867466077627012,True,False,9.0,,False,False,predicted_only
crispr::900,crispr,900,Trypanosoma species research and implications,-0.0255721085793711,-0.0185103210428838,141.0,7867.0,80.0,0.005532273725058984,1.8875393252257295,0.8818980113527641,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.919224177481766,0.45223729883243924,0.5278242347743767,0.9687598611549385,True,False,10.0,,False,False,predicted_only
