focus_id,focus_label,predicted_rank,predicted_score,cluster_x,cluster_y,historical_size,domain,forecast_category,realized_rank
ipsc_reprogramming::200542,Zebrafish Biomedical Research Applications,1.0,0.9410215768536385,-0.0095706151999838,0.0207023341790477,61.0,ipsc_reprogramming,predicted_only,
crispr::814,Salmonella and Campylobacter epidemiology,2.0,0.9390750065169371,-0.0248109202863813,0.0223567529930985,23.0,crispr,predicted_only,
ipsc_reprogramming::200030,Angiogenesis and VEGF in Cancer,3.0,0.9297127143694335,-0.0006363647253557,-0.0049128304458281,49.0,ipsc_reprogramming,predicted_only,
crispr::768,RNA modifications and cancer,4.0,0.9245637813035089,-0.0168242272780368,-0.0014752578190964,183.0,crispr,predicted_only,
ipsc_reprogramming::200449,Reproductive Biology and Fertility,5.0,0.9233889853759825,-0.0179245033982478,0.0095637533303395,131.0,ipsc_reprogramming,predicted_only,
transformer_foundation_models::300491,Natural Language Processing Techniques,6.0,0.9225239888640137,0.0303447410973415,-0.0413903044381096,2704.0,transformer_foundation_models,predicted_only,26.0
transformer_foundation_models::300363,Information Retrieval and Search Behavior,7.0,0.922307352477122,0.0323832265883663,-0.0454208059808847,50.0,transformer_foundation_models,predicted_only,
ipsc_reprogramming::200414,Pluripotent Stem Cells Research,8.0,0.9218530402406773,-0.0017163140381458,0.0079083740095956,4316.0,ipsc_reprogramming,predicted_only,
crispr::767,RNA and protein synthesis mechanisms,9.0,0.92047079345044,-0.0234163429432896,0.005029405424089,144.0,crispr,predicted_only,
crispr::900,Trypanosoma species research and implications,10.0,0.919224177481766,-0.0255721085793711,-0.0185103210428838,141.0,crispr,predicted_only,
crispr::100,Bacteriophages and microbial interactions,11.0,0.9166311803491056,-0.0381894868303475,0.0115559143903953,95.0,crispr,background,
ipsc_reprogramming::200179,Erythrocyte Function and Pathophysiology,12.0,0.9161969075418114,-0.0183858701249228,0.0180445836603669,25.0,ipsc_reprogramming,background,
ipsc_reprogramming::200133,Congenital heart defects research,13.0,0.9135671274232009,-0.0008276123492421,0.0056465162930651,97.0,ipsc_reprogramming,background,
crispr::766,RNA Research and Splicing,14.0,0.9123388822367369,-0.0187634615199255,0.0003047341385837,73.0,crispr,background,
ipsc_reprogramming::200068,CRISPR and Genetic Engineering,15.0,0.9116224135599332,0.0007647674521376,0.0076842732757309,350.0,ipsc_reprogramming,background,
ipsc_reprogramming::200212,Genomics and Chromatin Dynamics,16.0,0.9114038340170401,-0.0124463723731599,0.0114459193717154,80.0,ipsc_reprogramming,background,
ipsc_reprogramming::200257,Immunotherapy and Immune Responses,17.0,0.9111857929245119,-0.0243215198427629,0.030970864115347,18.0,ipsc_reprogramming,background,
ipsc_reprogramming::200385,Pancreatic function and diabetes,18.0,0.9111490781228869,-0.0097175210052632,0.0071505373567943,175.0,ipsc_reprogramming,background,
ipsc_reprogramming::200350,Neurogenesis and neuroplasticity mechanisms,19.0,0.9109011695965961,0.0059325551394455,-0.0022883254741844,93.0,ipsc_reprogramming,background,
ipsc_reprogramming::200112,Chromatin Remodeling and Cancer,20.0,0.9108483974214487,-0.0134513152840752,-0.0164346366575072,14.0,ipsc_reprogramming,background,
