domain,roster_status,family,event_year,analysis_end_year,n_v3_landmarks,landmark_labels,landmark_dois,v3_status,eligible_for_v3_graph,eligible_for_main_roster
crispr,main_ready,biology_biomedicine,2012,2025,3,Jinek 2012; Cong 2013; Mali 2013,10.1126/science.1225829; 10.1126/science.1231143; 10.1126/science.1232033,main_v3_covered,1,1
ipsc_reprogramming,main_ready,biology_biomedicine,2006,2025,3,Takahashi/Yamanaka 2006; Takahashi 2007; Yu 2007,10.1016/j.cell.2006.07.024; 10.1016/j.cell.2007.11.019; 10.1126/science.1151526,main_v3_covered,1,1
perovskite_solar_cells,main_ready,materials_chemistry,2009,2025,3,Kojima 2009; Lee 2012; Burschka 2013,10.1021/ja809598r; 10.1126/science.1228604; 10.1038/nature12340,main_v3_covered,1,1
spectroscopy_and_quantum_chemical_studies,main_ready,materials_chemistry,1987,2025,0,,,blocked_missing_v3_landmark,0,0
exoplanets,main_ready,physics_astronomy,1995,2025,1,Mayor/Queloz 1995,10.1038/378355a0,main_v3_covered,1,1
genetics_aging_and_longevity_in_model_organisms,main_ready,biology_biomedicine,1999,2025,2,Kenyon 1993; Kimura 1997,10.1038/366461a0; 10.1126/science.277.5328.942,main_v3_covered,1,1
graphene_2d_materials,main_ready,materials_chemistry,2004,2025,1,Novoselov 2004,10.1126/science.1102896,main_v3_covered,1,1
microbiome_metagenomics,main_ready,biology_biomedicine,2012,2025,2,Qin 2010; HMP 2012,10.1038/nature08821; 10.1038/nature11234,main_v3_covered,1,1
topological_insulators,main_ready,physics_astronomy,2005,2025,2,Kane/Mele 2005; Bernevig 2006,10.1103/physrevlett.95.226801; 10.1126/science.1133734,main_v3_covered,1,1
mass_spectrometry_techniques_and_applications,main_ready,materials_chemistry,1987,2025,2,Karas/Hillenkamp 1988; Fenn 1989,10.1021/ac00171a028; 10.1126/science.2675315,main_v3_covered,1,1
ubiquitin_and_proteasome_pathways,main_ready,biology_biomedicine,1998,2025,2,Ciechanover 1980; Hershko/Ciechanover 1998,10.1073/pnas.77.3.1365; 10.1146/annurev.biochem.67.1.425,main_v3_covered,1,1
gamma_ray_bursts_and_supernovae,main_ready,physics_astronomy,1998,2025,2,Riess 1998; Perlmutter 1999,10.1086/300499; 10.1086/307221,main_v3_covered,1,1
magnetic_properties_of_thin_films,performance_gated_candidate,,,,2,Baibich 1988; Binasch 1989,10.1103/physrevlett.61.2472; 10.1103/physrevb.39.4828,candidate_v3_covered,1,0
