domain,status,query,n_registry_landmarks,n_raw_records,n_selected_works,n_selected_landmarks,n_dropped_duplicate_dois,n_citation_rows,local_reference_closure,year_min,year_max,checkpoint
crispr,checkpoint,CRISPR Cas9 genome editing,3,3103,2500,3,0,298656,0.0729434533376192,1980,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\crispr.jsonl
exoplanets,checkpoint,exoplanet extrasolar planet transiting planet,1,2701,2500,1,20,226337,0.10188789283236943,1994,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\exoplanets.jsonl
gamma_ray_bursts_and_supernovae,checkpoint,Gamma-ray bursts supernovae,2,2902,2500,2,6,333906,0.08250525597024312,1987,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\gamma_ray_bursts_and_supernovae.jsonl
genetics_aging_and_longevity_in_model_organisms,checkpoint,"Genetics, Aging, Longevity in Model Organisms",2,2902,2500,2,0,374648,0.03299630586577267,1985,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\genetics_aging_and_longevity_in_model_organisms.jsonl
graphene_2d_materials,checkpoint,graphene two-dimensional materials van der Waals heterostructure,1,2701,2500,1,0,306491,0.053016238649748276,2004,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\graphene_2d_materials.jsonl
ipsc_reprogramming,checkpoint,induced pluripotent stem cell cellular reprogramming Yamanaka factors,3,3103,2500,3,1,292156,0.06444502252221417,1988,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\ipsc_reprogramming.jsonl
magnetic_properties_of_thin_films,checkpoint,Magnetic properties of thin films,2,2902,2500,2,0,397284,0.011825293744525327,1980,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\magnetic_properties_of_thin_films.jsonl
mass_spectrometry_techniques_and_applications,checkpoint,Mass Spectrometry Techniques Applications,2,2902,2500,2,1,395421,0.008107814203089871,1981,2024,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\mass_spectrometry_techniques_and_applications.jsonl
microbiome_metagenomics,checkpoint,microbiome metagenomics human microbiome,2,2902,2500,2,1,273323,0.08485930565667726,2005,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\microbiome_metagenomics.jsonl
perovskite_solar_cells,checkpoint,perovskite solar cell organometal halide perovskite,3,3103,2500,3,0,200010,0.20928453577321135,2009,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\perovskite_solar_cells.jsonl
topological_insulators,checkpoint,topological insulator quantum spin Hall topological materials,2,2902,2500,2,3,249052,0.10376547869521224,1991,2025,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\topological_insulators.jsonl
ubiquitin_and_proteasome_pathways,checkpoint,Ubiquitin proteasome pathways,2,2902,2500,2,0,354438,0.032152308725362407,1980,2024,\\wsl.localhost\Ubuntu-24.04\home\jayee\workspace\ASPR\outputs\openalex_v3_citation_graph\checkpoints\ubiquitin_and_proteasome_pathways.jsonl
