domain,status,query,n_registry_landmarks,n_raw_records,n_selected_works,n_selected_landmarks,n_dropped_duplicate_dois,n_citation_rows,local_reference_closure,year_min,year_max,checkpoint
click_chemistry_cuaac,fetched,click chemistry copper catalyzed azide alkyne cycloaddition,1,3251,3000,1,1,328836,0.045518130618302136,1997,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\click_chemistry_cuaac.jsonl
crispr,fetched,CRISPR Cas9 genome editing,3,3753,3000,3,0,354775,0.07632161228947924,1980,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\crispr.jsonl
gamma_ray_bursts_and_supernovae,fetched,Gamma-ray bursts supernovae,2,3502,3000,2,6,390957,0.08676913317832907,1987,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\gamma_ray_bursts_and_supernovae.jsonl
genome_wide_association_studies,fetched,genome-wide association study GWAS,1,3251,3000,1,3,337617,0.07344120704822328,1995,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\genome_wide_association_studies.jsonl
immune_checkpoint_therapy,fetched,immune checkpoint inhibitor PD-1 CTLA-4 cancer immunotherapy,1,3251,3000,1,2,422636,0.07207857352426202,1997,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\immune_checkpoint_therapy.jsonl
ipsc_reprogramming,fetched,induced pluripotent stem cell cellular reprogramming Yamanaka factors,3,3753,3000,3,1,345004,0.07110062492029078,1988,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\ipsc_reprogramming.jsonl
magnetic_properties_of_thin_films,fetched,Magnetic properties of thin films,3,3665,3000,3,0,464571,0.012764464419862625,1980,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\magnetic_properties_of_thin_films.jsonl
organoids,fetched,organoid cerebral organoid intestinal organoid,2,3254,3000,2,4,466098,0.03088835395131496,1988,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\organoids.jsonl
random_forests,fetched,random forests machine learning,1,3251,3000,1,0,310091,0.024338016904715067,1981,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\random_forests.jsonl
topological_insulators,fetched,topological insulator quantum spin Hall topological materials,2,3253,3000,2,3,283778,0.09913735384702126,1991,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_final_graph_bio_methods_phys10\checkpoints\topological_insulators.jsonl
