domain,status,query,n_registry_landmarks,n_raw_records,n_selected_works,n_selected_landmarks,n_dropped_duplicate_dois,n_citation_rows,local_reference_closure,year_min,year_max,checkpoint
advanced_mri_techniques_and_applications,checkpoint,Advanced MRI Techniques Applications,1,1101,800,1,0,183622,0.003866639073749333,1981,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\advanced_mri_techniques_and_applications.jsonl
ancient_dna,checkpoint,ancient DNA paleogenomics,1,1101,800,1,1,75466,0.04599422256380357,1985,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\ancient_dna.jsonl
autophagy_in_disease_and_therapy,checkpoint,Autophagy in Disease Therapy,3,1303,800,3,0,160259,0.02142781372653018,2001,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\autophagy_in_disease_and_therapy.jsonl
backpropagation_deep_learning,checkpoint,backpropagation neural networks Rumelhart,1,1101,800,1,2,82418,0.026098667766749982,1986,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\backpropagation_deep_learning.jsonl
banking_stability_regulation_efficiency,checkpoint,"Banking stability, regulation, efficiency",2,1202,800,2,0,75728,0.012888231565603212,1980,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\banking_stability_regulation_efficiency.jsonl
bose_einstein_condensates,checkpoint,Bose Einstein condensation dilute gas,1,1101,800,1,1,74385,0.05744437722659138,1983,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\bose_einstein_condensates.jsonl
car_t_cell_therapy,checkpoint,CAR-T chimeric antigen receptor T cell,2,1202,800,2,0,126844,0.05158304689224559,1987,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\car_t_cell_therapy.jsonl
carbon_nanotubes,checkpoint,carbon nanotubes Iijima,1,1101,800,1,1,118196,0.018486243189278825,1991,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\carbon_nanotubes.jsonl
causal_diagrams,checkpoint,causal diagrams Pearl empirical research,1,1101,800,1,0,72929,0.024270180586597925,1987,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\causal_diagrams.jsonl
chip_seq_genomics,checkpoint,ChIP-seq chromatin immunoprecipitation sequencing,1,1101,800,1,0,71918,0.03973970355126672,1999,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\chip_seq_genomics.jsonl
click_chemistry_cuaac,checkpoint,click chemistry copper catalyzed azide alkyne cycloaddition,1,1101,800,1,0,125556,0.0305600688139157,1997,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\click_chemistry_cuaac.jsonl
colloidal_quantum_dots,checkpoint,colloidal quantum dots nanocrystals,1,1101,800,1,0,131299,0.022376408045758155,1993,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\colloidal_quantum_dots.jsonl
convolutional_neural_networks,checkpoint,convolutional neural networks LeCun,1,1101,800,1,2,77807,0.05256596450190857,1995,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\convolutional_neural_networks.jsonl
covalent_organic_frameworks,checkpoint,covalent organic frameworks COF Yaghi,1,1101,800,1,0,100113,0.0772626931567329,2005,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\covalent_organic_frameworks.jsonl
crispr,checkpoint,CRISPR Cas9 genome editing,3,1303,800,3,0,102669,0.062199885067547166,1999,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\crispr.jsonl
dna_sequencing_sanger,checkpoint,Sanger DNA sequencing chain termination,1,1101,800,1,1,57578,0.022421758310465802,1977,2023,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\dna_sequencing_sanger.jsonl
dye_sensitized_solar_cells,checkpoint,dye sensitized solar cells Gratzel,1,1101,800,1,0,101794,0.03155392262805273,1991,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\dye_sensitized_solar_cells.jsonl
economic_growth_and_productivity,checkpoint,Economic Growth Productivity,2,1157,800,2,0,86986,0.008311682339686845,1977,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\economic_growth_and_productivity.jsonl
economic_theories_and_models,checkpoint,Economic theories models,2,1202,800,2,2,92691,0.007551973762285443,1980,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\economic_theories_and_models.jsonl
economic_theory_and_institutions,checkpoint,Economic Theory Institutions,3,1303,800,3,1,88178,0.00961691124770351,1972,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\economic_theory_and_institutions.jsonl
economic_theory_and_policy,checkpoint,Economic Theory Policy,3,1277,800,3,0,80955,0.01028966709900562,1970,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\economic_theory_and_policy.jsonl
environmental_metagenomics,checkpoint,environmental metagenomics Sargasso Sea,1,1101,800,1,0,74322,0.062027394311240276,2004,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\environmental_metagenomics.jsonl
exoplanets,checkpoint,exoplanet extrasolar planet transiting planet,1,826,800,1,5,81932,0.07329248645217985,1995,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\exoplanets.jsonl
financial_markets_and_investment_strategies,checkpoint,Financial Markets Investment Strategies,3,878,800,3,0,87879,0.0067023976149023085,1975,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\financial_markets_and_investment_strategies.jsonl
fractional_quantum_hall_effect,checkpoint,fractional quantum Hall effect,1,826,800,1,1,103202,0.02620104261545319,1980,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\fractional_quantum_hall_effect.jsonl
gamma_ray_bursts_and_supernovae,checkpoint,Gamma-ray bursts supernovae,2,852,800,2,0,129164,0.04994425691369112,1988,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\gamma_ray_bursts_and_supernovae.jsonl
gender_labor_and_family_dynamics,checkpoint,"Gender, Labor, Family Dynamics",1,826,800,1,0,87268,0.0038043727368565795,1976,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\gender_labor_and_family_dynamics.jsonl
genetics_aging_and_longevity_in_model_organisms,checkpoint,"Genetics, Aging, Longevity in Model Organisms",3,878,800,3,0,134854,0.013748201758939297,1986,2025,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\genetics_aging_and_longevity_in_model_organisms.jsonl
genome_wide_association_studies,checkpoint,genome-wide association study GWAS,1,826,800,1,0,93982,0.05771317911940584,2001,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\genome_wide_association_studies.jsonl
graphene_2d_materials,checkpoint,graphene two-dimensional materials van der Waals heterostructure,1,826,800,1,0,108708,0.03209515399050668,2004,2024,\home\jayee\workspace\ASPR\outputs\openalex_v4_screen_graph\checkpoints\graphene_2d_materials.jsonl
