domain,display_name,field_name,family,n_works,n_landmarks,first_landmark_year,n_citation_rows,local_reference_closure,quality_score,quality_pass,failure_reasons,recommended_role
autophagy_in_disease_and_therapy,Autophagy in Disease and Therapy,Medicine,biology_biomedicine,800,3,2005,55426,0.0649514668206257,1.0,1,,final_recompute_candidate
crispr,CRISPR-Cas genome editing,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,3,2012,42612,0.1541819205857505,1.0,1,,final_recompute_candidate
economic_theory_and_institutions,Economic Theory and Institutions,"Economics, Econometrics and Finance",other_science,800,3,1972,30630,0.023800195886385895,1.0,1,,final_recompute_candidate
economic_theory_and_policy,Economic Theory and Policy,"Economics, Econometrics and Finance",other_science,800,3,1970,31201,0.031120797410339414,1.0,1,,final_recompute_candidate
financial_markets_and_investment_strategies,Financial Markets and Investment Strategies,"Economics, Econometrics and Finance",other_science,800,3,1975,32081,0.023503008010972225,1.0,1,,final_recompute_candidate
genetics_aging_and_longevity_in_model_organisms,"Genetics, Aging, and Longevity in Model Organisms","Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,3,1993,102964,0.03864457480284371,1.0,1,,final_recompute_candidate
income_poverty_and_inequality,"Income, Poverty, and Inequality",Social Sciences,other_science,800,3,1973,53283,0.025936978023009215,1.0,1,,final_recompute_candidate
ipsc_reprogramming,iPSC and cellular reprogramming,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,3,2006,83874,0.06313040990056513,1.0,1,,final_recompute_candidate
magnetic_properties_of_thin_films,Magnetic properties of thin films,Physics and Astronomy,physics_astronomy,800,3,1988,53103,0.024066436924467544,1.0,1,,final_recompute_candidate
mass_spectrometry_techniques_and_applications,Mass Spectrometry Techniques and Applications,Chemistry,materials_chemistry,800,3,1987,70285,0.020018496122928078,1.0,1,,final_recompute_candidate
perovskite_solar_cells,Perovskite solar cells,Materials Science,materials_chemistry,800,3,2009,49488,0.19261235046880051,1.0,1,,final_recompute_candidate
banking_stability_regulation_efficiency,"Banking stability, regulation, efficiency","Economics, Econometrics and Finance",other_science,800,2,1996,59896,0.03532790169627354,0.8888888888888888,1,,final_recompute_candidate
car_t_cell_therapy,CAR-T cell therapy,Medicine,biology_biomedicine,800,2,2011,52367,0.10993564649493001,0.8888888888888888,1,,final_recompute_candidate
economic_growth_and_productivity,Economic Growth and Productivity,"Economics, Econometrics and Finance",other_science,800,2,1977,21994,0.02191506774574884,0.8888888888888888,1,,final_recompute_candidate
economic_theories_and_models,Economic theories and models,"Economics, Econometrics and Finance",other_science,800,2,1998,25923,0.022605408324653783,0.8888888888888888,1,,final_recompute_candidate
gamma_ray_bursts_and_supernovae,Gamma-ray bursts and supernovae,Physics and Astronomy,physics_astronomy,800,2,1998,112737,0.06277442188456318,0.8888888888888888,1,,final_recompute_candidate
microbiome_metagenomics,Microbiome and metagenomics,Medicine,biology_biomedicine,800,2,2010,69940,0.10008578781812982,0.8888888888888888,1,,final_recompute_candidate
monetary_policy_and_economic_impact,Monetary Policy and Economic Impact,"Economics, Econometrics and Finance",other_science,800,2,1990,63506,0.026123515888262526,0.8888888888888888,1,,final_recompute_candidate
organoids,Organoids and stem-cell models,Medicine,biology_biomedicine,800,2,2009,147772,0.0582925046693555,0.8888888888888888,1,,final_recompute_candidate
single_cell_rna_seq,Single-cell RNA sequencing,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,2,2009,78872,0.09870422963789431,0.8888888888888888,1,,final_recompute_candidate
spectroscopy_and_quantum_chemical_studies,Spectroscopy and Quantum Chemical Studies,Physics and Astronomy,physics_astronomy,800,2,1987,101120,0.03907238924050633,0.8888888888888888,1,,final_recompute_candidate
synthetic_biology,Synthetic biology,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,2,2000,138275,0.051896582896402095,0.8888888888888888,1,,final_recompute_candidate
topological_insulators,Topological insulators,Physics and Astronomy,physics_astronomy,800,2,2005,86883,0.13160226971904745,0.8888888888888888,1,,final_recompute_candidate
ubiquitin_and_proteasome_pathways,Ubiquitin and proteasome pathways,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,2,1980,133823,0.04085246930647198,0.8888888888888888,1,,final_recompute_candidate
ancient_dna,Ancient DNA,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1985,73350,0.09045671438309476,0.7777777777777778,1,,final_recompute_candidate
