domain,display_name,field_name,family,n_works,n_landmarks,first_landmark_year,n_citation_rows,local_reference_closure,quality_score,quality_pass,failure_reasons,recommended_role,exclusion_reason
backpropagation_deep_learning,Backpropagation neural networks,Computer Science,methods_computing,800,1,1986,61127,0.05958087260948517,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
bose_einstein_condensates,Bose-Einstein condensates,Physics and Astronomy,physics_astronomy,800,1,1995,51891,0.0881077643521998,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
carbon_nanotubes,Carbon nanotubes,Materials Science,materials_chemistry,800,1,1991,84197,0.040357732460776514,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
causal_diagrams,Causal diagrams and graphical causal inference,Computer Science,methods_computing,800,1,1995,66635,0.047047347490057775,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
chip_seq_genomics,ChIP-seq genomics,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2007,46871,0.09658424185530498,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
click_chemistry_cuaac,Click chemistry CuAAC,Chemistry,materials_chemistry,800,1,2002,111719,0.04309025322460817,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
colloidal_quantum_dots,Colloidal quantum dots,Materials Science,materials_chemistry,800,1,1993,63354,0.05268807020866875,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
convolutional_neural_networks,Convolutional neural networks,Computer Science,methods_computing,800,1,1998,46552,0.08893280632411067,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
covalent_organic_frameworks,Covalent organic frameworks,Chemistry,materials_chemistry,800,1,2005,66667,0.11534942325288373,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
dna_sequencing_sanger,DNA sequencing by chain termination,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1977,46845,0.044914078343473156,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
dye_sensitized_solar_cells,Dye-sensitized solar cells,Materials Science,materials_chemistry,800,1,1991,65773,0.07975917169659283,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
environmental_metagenomics,Environmental metagenomics,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2004,68356,0.10056176487799169,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
exoplanets,Exoplanets,Physics and Astronomy,physics_astronomy,800,1,1995,78892,0.08185874359884399,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
fractional_quantum_hall_effect,Fractional quantum Hall effect,Physics and Astronomy,physics_astronomy,800,1,1982,49176,0.050959817797299495,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
genome_wide_association_studies,Genome-wide association studies,Medicine,biology_biomedicine,800,1,2007,58084,0.09654982439225948,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
graphene_2d_materials,Graphene and 2D materials,Materials Science,materials_chemistry,800,1,2004,46631,0.07634406296240698,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
green_fluorescent_protein,GFP and fluorescent proteins,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1994,51367,0.03406856542137948,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
high_entropy_alloys,High-entropy alloys,Materials Science,materials_chemistry,800,1,2004,65115,0.10476848652384244,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
high_tc_superconductivity,High-Tc superconductivity,Physics and Astronomy,physics_astronomy,800,1,1986,55367,0.0762909314212437,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
human_genome_project,Human Genome Project,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2001,26323,0.10697868783953197,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
immune_checkpoint_therapy,Immune checkpoint therapy,Medicine,biology_biomedicine,800,1,2010,82622,0.08313766309215463,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
lasso_regularization,LASSO regularization,Computer Science,methods_computing,800,1,1996,52503,0.08795687865455307,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
latent_dirichlet_allocation,Latent Dirichlet allocation,Computer Science,methods_computing,800,1,2003,55854,0.06640527088480681,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
lithium_ion_batteries,Lithium-ion battery cathodes,Materials Science,materials_chemistry,800,1,1980,67408,0.038318893899833846,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
mcmc_gibbs_sampling,Gibbs sampling and MCMC,Computer Science,methods_computing,800,1,1984,80150,0.0411353711790393,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
metal_organic_frameworks,Metal-organic frameworks,Chemistry,materials_chemistry,800,1,1995,80954,0.06994095412209403,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
metamaterials_negative_index,Negative-index metamaterials,Physics and Astronomy,physics_astronomy,800,1,2000,56938,0.0716744529136956,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
microarray_gene_expression,DNA microarrays and gene expression profiling,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1995,52348,0.05816841140062658,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
mrna_vaccines_lnp,mRNA vaccines and lipid nanoparticles,Medicine,biology_biomedicine,800,1,2005,123755,0.05496343582077492,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
mxenes_2d_carbides,MXenes and 2D carbides,Materials Science,materials_chemistry,800,1,2011,90089,0.13164759293587452,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
nanopore_sequencing,Nanopore sequencing,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,1,1996,74600,0.12107238605898123,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
neutrino_oscillations,Neutrino oscillations,Physics and Astronomy,physics_astronomy,800,1,1998,87278,0.0802722335525562,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
optogenetics,Optogenetics,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2005,78376,0.05857660508318873,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
organic_leds,Organic light-emitting diodes,Materials Science,materials_chemistry,800,1,1987,55667,0.06326908222106455,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
pagerank_web_search,PageRank and web search,Computer Science,methods_computing,800,1,1998,50875,0.05611793611793612,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
pcr_polymerase_chain_reaction,PCR polymerase chain reaction,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1985,53278,0.04632306017493149,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
photocatalytic_water_splitting,Photocatalytic water splitting,Chemistry,materials_chemistry,800,1,1972,94177,0.06156492561878166,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
photonic_crystals,Photonic crystals,Physics and Astronomy,physics_astronomy,800,1,1987,71418,0.0684981377243832,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
quantum_hall_effect,Quantum Hall effect,Physics and Astronomy,physics_astronomy,800,1,1980,47027,0.04916324664554405,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
quantum_teleportation,Quantum teleportation,Physics and Astronomy,physics_astronomy,800,1,1993,60711,0.08500930638599265,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
quasicrystals,Quasicrystals,Materials Science,materials_chemistry,800,1,1984,37498,0.07968424982665742,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
random_forests,Random forests,Computer Science,methods_computing,800,1,2001,72802,0.06102854317189088,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
rna_interference,RNA interference,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,1,1998,52434,0.0854788877445932,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
rna_interference_and_gene_delivery,rna interference and gene delivery,,other_science,800,1,2001,129387,0.04388385231901196,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
super_resolution_microscopy,Super-resolution microscopy,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,1,2006,88079,0.05978723645817959,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
support_vector_machines,Support vector machines,Computer Science,methods_computing,800,1,1995,69560,0.07152098907418056,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
sustainable_development_and_environmental_policy,Sustainable Development and Environmental Policy,Environmental Science,other_science,800,1,1986,110894,0.020803650332750195,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
theoretical_and_computational_physics,Theoretical and Computational Physics,Physics and Astronomy,physics_astronomy,800,1,1971,119034,0.03077272039921367,0.7777777777777778,1,,supplemental_or_failed_screen,below_locked_screen_rank_or_pending_final_gate
