domain,n,landmarks,rho_learned,rho_equal,delta_vs_equal,median_rgpm,median_score,mean_year,min_year,max_year
autophagy_in_disease_and_therapy,1564,4,0.10765621966046816,0.1383917070989801,-0.03073548743851194,0.5190666666666667,-0.2445119444138639,2009.9609974424552,1997,2014
perovskite_solar_cells,431,2,0.17808561009060714,0.06155506515431234,0.1165305449362948,0.3574222222222222,-0.0240121566772004,2014.5939675174013,2009,2015
spectroscopy_and_quantum_chemical_studies,1138,2,0.20027613572378922,0.2682408688760593,-0.06796473315227008,0.3368,-0.1569300303589157,2002.4912126537786,1987,2014
crispr,573,3,0.20253481217426061,0.07591635025565747,0.12661846191860315,0.5560888888888889,-0.4351900814363891,2012.8586387434555,2006,2014
topological_insulators,567,1,0.2996266963384005,0.05607487340816487,0.24355182293023564,0.5992,0.1410654457701245,2011.9453262786596,2005,2014
exoplanets,1189,0,0.3336813312562105,0.2080126773957761,0.1256686538604344,0.5965333333333334,0.1442569657127758,2010.6644238856181,1998,2015
ipsc_reprogramming,1195,3,0.399765840215066,0.260603677211175,0.139162163003891,0.5096,0.2120061623970338,2005.3740585774058,1996,2009
graphene_2d_materials,962,1,0.41690254220958683,0.26873687782841954,0.1481656643811673,0.5585777777777778,0.2021579937456098,1999.4272349272348,1992,2004
gamma_ray_bursts_and_supernovae,1520,1,0.4446435302852908,-0.04301356620411815,0.48765709648940897,0.4584888888888889,-0.4015455192810023,2006.6842105263158,1988,2014
genetics_aging_and_longevity_in_model_organisms,1778,1,0.4567428274853768,0.290244439452499,0.1664983880328778,0.5100888888888889,-0.099977773361263,2003.761529808774,1982,2014
microbiome_metagenomics,333,1,0.5529443689770444,0.5240008423400675,0.028943526636976857,0.6108444444444444,0.134602732169076,2012.147147147147,2006,2014
