domain,works,score_n,score_rate,oof_n,oof_rate,refs_ge5_n,refs_ge5_rate,median_refs,p25_refs,p75_refs,landmarks,landmark_score_n
microbiome_metagenomics,2500,333,0.1332,333,0.1332,1279,0.5116,5.0,2.0,11.0,1,1
crispr,3998,573,0.1433216608304152,573,0.1433216608304152,3367,0.8421710855427714,16.0,8.0,28.0,3,3
perovskite_solar_cells,2796,431,0.15414878397711015,431,0.15414878397711015,2391,0.8551502145922747,20.0,10.0,30.0,2,2
topological_insulators,2527,567,0.22437673130193905,567,0.22437673130193905,1772,0.701226751088247,9.0,3.0,16.0,1,1
graphene_2d_materials,3986,962,0.2413447064726543,962,0.2413447064726543,2880,0.7225288509784245,9.0,4.0,16.0,1,1
ipsc_reprogramming,3864,1195,0.30926501035196685,1195,0.30926501035196685,2587,0.6695134575569358,8.0,3.0,15.0,6,3
spectroscopy_and_quantum_chemical_studies,2696,1138,0.422106824925816,1138,0.422106824925816,1327,0.4922106824925816,4.0,1.0,10.0,2,2
exoplanets,2641,1189,0.4502082544490723,1189,0.4502082544490723,1948,0.7375993941688754,12.0,4.0,24.0,1,0
autophagy_in_disease_and_therapy,2974,1564,0.5258910558170814,1564,0.5258910558170814,2765,0.929724277067922,19.5,11.0,36.0,4,4
gamma_ray_bursts_and_supernovae,2500,1520,0.608,1520,0.608,1989,0.7956,15.0,6.0,29.0,1,1
genetics_aging_and_longevity_in_model_organisms,2542,1778,0.6994492525570417,1778,0.6994492525570417,2053,0.8076317859952793,12.0,6.0,20.0,1,1
