stat,value,n,group
high_score_tertile_rgpm_percentile_median,70.9569209039548,2832,high
high_score_tertile_rgpm_percentile_mean,61.4111526062115,2832,high
low_score_tertile_rgpm_percentile_median,33.35098870056497,2832,low
low_score_tertile_rgpm_percentile_mean,39.68082021981763,2832,low
mid_score_tertile_rgpm_percentile_median,48.04025423728814,2832,mid
mid_score_tertile_rgpm_percentile_mean,48.92568254120251,2832,mid
high_vs_low_tertile_median_rgpm_lift_pp,37.60593220338983,8496,tertile
top_score_decile_rgpm_top20_rate,0.5552941176470588,850,top20
bottom_score_decile_rgpm_top20_rate,0.12470588235294118,850,top20
top_vs_bottom_score_decile_rgpm_top20_enrichment,4.452830188679245,8496,top20
top_score_decile_rgpm_top10_rate,0.36941176470588233,850,top10
bottom_score_decile_rgpm_top10_rate,0.047058823529411764,850,top10
top_vs_bottom_score_decile_rgpm_top10_enrichment,7.85,8496,top10
learned_oof_spearman,0.32363688029302995,8496,association
equal_weight_oof_spearman,0.14654982848102757,8496,association
