stat,value,n,group
low_score_tertile_rgpm_percentile_median,37.971936200282656,3302,low
low_score_tertile_rgpm_percentile_mean,40.937569054625286,3302,low
high_score_tertile_rgpm_percentile_median,72.95073692711489,3302,high
high_score_tertile_rgpm_percentile_mean,64.05602732310001,3302,high
mid_score_tertile_rgpm_percentile_median,44.50333131435494,3302,mid
mid_score_tertile_rgpm_percentile_mean,45.02154596025168,3302,mid
high_vs_low_tertile_median_rgpm_lift_pp,34.97880072683223,9906,tertile
top_score_decile_rgpm_top20_rate,0.5186680121089808,991,top20
bottom_score_decile_rgpm_top20_rate,0.0958627648839556,991,top20
top_vs_bottom_score_decile_rgpm_top20_enrichment,5.410526315789474,9906,top20
top_score_decile_rgpm_top10_rate,0.3218970736629667,991,top10
bottom_score_decile_rgpm_top10_rate,0.033299697275479316,991,top10
top_vs_bottom_score_decile_rgpm_top10_enrichment,9.666666666666666,9906,top10
learned_oof_spearman,0.36950747284896274,9906,association
equal_weight_oof_spearman,0.21816701470034855,9906,association
