domain,n_papers,min_year,max_year,learned_oof_spearman,equal_weight_spearman,s_w_spearman,median_rgpm,high_vs_low_tertile_median_rgpm_lift_pp,top_vs_bottom_score_decile_rgpm_top20_enrichment
genetics_aging_and_longevity_in_model_organisms,1320,2001,2014,0.5390589829045638,0.43363196314640085,0.5390589829045638,0.42873294032140835,44.58333333333333,10.222222222222223
ipsc_reprogramming,1102,2001,2009,0.4097091309626394,0.33669170568537615,0.4097091309626394,0.510255996123718,42.92196007259528,5.111111111111111
gamma_ray_bursts_and_supernovae,1271,2001,2014,0.40517584079447383,-0.022243411010627042,0.40517584079447383,0.4602277315674715,33.91030684500392,41.32283464566929
ubiquitin_and_proteasome_pathways,1247,2001,2014,0.3728433343078669,0.388524952609515,0.3728433343078669,0.5421141888072357,36.40737770649559,3.666666666666667
graphene_2d_materials,419,2001,2004,0.3517785696080598,0.34228791839828887,0.3517785696080598,0.5526932084309133,28.997613365155132,4.0
microbiome_metagenomics,333,2006,2014,0.32601873698485184,0.26020281156995684,0.32601873698485184,0.6979730275377534,28.528528528528533,7.0
exoplanets,1177,2002,2015,0.2785626589997426,0.1969928476540379,0.2785626589997426,0.5552773964305904,21.24044180118947,2.375
topological_insulators,567,2005,2014,0.2607052374354322,0.049065600635932204,0.2607052374354322,0.5411451183073569,27.336860670194,1.5
spectroscopy_and_quantum_chemical_studies,692,2001,2014,0.20719064297989134,0.35358349097738767,0.20719064297989134,0.34228377614471445,25.14450867052023,16.5
crispr,573,2006,2014,0.19258887574754954,0.07124323487878684,0.19258887574754954,0.4932568844383428,23.7347294938918,15.000000000000002
perovskite_solar_cells,431,2009,2015,0.17260214792770812,0.057587426107411625,0.17260214792770812,0.2937898732132762,6.264501160092806,1.0232558139534882
mass_spectrometry_techniques_and_applications,774,2001,2014,-0.14914913115241257,0.22805869960828898,-0.14914913115241257,0.6378099006702738,-3.746770025839794,0.7599999999999999
