domain,n_papers,min_year,max_year,learned_oof_spearman,equal_weight_spearman,s_w_spearman,median_rgpm,high_vs_low_tertile_median_rgpm_lift_pp,top_vs_bottom_score_decile_rgpm_top20_enrichment
genetics_aging_and_longevity_in_model_organisms,1320,2001,2014,0.42001983286189665,0.4106094985255296,0.4725258393395699,0.440873491850702,36.212121212121204,4.6000000000000005
graphene_2d_materials,419,2001,2004,0.36849311073471536,0.33964965078537507,0.35720587837365153,0.5118888026529317,24.701670644391413,4.6000000000000005
ipsc_reprogramming,1107,2000,2009,0.3379299439600723,0.32766739441040826,0.34530198442108595,0.3577224299724829,34.14634146341464,27.999999999999996
ubiquitin_and_proteasome_pathways,1335,2000,2014,0.24803027807739775,0.28480890259183156,0.2311194786634362,0.4373103788894377,24.119850187265918,4.117647058823529
exoplanets,1184,2001,2015,0.2354593477314846,0.1351362618119842,0.23609219633703657,0.4688139420023989,23.5641891891892,3.4166666666666665
crispr,573,2006,2014,0.17758675051413841,0.06277114622421258,0.17758675051413841,0.4385803993508784,16.57940663176266,19.0
perovskite_solar_cells,431,2009,2015,0.17185437139145776,0.036823639241226,0.17185437139145776,0.1816129259860297,5.800464037122978,1.0232558139534884
gamma_ray_bursts_and_supernovae,1329,2001,2014,0.1605130131662838,-0.02933293740824451,0.17543799916044647,0.4573484795032809,15.876598946576365,25.333333333333332
spectroscopy_and_quantum_chemical_studies,734,2000,2014,0.05300919456046613,0.29599986035013026,0.10056654953777593,0.3021590347844493,16.757493188010905,5.166666666666666
topological_insulators,567,2005,2014,0.042534529843735056,0.09176213791341253,0.042534529843735056,0.6041063994919919,9.523809523809526,0.30434782608695654
magnetic_properties_of_thin_films,1502,2000,2015,-0.03974991580255183,0.12511155258851883,-0.06030369926807419,0.5780357016863049,-2.729693741677764,1.0285714285714287
mass_spectrometry_techniques_and_applications,837,2000,2014,-0.2654070655652247,0.2276176511364252,-0.21093841086846435,0.6466520849502575,-17.80167264038232,0.5483870967741935
