domains,n_domains,max_year,n_papers,min_papers_per_domain,learned_oof_spearman,equal_weight_spearman,learned_vs_equal_delta,top_family,top_family_count,top_family_share,high_vs_low_tertile_median_rgpm_lift_pp,top_vs_bottom_score_decile_rgpm_top20_enrichment,candidate_id,passes_family_balance,passes_min_domains,passes_min_domain_papers,passes_top_enrichment,oof_gap_to_0_45,screening_score
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2012,8603,316,0.28494313983160013,0.19376005613647654,0.0911830836951236,physics_astronomy,4,0.4,26.328025107520617,4.3277310924369745,d10_y2012_00292,1,1,1,0,0.16505686016839988,0.42605691586509586
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,,9269,419,0.2815247350468709,0.18385277400921998,0.09767196103765094,biology_biomedicine,4,0.4,24.98111986190527,4.9799999999999995,d10_yall_00056,1,1,1,0,0.1684752649531291,0.43600833309875353
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,2015,9269,419,0.2815247350468709,0.18385277400921998,0.09767196103765094,biology_biomedicine,4,0.4,24.98111986190527,4.9799999999999995,d10_y2015_00060,1,1,1,0,0.1684752649531291,0.43600833309875353
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,9405,419,0.27673638857865185,0.1856071140784529,0.09112927450019895,biology_biomedicine,4,0.4,26.953748006379584,5.020833333333334,d10_yall_00066,1,1,1,1,0.17326361142134816,0.4317095189703285
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,9405,419,0.27673638857865185,0.1856071140784529,0.09112927450019895,biology_biomedicine,4,0.4,26.953748006379584,5.020833333333334,d10_y2015_00070,1,1,1,1,0.17326361142134816,0.4317095189703285
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,9263,419,0.2764041410507474,0.18662380784547145,0.08978033320527595,materials_chemistry,4,0.4,25.974306380222387,4.936842105263159,d10_yall_00301,1,1,1,0,0.1735958589492526,0.42962999981627437
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,9263,419,0.2764041410507474,0.18662380784547145,0.08978033320527595,materials_chemistry,4,0.4,25.974306380222387,4.936842105263159,d10_y2015_00305,1,1,1,0,0.1735958589492526,0.42962999981627437
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,,10340,419,0.2761420888310354,0.1833940968016964,0.092747992029339,biology_biomedicine,4,0.4,25.14506769825919,4.872,d10_yall_00021,1,1,1,0,0.1738579111689646,0.42821948843250246
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,2015,10340,419,0.2761420888310354,0.1833940968016964,0.092747992029339,biology_biomedicine,4,0.4,25.14506769825919,4.872,d10_y2015_00025,1,1,1,0,0.1738579111689646,0.42821948843250246
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,8652,419,0.27466346255026003,0.1908992893289281,0.08376417322133192,biology_biomedicine,4,0.4,24.843966712898762,5.164835164835165,d10_yall_00251,1,1,1,1,0.17533653744973998,0.43214837450803
