stat,value,n,group
low_score_tertile_rgpm_percentile_median,42.022402540130535,3780,low
low_score_tertile_rgpm_percentile_mean,44.5399828361991,3780,low
high_score_tertile_rgpm_percentile_median,64.88798729934733,3779,high
high_score_tertile_rgpm_percentile_mean,59.74467178054247,3779,high
mid_score_tertile_rgpm_percentile_median,43.99364967366379,3779,mid
mid_score_tertile_rgpm_percentile_mean,45.73002122796968,3779,mid
high_vs_low_tertile_median_rgpm_lift_pp,22.865584759216794,11338,tertile
top_score_decile_rgpm_top20_rate,0.5590828924162258,1134,top20
bottom_score_decile_rgpm_top20_rate,0.12433862433862433,1134,top20
top_vs_bottom_score_decile_rgpm_top20_enrichment,4.49645390070922,11338,top20
top_score_decile_rgpm_top10_rate,0.34656084656084657,1134,top10
bottom_score_decile_rgpm_top10_rate,0.043209876543209874,1134,top10
top_vs_bottom_score_decile_rgpm_top10_enrichment,8.020408163265307,11338,top10
learned_oof_spearman,0.24827866603475088,11338,association
equal_weight_oof_spearman,0.17184429940290843,11338,association
