domain,display_name,field_name,seed_source,n_works,citation_rows,duplicate_doi_rate,topic_coverage,local_reference_closure,raw_landmark_rate,legacy_fig1_anchor_rows,blank_legacy_fig1_anchor_rows,clean_landmark_rows,matched_clean_landmark_rows,unmatched_clean_landmark_rows,min_controls_pm5_years,topic_leakage_rate,v1_quality_gate_pass,recommended_role,failure_reasons,publication_score
crispr,CRISPR-Cas genome editing,"Biochemistry, Genetics and Molecular Biology",fig1_core,3998,98561,0.0,1.0,0.9504773693448728,0.0007503751875937,3,0,3,3,0,1898.0,0.0,False,main_candidate,,1.0
ipsc_reprogramming,iPSC and cellular reprogramming,"Biochemistry, Genetics and Molecular Biology",fig1_core,3864,45977,0.0,1.0,0.9512582378145594,0.0015527950310559,3,0,3,3,0,1955.0,0.0209627329192546,False,main_candidate,,1.0
perovskite_solar_cells,Perovskite solar cells,Materials Science,manual_landmark,2796,72590,0.0,1.0,0.9801212288193966,0.0007153075822603,0,0,2,2,0,232.0,0.0053648068669527,False,main_candidate,,1.0
spectroscopy_and_quantum_chemical_studies,Spectroscopy and Quantum Chemical Studies,Physics and Astronomy,fig3_auto,2696,19776,0.0,1.0,0.9763855177993528,0.0007418397626112,0,0,2,2,0,648.0,0.0,False,main_candidate,,1.0
exoplanets,Exoplanets,Physics and Astronomy,manual_landmark,2641,47583,0.0,1.0,0.9527772523800516,0.0003786444528587,0,0,1,1,0,55.0,0.0,False,main_candidate,,0.93
genetics_aging_and_longevity_in_model_organisms,"Genetics, Aging, and Longevity in Model Organisms","Biochemistry, Genetics and Molecular Biology",fig3_auto,2542,37779,0.0,1.0,0.9676539876651048,0.0003933910306845,0,0,1,1,0,1023.0,0.0,False,main_candidate,,0.93
graphene_2d_materials,Graphene and 2D materials,Materials Science,fig1_core,3986,56372,0.0,1.0,0.980309373447811,0.0002508780732563,1,0,1,1,0,1911.0,0.0102860010035122,False,main_candidate,,0.93
microbiome_metagenomics,Microbiome and metagenomics,Medicine,manual_landmark,2500,23067,0.0,1.0,0.8701174838513894,0.0004,0,0,1,1,0,1507.0,0.0,False,main_candidate,,0.93
topological_insulators,Topological insulators,Physics and Astronomy,manual_landmark,2527,33834,0.0,1.0,0.9105928947212862,0.000395726157499,0,0,1,1,0,172.0,0.0,False,main_candidate,,0.93
mass_spectrometry_techniques_and_applications,Mass Spectrometry Techniques and Applications,Chemistry,fig3_auto,2500,21561,0.0004,1.0,0.9794072631139558,0.0004,0,0,1,1,0,366.0,0.0,False,main_candidate,,0.9252
ubiquitin_and_proteasome_pathways,Ubiquitin and proteasome pathways,"Biochemistry, Genetics and Molecular Biology",fig3_auto,2500,34634,0.0044,1.0,0.9794132932956054,0.0012,0,0,1,1,0,972.0,0.0,False,main_candidate,,0.8772
gamma_ray_bursts_and_supernovae,Gamma-ray bursts and supernovae,Physics and Astronomy,fig3_auto,2500,64608,0.0076,1.0,0.8052563150074294,0.0004,0,0,1,1,0,668.0,0.0,False,main_candidate,,0.8388
