domain,display_name,field_name,seed_source,n_works,citation_rows,duplicate_doi_rate,topic_coverage,local_reference_closure,raw_landmark_rate,legacy_fig1_anchor_rows,blank_legacy_fig1_anchor_rows,clean_landmark_rows,matched_clean_landmark_rows,unmatched_clean_landmark_rows,min_controls_pm5_years,topic_leakage_rate,v1_quality_gate_pass,recommended_role,failure_reasons,publication_score
rna_interference_and_gene_delivery,rna_interference_and_gene_delivery,,,1,28,0.0,1.0,0.0,1.0,0,0,1,1,0,0,0.0,False,exclude_for_now,n_works;reference_closure;landmark_controls;legacy_landmark_inflation,0.430088
autophagy_in_disease_and_therapy,Autophagy in Disease and Therapy,Medicine,fig3_auto,2974,86235,0.0,1.0,0.9727836725227575,0.0013449899125756557,0,0,4,4,0,877,0.0,False,main_candidate,,1.0
banking_stability_regulation_efficiency,"Banking stability, regulation, efficiency","Economics, Econometrics and Finance",fig3_auto,2622,32257,0.0,1.0,0.9389589856465264,0.0011441647597254005,0,0,2,2,0,471,0.0,False,main_candidate,,1.0
crispr,CRISPR-Cas genome editing,"Biochemistry, Genetics and Molecular Biology",fig1_core,3998,98561,0.0,1.0,0.9504773693448727,0.0007503751875937969,3,0,3,3,0,1898,0.0,False,main_candidate,,1.0
economic_theories_and_models,Economic theories and models,"Economics, Econometrics and Finance",fig3_auto,2553,6634,0.0,1.0,0.8750376846548086,0.0007833920877399138,0,0,2,2,0,744,0.0,False,main_candidate,,1.0
ipsc_reprogramming,iPSC and cellular reprogramming,"Biochemistry, Genetics and Molecular Biology",fig1_core,3864,45977,0.0,1.0,0.9512582378145594,0.0015527950310559005,3,0,3,3,0,1955,0.02096273291925466,False,main_candidate,,1.0
monetary_policy_and_economic_impact,Monetary Policy and Economic Impact,"Economics, Econometrics and Finance",fig3_auto,2502,22380,0.0,1.0,0.9328418230563003,0.0015987210231814548,0,0,2,2,0,582,0.0,False,main_candidate,,1.0
perovskite_solar_cells,Perovskite solar cells,Materials Science,manual_landmark,2796,72590,0.0,1.0,0.9801212288193966,0.000715307582260372,0,0,2,2,0,232,0.00536480686695279,False,main_candidate,,1.0
spectroscopy_and_quantum_chemical_studies,Spectroscopy and Quantum Chemical Studies,Physics and Astronomy,fig3_auto,2696,19776,0.0,1.0,0.9763855177993528,0.000741839762611276,0,0,2,2,0,648,0.0,False,main_candidate,,1.0
advanced_mri_techniques_and_applications,Advanced MRI Techniques and Applications,Medicine,fig3_auto,2515,18029,0.0,1.0,0.9831937434133895,0.00039761431411530816,0,0,1,1,0,215,0.0,False,main_candidate,,0.93
exoplanets,Exoplanets,Physics and Astronomy,manual_landmark,2641,47583,0.0,1.0,0.9527772523800517,0.0003786444528587656,0,0,1,1,0,55,0.0,False,main_candidate,,0.93
genetics_aging_and_longevity_in_model_organisms,"Genetics, Aging, and Longevity in Model Organisms","Biochemistry, Genetics and Molecular Biology",fig3_auto,2542,37779,0.0,1.0,0.9676539876651049,0.0003933910306845004,0,0,1,1,0,1023,0.0,False,main_candidate,,0.93
graphene_2d_materials,Graphene and 2D materials,Materials Science,fig1_core,3986,56372,0.0,1.0,0.980309373447811,0.0002508780732563974,1,0,1,1,0,1911,0.010286001003512292,False,main_candidate,,0.93
microbiome_metagenomics,Microbiome and metagenomics,Medicine,manual_landmark,2500,23067,0.0,1.0,0.8701174838513894,0.0004,0,0,1,1,0,1507,0.0,False,main_candidate,,0.93
protein_structure_and_dynamics,Protein Structure and Dynamics,"Biochemistry, Genetics and Molecular Biology",fig3_auto,2500,24275,0.0,1.0,0.8921524201853759,0.0004,0,0,1,1,0,589,0.0,False,main_candidate,,0.93
super_resolution_microscopy,Super-resolution microscopy,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2644,9828,0.0,1.0,0.9434269434269434,0.00037821482602118004,0,0,1,1,0,160,0.0,False,main_candidate,,0.93
topological_insulators,Topological insulators,Physics and Astronomy,manual_landmark,2527,33834,0.0,1.0,0.9105928947212862,0.0003957261574990107,0,0,1,1,0,172,0.0,False,main_candidate,,0.93
mass_spectrometry_techniques_and_applications,Mass Spectrometry Techniques and Applications,Chemistry,fig3_auto,2500,21561,0.0004,1.0,0.9794072631139558,0.0004,0,0,1,1,0,366,0.0,False,main_candidate,,0.9252
ubiquitin_and_proteasome_pathways,Ubiquitin and proteasome pathways,"Biochemistry, Genetics and Molecular Biology",fig3_auto,2500,34634,0.0044,1.0,0.9794132932956054,0.0012,0,0,1,1,0,972,0.0,False,main_candidate,,0.8772
gamma_ray_bursts_and_supernovae,Gamma-ray bursts and supernovae,Physics and Astronomy,fig3_auto,2500,64608,0.0076,1.0,0.8052563150074294,0.0004,0,0,1,1,0,668,0.0,False,main_candidate,,0.8388
financial_markets_and_investment_strategies,Financial Markets and Investment Strategies,"Economics, Econometrics and Finance",fig3_auto,2780,32058,0.0,1.0,0.975357165138187,0.0007194244604316547,0,0,3,2,1,958,0.0,False,rebuild_needed,unmatched_clean_landmark,1.0
income_poverty_and_inequality,"Income, Poverty, and Inequality",Social Sciences,fig3_auto,2536,13463,0.0,1.0,0.8628091807175221,0.0015772870662460567,0,0,3,2,1,478,0.0,False,rebuild_needed,unmatched_clean_landmark,1.0
mrna_vaccines_lnp,mRNA vaccines and lipid nanoparticles,Medicine,manual_landmark,2681,23991,0.0,1.0,0.7555333249968739,0.0007459903021260724,0,0,2,2,0,225,0.0,False,rebuild_needed,reference_closure,0.991107
economic_theory_and_institutions,Economic Theory and Institutions,"Economics, Econometrics and Finance",fig3_auto,2596,7311,0.0,1.0,0.7364245657228833,0.0015408320493066256,0,0,4,3,1,428,0.0,False,rebuild_needed,reference_closure;unmatched_clean_landmark,0.987285
car_t_cell_therapy,CAR-T cell therapy,Medicine,manual_landmark,2328,25764,0.0,1.0,0.7975857786058066,0.000859106529209622,0,0,2,2,0,296,0.0,False,rebuild_needed,n_works;reference_closure,0.984381
diffusion_generative_models,Diffusion and generative models,Computer Science,manual_landmark,2454,4591,0.0,1.0,0.734044870398606,0.0012224938875305623,0,0,2,2,0,609,0.0,False,rebuild_needed,n_works;reference_closure,0.982761
single_cell_rna_seq,Single-cell RNA sequencing,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2608,25630,0.0,1.0,0.7038236441669918,0.0007668711656441718,0,0,2,2,0,59,0.0,False,rebuild_needed,reference_closure,0.980765
synthetic_biology,Synthetic biology,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2216,8061,0.0,1.0,0.8816524004465948,0.0009025270758122744,0,0,2,2,0,92,0.0,False,rebuild_needed,n_works,0.975008
transformer_foundation_models,Transformer and foundation models,Computer Science,fig1_core,3831,23079,0.0,0.6523101018010963,0.9137310975345552,0.0007830853563038371,3,0,3,3,0,2005,0.008613938919342208,False,rebuild_needed,topic_coverage,0.943596
organoids,Organoids and stem-cell models,Medicine,manual_landmark,2028,11209,0.0,1.0,0.6951556784726559,0.0009861932938856016,0,0,2,2,0,248,0.0,False,rebuild_needed,n_works;reference_closure,0.937495
alphafold_protein_folding,AlphaFold and protein structure prediction,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2104,8436,0.0,1.0,0.6270744428639166,0.0009505703422053232,0,0,2,2,0,544,0.0,False,rebuild_needed,n_works;reference_closure,0.930567
gravitational_waves,Gravitational waves,Physics and Astronomy,manual_landmark,2425,42451,0.0,1.0,0.8902734917905349,0.0008247422680412372,0,0,1,1,0,1403,0.0,False,rebuild_needed,n_works,0.9234
magnetic_properties_of_thin_films,Magnetic properties of thin films,Physics and Astronomy,fig3_auto,2500,40536,0.0008,1.0,0.7279948687586343,0.0004,0,0,1,1,0,604,0.0,False,rebuild_needed,reference_closure,0.905999
sustainable_development_and_environmental_policy,Sustainable Development and Environmental Policy,Environmental Science,fig3_auto,2114,9191,0.0,1.0,0.858013273854858,0.0004730368968779565,0,0,1,1,0,125,0.0,False,rebuild_needed,n_works,0.896032
nanopore_sequencing,Nanopore sequencing,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2576,13630,0.0,1.0,0.838004402054292,0.00038819875776397513,0,0,1,1,0,35,0.0,False,rebuild_needed,landmark_controls,0.894
economic_theory_and_policy,Economic Theory and Policy,"Economics, Econometrics and Finance",fig3_auto,2325,6152,0.0,1.0,0.6861183355006502,0.00043010752688172043,0,0,3,1,2,450,0.0,False,rebuild_needed,n_works;reference_closure;unmatched_clean_landmark,0.891824
economic_growth_and_productivity,Economic Growth and Productivity,"Economics, Econometrics and Finance",fig3_auto,2052,13727,0.0,1.0,0.8792161433670868,0.0004873294346978557,0,0,2,1,1,133,0.0,False,rebuild_needed,n_works;unmatched_clean_landmark,0.890576
rna_interference,RNA interference,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2185,10483,0.0,1.0,0.6909281694171516,0.0004576659038901602,0,0,1,1,0,197,0.0,False,rebuild_needed,n_works;reference_closure,0.880466
spatial_transcriptomics,Spatial transcriptomics,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2452,13889,0.0,1.0,0.5583555331557347,0.0004078303425774878,0,0,1,1,0,610,0.0,False,rebuild_needed,n_works;reference_closure,0.877447
genome_wide_association_studies,Genome-wide association studies,Medicine,manual_landmark,2500,31122,0.0016,1.0,0.5971338602917551,0.0004,0,0,1,1,0,883,0.0,False,rebuild_needed,reference_closure,0.870227
immune_checkpoint_therapy,Immune checkpoint therapy,Medicine,manual_landmark,2483,75536,0.0016109544905356424,1.0,0.3968306502859564,0.0004027386226339106,0,0,1,1,0,611,0.0,False,rebuild_needed,n_works;reference_closure,0.828539
climate_attribution_models,Climate attribution and earth-system modeling,Earth and Planetary Sciences,manual_landmark,2717,15707,0.0,1.0,0.9680397275100274,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
hydrogen_electrocatalysis,Hydrogen electrocatalysis,Chemical Engineering,manual_landmark,2532,45775,0.0,1.0,0.9208956854178045,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
lithium_ion_solid_state_batteries,Lithium-ion and solid-state batteries,Energy,manual_landmark,2645,28495,0.0,1.0,0.8941568696262502,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
quantum_computing,Quantum computing,Computer Science,manual_landmark,2679,21850,0.0,1.0,0.8697940503432494,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
bayesian_causal_inference,Bayesian causal inference,Mathematics,manual_landmark,2430,4382,0.0,1.0,0.8450479233226837,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,n_works;missing_clean_landmark;landmark_controls,0.73384
theoretical_and_computational_physics,Theoretical and Computational Physics,Physics and Astronomy,fig3_auto,2417,11969,0.0,1.0,0.9772746261174702,0.0,0,0,1,0,1,,0.0,False,rebuild_needed,n_works;unmatched_clean_landmark;landmark_controls,0.732696
gender_labor_and_family_dynamics,"Gender, Labor, and Family Dynamics",Social Sciences,fig3_auto,2292,8769,0.0,1.0,0.8855057589234805,0.0,0,0,1,0,1,,0.0,False,rebuild_needed,n_works;unmatched_clean_landmark;landmark_controls,0.721696
aav_gene_therapy,AAV and gene therapy,Medicine,manual_landmark,1854,4754,0.0,1.0,0.9164913756836348,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,n_works;missing_clean_landmark;landmark_controls,0.683152
