domain,fig3_analysis_end_year,fig3_tau,fig3_cutoff_year,fig3_min_refs,fig3_total_works,fig3_eligible_works,fig3_eligible_metric_papers,fig3_clean_landmarks,fig3_matched_clean_landmarks,fig3_eligible_metric_landmarks,fig3_metric_paper_rate,fig3_ready,fig3_readiness_failures
autophagy_in_disease_and_therapy,2025,10,2015,5,2974,1900,1765,4,4,4,0.5934767989240081,True,
ipsc_reprogramming,2025,10,2015,5,3864,3222,2151,3,3,3,0.5566770186335404,True,
crispr,2025,10,2015,5,3998,1142,973,3,3,3,0.24337168584292146,True,
spectroscopy_and_quantum_chemical_studies,2025,10,2015,5,2696,2507,1206,2,2,2,0.4473293768545994,True,
income_poverty_and_inequality,2025,10,2015,5,2536,2199,866,3,2,2,0.3414826498422713,True,
perovskite_solar_cells,2025,10,2015,5,2796,527,472,2,2,2,0.1688125894134478,True,
graphene_2d_materials,2025,10,2015,5,3986,3986,2903,1,1,1,0.7282990466633217,True,
genetics_aging_and_longevity_in_model_organisms,2025,10,2015,5,2542,2332,1891,1,1,1,0.7439024390243902,True,
ubiquitin_and_proteasome_pathways,2025,10,2015,5,2500,2283,1692,1,1,1,0.6768,True,
gamma_ray_bursts_and_supernovae,2025,10,2015,5,2500,2083,1637,1,1,1,0.6548,True,
financial_markets_and_investment_strategies,2025,10,2015,5,2780,2338,1615,3,2,1,0.5809352517985612,True,
monetary_policy_and_economic_impact,2025,10,2015,5,2502,2296,1455,2,2,1,0.5815347721822542,True,
banking_stability_regulation_efficiency,2025,10,2015,5,2622,2094,1417,2,2,1,0.5404271548436308,True,
magnetic_properties_of_thin_films,2025,10,2015,5,2500,2068,1415,1,1,1,0.566,True,
exoplanets,2025,10,2015,5,2641,1711,1261,1,1,1,0.47747065505490344,True,
mass_spectrometry_techniques_and_applications,2025,10,2015,5,2500,2243,1192,1,1,1,0.4768,True,
topological_insulators,2025,10,2015,5,2527,1025,775,1,1,1,0.30668777206173325,True,
genome_wide_association_studies,2025,10,2015,5,2500,1433,712,1,1,1,0.2848,True,
microbiome_metagenomics,2025,10,2015,5,2500,1029,488,1,1,1,0.1952,True,
immune_checkpoint_therapy,2025,10,2015,5,2483,827,471,1,1,1,0.1896898912605719,True,
single_cell_rna_seq,2025,10,2015,5,2608,125,43,2,2,2,0.016487730061349692,False,fig3_metric_papers
synthetic_biology,2025,10,2015,5,2216,1069,270,2,2,1,0.12184115523465704,False,fig3_metric_papers
mrna_vaccines_lnp,2025,10,2015,5,2681,633,251,2,2,1,0.09362178291682208,False,fig3_metric_papers
super_resolution_microscopy,2025,10,2015,5,2644,717,127,1,1,1,0.04803328290468986,False,fig3_metric_papers
car_t_cell_therapy,2025,10,2015,5,2328,208,74,2,2,1,0.03178694158075601,False,fig3_metric_papers
nanopore_sequencing,2025,10,2015,5,2576,597,73,1,1,1,0.028338509316770188,False,fig3_metric_papers
organoids,2025,10,2015,5,2028,393,54,2,2,1,0.026627218934911243,False,fig3_metric_papers
rna_interference_and_gene_delivery,2025,10,2015,5,1,1,1,1,1,1,1.0,False,fig3_metric_papers
protein_structure_and_dynamics,2025,10,2015,5,2500,1910,1204,1,1,0,0.4816,False,fig3_metric_landmarks
advanced_mri_techniques_and_applications,2025,10,2015,5,2515,2349,1170,1,1,0,0.46520874751491054,False,fig3_metric_landmarks
economic_growth_and_productivity,2025,10,2015,5,2052,1867,902,2,1,0,0.4395711500974659,False,fig3_metric_landmarks
theoretical_and_computational_physics,2025,10,2015,5,2417,2291,817,1,0,0,0.33802234174596607,False,fig3_metric_landmarks
gravitational_waves,2025,10,2015,5,2425,1372,764,1,1,0,0.3150515463917526,False,fig3_metric_landmarks
gender_labor_and_family_dynamics,2025,10,2015,5,2292,2126,593,1,0,0,0.2587260034904014,False,fig3_metric_landmarks
lithium_ion_solid_state_batteries,2025,10,2015,5,2645,1120,546,0,0,0,0.2064272211720227,False,fig3_metric_landmarks
sustainable_development_and_environmental_policy,2025,10,2015,5,2114,1686,544,1,1,0,0.25733207190160834,False,fig3_metric_landmarks
rna_interference,2025,10,2015,5,2185,1697,530,1,1,0,0.2425629290617849,False,fig3_metric_landmarks
economic_theory_and_institutions,2025,10,2015,5,2596,2387,459,4,3,0,0.17681047765793528,False,fig3_metric_landmarks
quantum_computing,2025,10,2015,5,2679,1120,406,0,0,0,0.1515490854796566,False,fig3_metric_landmarks
economic_theories_and_models,2025,10,2015,5,2553,2262,401,2,2,0,0.15707011359185272,False,fig3_metric_landmarks
alphafold_protein_folding,2025,10,2015,5,2104,1558,356,2,2,0,0.16920152091254753,False,fig3_metric_landmarks
hydrogen_electrocatalysis,2025,10,2015,5,2532,567,346,0,0,0,0.13665086887835703,False,fig3_metric_landmarks
economic_theory_and_policy,2025,10,2015,5,2325,2048,325,3,1,0,0.13978494623655913,False,fig3_metric_landmarks
transformer_foundation_models,2025,10,2015,5,3831,1575,325,3,3,0,0.08483424693291569,False,fig3_metric_landmarks
climate_attribution_models,2025,10,2015,5,2717,1189,315,0,0,0,0.1159366948840633,False,fig3_metric_landmarks
aav_gene_therapy,2025,10,2015,5,1854,1479,261,0,0,0,0.1407766990291262,False,fig3_metric_papers;fig3_metric_landmarks
diffusion_generative_models,2025,10,2015,5,2454,1729,148,2,2,0,0.06030969845150774,False,fig3_metric_papers;fig3_metric_landmarks
bayesian_causal_inference,2025,10,2015,5,2430,1447,126,0,0,0,0.05185185185185185,False,fig3_metric_papers;fig3_metric_landmarks
spatial_transcriptomics,2025,10,2015,5,2452,19,0,1,1,0,0.0,False,fig3_metric_papers;fig3_metric_landmarks
