domain,n_works,landmarks,citation_rows,closure,topic_coverage,dup_doi
crispr,3998,3,98561,0.9504773693448727,1.0,0.0
exoplanets,2641,1,47583,0.9527772523800517,1.0,0.0
gamma_ray_bursts_and_supernovae,2500,1,64608,0.8052563150074294,1.0,0.00040306328093510683
genetics_aging_and_longevity_in_model_organisms,2542,1,37779,0.9676539876651049,1.0,0.0
graphene_2d_materials,3986,1,56372,0.980309373447811,1.0,0.0
ipsc_reprogramming,3864,6,45977,0.9512582378145594,1.0,0.0
mass_spectrometry_techniques_and_applications,2500,1,21561,0.9794072631139558,1.0,0.0
microbiome_metagenomics,2500,1,23067,0.8701174838513894,1.0,0.0
perovskite_solar_cells,2796,2,72590,0.9801212288193966,1.0,0.0
spectroscopy_and_quantum_chemical_studies,2696,2,19776,0.9763855177993528,1.0,0.0
topological_insulators,2527,1,33834,0.9105928947212862,1.0,0.0
ubiquitin_and_proteasome_pathways,2500,3,34634,0.9794132932956054,1.0,0.0
