rebuild_rank,domain,display_name,field_name,seed_source,n_works,citation_rows,duplicate_doi_rate,topic_coverage,local_reference_closure,raw_landmark_rate,legacy_fig1_anchor_rows,blank_legacy_fig1_anchor_rows,clean_landmark_rows,matched_clean_landmark_rows,unmatched_clean_landmark_rows,min_controls_pm5_years,topic_leakage_rate,v1_quality_gate_pass,recommended_role,failure_reasons,publication_score
1,rna_interference_and_gene_delivery,rna_interference_and_gene_delivery,,,1,28,0.0,1.0,0.0,1.0,0,0,1,1,0,0,0.0,False,exclude_for_now,n_works;reference_closure;landmark_controls;legacy_landmark_inflation,0.430088
2,financial_markets_and_investment_strategies,Financial Markets and Investment Strategies,"Economics, Econometrics and Finance",fig3_auto,2780,32058,0.0,1.0,0.975357165138187,0.0007194244604316547,0,0,3,2,1,958,0.0,False,rebuild_needed,unmatched_clean_landmark,1.0
3,income_poverty_and_inequality,"Income, Poverty, and Inequality",Social Sciences,fig3_auto,2536,13463,0.0,1.0,0.8628091807175221,0.0015772870662460567,0,0,3,2,1,478,0.0,False,rebuild_needed,unmatched_clean_landmark,1.0
4,mrna_vaccines_lnp,mRNA vaccines and lipid nanoparticles,Medicine,manual_landmark,2681,23991,0.0,1.0,0.7555333249968739,0.0007459903021260724,0,0,2,2,0,225,0.0,False,rebuild_needed,reference_closure,0.991107
5,economic_theory_and_institutions,Economic Theory and Institutions,"Economics, Econometrics and Finance",fig3_auto,2596,7311,0.0,1.0,0.7364245657228833,0.0015408320493066256,0,0,4,3,1,428,0.0,False,rebuild_needed,reference_closure;unmatched_clean_landmark,0.987285
6,car_t_cell_therapy,CAR-T cell therapy,Medicine,manual_landmark,2328,25764,0.0,1.0,0.7975857786058066,0.000859106529209622,0,0,2,2,0,296,0.0,False,rebuild_needed,n_works;reference_closure,0.984381
7,diffusion_generative_models,Diffusion and generative models,Computer Science,manual_landmark,2454,4591,0.0,1.0,0.734044870398606,0.0012224938875305623,0,0,2,2,0,609,0.0,False,rebuild_needed,n_works;reference_closure,0.982761
8,single_cell_rna_seq,Single-cell RNA sequencing,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2608,25630,0.0,1.0,0.7038236441669918,0.0007668711656441718,0,0,2,2,0,59,0.0,False,rebuild_needed,reference_closure,0.980765
9,synthetic_biology,Synthetic biology,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2216,8061,0.0,1.0,0.8816524004465948,0.0009025270758122744,0,0,2,2,0,92,0.0,False,rebuild_needed,n_works,0.975008
10,transformer_foundation_models,Transformer and foundation models,Computer Science,fig1_core,3831,23079,0.0,0.6523101018010963,0.9137310975345552,0.0007830853563038371,3,0,3,3,0,2005,0.008613938919342208,False,rebuild_needed,topic_coverage,0.943596
11,organoids,Organoids and stem-cell models,Medicine,manual_landmark,2028,11209,0.0,1.0,0.6951556784726559,0.0009861932938856016,0,0,2,2,0,248,0.0,False,rebuild_needed,n_works;reference_closure,0.937495
12,alphafold_protein_folding,AlphaFold and protein structure prediction,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2104,8436,0.0,1.0,0.6270744428639166,0.0009505703422053232,0,0,2,2,0,544,0.0,False,rebuild_needed,n_works;reference_closure,0.930567
13,gravitational_waves,Gravitational waves,Physics and Astronomy,manual_landmark,2425,42451,0.0,1.0,0.8902734917905349,0.0008247422680412372,0,0,1,1,0,1403,0.0,False,rebuild_needed,n_works,0.9234
14,magnetic_properties_of_thin_films,Magnetic properties of thin films,Physics and Astronomy,fig3_auto,2500,40536,0.0008,1.0,0.7279948687586343,0.0004,0,0,1,1,0,604,0.0,False,rebuild_needed,reference_closure,0.905999
15,sustainable_development_and_environmental_policy,Sustainable Development and Environmental Policy,Environmental Science,fig3_auto,2114,9191,0.0,1.0,0.858013273854858,0.0004730368968779565,0,0,1,1,0,125,0.0,False,rebuild_needed,n_works,0.896032
16,nanopore_sequencing,Nanopore sequencing,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2576,13630,0.0,1.0,0.838004402054292,0.00038819875776397513,0,0,1,1,0,35,0.0,False,rebuild_needed,landmark_controls,0.894
17,economic_theory_and_policy,Economic Theory and Policy,"Economics, Econometrics and Finance",fig3_auto,2325,6152,0.0,1.0,0.6861183355006502,0.00043010752688172043,0,0,3,1,2,450,0.0,False,rebuild_needed,n_works;reference_closure;unmatched_clean_landmark,0.891824
18,economic_growth_and_productivity,Economic Growth and Productivity,"Economics, Econometrics and Finance",fig3_auto,2052,13727,0.0,1.0,0.8792161433670868,0.0004873294346978557,0,0,2,1,1,133,0.0,False,rebuild_needed,n_works;unmatched_clean_landmark,0.890576
19,rna_interference,RNA interference,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2185,10483,0.0,1.0,0.6909281694171516,0.0004576659038901602,0,0,1,1,0,197,0.0,False,rebuild_needed,n_works;reference_closure,0.880466
20,spatial_transcriptomics,Spatial transcriptomics,"Biochemistry, Genetics and Molecular Biology",manual_landmark,2452,13889,0.0,1.0,0.5583555331557347,0.0004078303425774878,0,0,1,1,0,610,0.0,False,rebuild_needed,n_works;reference_closure,0.877447
21,genome_wide_association_studies,Genome-wide association studies,Medicine,manual_landmark,2500,31122,0.0016,1.0,0.5971338602917551,0.0004,0,0,1,1,0,883,0.0,False,rebuild_needed,reference_closure,0.870227
22,immune_checkpoint_therapy,Immune checkpoint therapy,Medicine,manual_landmark,2483,75536,0.0016109544905356424,1.0,0.3968306502859564,0.0004027386226339106,0,0,1,1,0,611,0.0,False,rebuild_needed,n_works;reference_closure,0.828539
23,climate_attribution_models,Climate attribution and earth-system modeling,Earth and Planetary Sciences,manual_landmark,2717,15707,0.0,1.0,0.9680397275100274,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
24,hydrogen_electrocatalysis,Hydrogen electrocatalysis,Chemical Engineering,manual_landmark,2532,45775,0.0,1.0,0.9208956854178045,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
25,lithium_ion_solid_state_batteries,Lithium-ion and solid-state batteries,Energy,manual_landmark,2645,28495,0.0,1.0,0.8941568696262502,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
26,quantum_computing,Quantum computing,Computer Science,manual_landmark,2679,21850,0.0,1.0,0.8697940503432494,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,missing_clean_landmark;landmark_controls,0.74
27,bayesian_causal_inference,Bayesian causal inference,Mathematics,manual_landmark,2430,4382,0.0,1.0,0.8450479233226837,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,n_works;missing_clean_landmark;landmark_controls,0.73384
28,theoretical_and_computational_physics,Theoretical and Computational Physics,Physics and Astronomy,fig3_auto,2417,11969,0.0,1.0,0.9772746261174702,0.0,0,0,1,0,1,,0.0,False,rebuild_needed,n_works;unmatched_clean_landmark;landmark_controls,0.732696
29,gender_labor_and_family_dynamics,"Gender, Labor, and Family Dynamics",Social Sciences,fig3_auto,2292,8769,0.0,1.0,0.8855057589234805,0.0,0,0,1,0,1,,0.0,False,rebuild_needed,n_works;unmatched_clean_landmark;landmark_controls,0.721696
30,aav_gene_therapy,AAV and gene therapy,Medicine,manual_landmark,1854,4754,0.0,1.0,0.9164913756836348,0.0,0,0,0,0,0,,0.0,False,rebuild_needed,n_works;missing_clean_landmark;landmark_controls,0.683152
