parameter,label,window_index,window,standardized_value,source_column,provenance,manual_values
B,$B$ (bridge centrality),1,2000-2009,-1.7229579879559827,B_proxy_raw,computed,0
B,$B$ (bridge centrality),2,2010-2014,0.7387690743683392,B_proxy_raw,computed,0
B,$B$ (bridge centrality),3,2015-2019,0.5178055213498401,B_proxy_raw,computed,0
B,$B$ (bridge centrality),4,2020-2024,0.4663833922378027,B_proxy_raw,computed,0
RTD,RTD (reference target diversity),1,2000-2009,-1.7165575234096244,RTD_proxy_raw,computed,0
RTD,RTD (reference target diversity),2,2010-2014,0.7834865645311634,RTD_proxy_raw,computed,0
RTD,RTD (reference target diversity),3,2015-2019,0.5127326918756209,RTD_proxy_raw,computed,0
RTD,RTD (reference target diversity),4,2020-2024,0.4203382670028396,RTD_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),1,2000-2009,-1.5777785761905618,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),2,2010-2014,0.348322642585001,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),3,2015-2019,1.1775357292038175,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),4,2020-2024,0.051920204401743726,Uzzi_proxy_raw,computed,0
DeltaQ,$\Delta Q$ directionality,1,2000-2009,0.0,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,2,2010-2014,1.0548114110205846,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,3,2015-2019,2.497363834788375,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,4,2020-2024,0.11539585163570408,DeltaQ_directionality_raw,computed,0
