source,target,weight,direct,bibliographic,cocitation
https://openalex.org/W2045435533,https://openalex.org/W2124741861,7.9577406124746535,1,11,21
https://openalex.org/W2045435533,https://openalex.org/W2064815984,9.95356106422148,1,8,381
https://openalex.org/W2045435533,https://openalex.org/W2003171404,9.393817580288562,1,5,314
https://openalex.org/W2045435533,https://openalex.org/W1977709885,8.192897780168337,1,7,48
https://openalex.org/W2045435533,https://openalex.org/W2050480410,9.113407992111469,1,10,103
https://openalex.org/W2045435533,https://openalex.org/W2096261947,9.426709597913764,1,11,137
https://openalex.org/W2045435533,https://openalex.org/W1973260880,6.485367061351674,1,0,77
https://openalex.org/W2045435533,https://openalex.org/W2336828812,6.22028135258812,1,0,55
https://openalex.org/W2045435533,https://openalex.org/W2160051211,7.9548375411521395,1,2,123
https://openalex.org/W2045435533,https://openalex.org/W2252568502,5.636669492803463,1,0,26
https://openalex.org/W2045435533,https://openalex.org/W2036176224,8.312898815918773,1,2,193
https://openalex.org/W2045435533,https://openalex.org/W2165869860,8.608307168800586,1,5,117
https://openalex.org/W2045435533,https://openalex.org/W2981137429,5.218070977791825,1,0,15
https://openalex.org/W2045435533,https://openalex.org/W2787024379,5.355551183333152,1,0,18
https://openalex.org/W2045435533,https://openalex.org/W2101749257,7.46794627759602,1,1,111
https://openalex.org/W2045435533,https://openalex.org/W2112444085,7.706398721160413,1,4,47
https://openalex.org/W2045435533,https://openalex.org/W2170039745,7.5933050391208665,1,1,130
https://openalex.org/W2045435533,https://openalex.org/W2167380395,8.286452219680811,1,3,130
https://openalex.org/W2045435533,https://openalex.org/W2077659966,7.806478025762074,1,1,170
https://openalex.org/W2045435533,https://openalex.org/W2039705224,8.522693616243172,1,7,73
https://openalex.org/W2045435533,https://openalex.org/W1976391205,8.255319886681074,1,3,125
https://openalex.org/W2045435533,https://openalex.org/W2127862779,6.176233530841698,1,0,52
https://openalex.org/W2045435533,https://openalex.org/W2070614858,7.633684774905388,1,2,82
https://openalex.org/W2045435533,https://openalex.org/W2224398381,6.35172379362114,1,0,65
https://openalex.org/W2045435533,https://openalex.org/W2199695484,8.666409036749869,1,13,43
https://openalex.org/W2045435533,https://openalex.org/W2000046950,9.47722866003894,1,12,132
https://openalex.org/W2045435533,https://openalex.org/W2115603949,6.738477172376202,1,1,44
https://openalex.org/W2045435533,https://openalex.org/W2409671300,7.87664759085302,1,7,32
https://openalex.org/W2045435533,https://openalex.org/W1982802227,6.440336944148063,1,1,30
https://openalex.org/W2045435533,https://openalex.org/W2107959600,8.573669724197927,1,5,112
https://openalex.org/W2045435533,https://openalex.org/W2003797386,6.554121005192254,1,0,84
https://openalex.org/W2045435533,https://openalex.org/W3035764705,6.04984759446376,1,3,7
https://openalex.org/W2045435533,https://openalex.org/W3015140168,4.433407575382444,1,0,5
https://openalex.org/W2045435533,https://openalex.org/W2153344788,8.533657735184844,1,4,134
https://openalex.org/W2045435533,https://openalex.org/W2068427957,6.339509815916509,1,0,64
https://openalex.org/W2045435533,https://openalex.org/W2554763217,7.249184063305449,1,8,12
https://openalex.org/W2045435533,https://openalex.org/W1972476556,6.268247840454507,1,1,24
https://openalex.org/W2045435533,https://openalex.org/W2108038398,6.767624161049867,1,0,110
https://openalex.org/W2045435533,https://openalex.org/W1970196890,8.613884131991771,1,6,97
https://openalex.org/W2045435533,https://openalex.org/W2123746851,7.496019333445037,1,1,115
https://openalex.org/W2045435533,https://openalex.org/W2066783444,5.693836663989179,1,0,28
https://openalex.org/W2045435533,https://openalex.org/W2180291937,4.757779661868976,1,0,8
https://openalex.org/W2045435533,https://openalex.org/W2026520402,7.941829124454715,1,2,121
