parameter,label,window_index,window,standardized_value,source_column,provenance,manual_values
RS,RS (reference span),1,1990-1994,-0.821305682550297,RS_proxy_raw,computed,0
RS,RS (reference span),2,1995-1999,-0.821305682550297,RS_proxy_raw,computed,0
RS,RS (reference span),3,2000-2004,-0.7452931311914004,RS_proxy_raw,computed,0
RS,RS (reference span),4,2005-2009,0.8443752476766181,RS_proxy_raw,computed,0
RS,RS (reference span),5,2010-2014,1.5435292486153764,RS_proxy_raw,computed,0
PDE,PDE (diffusion potential),1,1990-1994,-0.8014280790509033,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),2,1995-1999,-0.8014280790509033,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),3,2000-2004,-0.6898122008996777,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),4,2005-2009,0.5934232040606529,PDE_proxy_raw,computed,0
PDE,PDE (diffusion potential),5,2010-2014,1.6992451549408314,PDE_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),1,1990-1994,-0.6975596599335621,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),2,1995-1999,-0.6975596599335621,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),3,2000-2004,-0.6975596599335621,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),4,2005-2009,0.22457951696107356,Uzzi_proxy_raw,computed,0
Uzzi,Uzzi novelty (-p10),5,2010-2014,1.8680994628396128,Uzzi_proxy_raw,computed,0
DeltaQ,$\Delta Q$ directionality,1,1990-1994,0.0,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,2,1995-1999,0.0,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,3,2000-2004,0.0,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,4,2005-2009,0.7609476337376971,DeltaQ_directionality_raw,computed,0
DeltaQ,$\Delta Q$ directionality,5,2010-2014,2.579200863800785,DeltaQ_directionality_raw,computed,0
