source_community,target_community,weight,n_edges
1,0,835.179032236485,240
1,5,3650.2604103355666,2666
1,7,1860.575544903114,1671
1,6,1368.5645363560318,1236
1,2,1539.538920499667,1431
1,4,787.8466329561359,766
1,3,735.3434989067598,668
4,0,89.52557640550495,51
4,7,1313.281441023254,945
4,3,3237.259342046437,1863
4,2,1950.8274309900062,1392
4,5,528.5248454256634,407
4,6,1764.097506279976,1210
3,0,58.96818449934596,31
3,7,304.93165866122143,245
3,2,1392.7470989258481,966
3,6,319.5198181649297,252
3,5,232.91625784699534,183
5,0,113.98050053083136,43
5,7,1403.6774355881926,875
5,6,608.6707408958797,447
5,2,603.7637495862137,465
7,0,203.65685737078084,89
7,2,762.8682742844114,612
7,6,2675.414612569906,1654
6,0,104.10950437319167,47
6,2,475.34777852714603,361
2,0,211.75509010374142,95
