id,short_id,doi,title,year,cited_by_count,primary_topic,community,community_label,display_community,display_label,anchor_label,anchor_citer,reference_stub
https://openalex.org/W2058122340,W2058122340,10.1126/science.1102896,Electric Field Effect in Atomically Thin Carbon Films,2004,66114,Graphene research and applications,31,Tellurium / Semiconductor,0.0,Tellurium / Semiconductor,Novoselov 2004,0,0
https://openalex.org/W2125284466,W2125284466,10.1038/nature04233,Two-dimensional gas of massless Dirac fermions in graphene,2005,21440,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2118492507,W2118492507,10.1038/nature04235,Experimental observation of the quantum Hall effect and Berry's phase in graphene,2005,13433,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2134233006,W2134233006,10.1073/pnas.0502848102,Two-dimensional atomic crystals,2005,11569,Graphene research and applications,17,Materials / Two-Dimensional,,,,0,0
https://openalex.org/W2030164271,W2030164271,10.1103/physrevlett.95.226801,Quantum Spin Hall Effect in Graphene,2005,8130,Graphene research and applications,2,Materials / Applications,2.0,Materials / Applications,,0,0
https://openalex.org/W2136334331,W2136334331,10.1103/physrevlett.97.187401,Raman Spectrum of Graphene and Graphene Layers,2006,14915,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2101977779,W2101977779,10.1038/nature04969,Graphene-based composite materials,2006,12806,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2102415385,W2102415385,10.1126/science.1125925,Electronic Confinement and Coherence in Patterned Epitaxial Graphene,2006,5515,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2068824512,W2068824512,10.1038/nphys384,Chiral tunnelling and the Klein paradox in graphene,2006,3893,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2138159532,W2138159532,10.1126/science.1130681,Controlling the Electronic Structure of Bilayer Graphene,2006,3330,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2028260084,W2028260084,10.1103/physrevlett.96.086805,Landau-Level Degeneracy and Quantum Hall Effect in a Graphite Bilayer,2006,2067,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2169767991,W2169767991,10.1016/s1369-7021(06)71788-6,Graphene: carbon in two dimensions,2006,2011,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W1986583880,W1986583880,10.1038/nphys245,Unconventional quantum Hall effect and Berry’s phase of 2π in bilayer graphene,2006,1978,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2014935324,W2014935324,10.1038/nmat1849,The rise of graphene,2007,39452,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2060009331,W2060009331,10.1016/j.ssc.2007.03.052,"Raman spectroscopy of graphene and graphite: Disorder, electron–phonon coupling, doping and nonadiabatic effects",2007,7527,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2119882629,W2119882629,10.1103/physrevlett.98.206805,Energy Band-Gap Engineering of Graphene Nanoribbons,2007,5203,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2072923279,W2072923279,10.1038/nature05545,The structure of suspended graphene sheets,2007,5011,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2074684620,W2074684620,10.1021/nl072838r,"Transparent, Conductive Graphene Electrodes for Dye-Sensitized Solar Cells",2007,4443,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2065062234,W2065062234,10.1021/cm0630800,Single Sheet Functionalized Graphene by Oxidation and Thermal Expansion of Graphite,2007,3545,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2058957873,W2058957873,10.1021/cr068010r,Graphenes as Potential Material for Electronics,2007,2694,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2125631448,W2125631448,10.1021/nl061702a,Spatially Resolved Raman Spectroscopy of Single- and Few-Layer Graphene,2007,2518,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W1986980084,W1986980084,10.1038/nnano.2007.300,Carbon-based electronics,2007,2497,Carbon Nanotubes in Composites,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2113674800,W2113674800,10.1038/nmat2003,Substrate-induced bandgap opening in epitaxial graphene,2007,2383,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2112304948,W2112304948,10.1021/nl072090c,Electronic Transport Properties of Individual Chemically Reduced Graphene Oxide Sheets,2007,2379,Graphene research and applications,0,Graphene / Applications,1.0,Graphene / Applications,,0,0
https://openalex.org/W2059115869,W2059115869,10.1103/physrevlett.99.236809,Valley-Contrasting Physics in Graphene: Magnetic Moment and Topological Transport,2007,2259,Graphene research and applications,2,Materials / Applications,2.0,Materials / Applications,,0,0
