source_community,target_community,weight,n_edges
7,0,518.1624860038293,327
7,1,179.91415661946064,94
7,2,145.2493590550074,117
7,4,861.3754980890831,892
7,5,1519.474142804172,1186
7,6,527.8675116053032,566
7,3,518.1229154651393,590
4,0,273.6247495378206,127
4,1,215.0971128605206,93
4,2,205.16171999684832,148
4,5,386.0559531328529,320
4,3,1544.5770031779396,1384
4,6,572.4363696271765,615
3,0,344.1897602747342,161
3,1,415.2513330946915,139
3,2,429.7165506401878,256
3,5,1299.5863654438592,969
3,6,1066.9909406923587,1100
1,0,52.59333014167573,17
1,5,331.09712136395,88
1,6,149.21215496465604,68
1,2,68.27958774094405,24
0,2,49.970186708545846,27
0,5,566.7483917918787,227
0,6,238.60590797168078,122
5,2,355.73253604568185,116
5,6,642.8240060631322,510
6,2,144.60637111218148,93
