domain,eligible_papers,landmark_papers,year_min,year_max,median_reference_count,median_controls,relaxed_control_ratio,reference_closure_coverage
crispr,261,0,2014,2015,12.0,186.0,0.18518518518518517,
exoplanets,657,0,1997,2015,9.0,110.0,0.22727272727272727,
gamma_ray_bursts_and_supernovae,729,0,2000,2015,11.0,106.0,0.2876712328767123,
genetics_aging_and_longevity_in_model_organisms,551,0,1996,2015,10.0,89.0,0.48214285714285715,
graphene_2d_materials,255,0,2007,2015,7.0,96.0,0.3076923076923077,
ipsc_reprogramming,812,0,2008,2015,9.0,122.5,0.43902439024390244,
microbiome_metagenomics,492,1,2008,2015,9.0,221.0,0.45098039215686275,
perovskite_solar_cells,299,1,2013,2015,14.0,138.0,0.06451612903225806,
topological_insulators,474,0,2007,2015,11.0,100.5,0.08333333333333333,
ubiquitin_and_proteasome_pathways,557,1,1984,2014,8.0,77.0,0.5964912280701754,
