source,target
https://openalex.org/W2045435533,https://openalex.org/W2124741861
https://openalex.org/W2064815984,https://openalex.org/W2003171404
https://openalex.org/W2064815984,https://openalex.org/W2045435533
https://openalex.org/W2003171404,https://openalex.org/W2045435533
https://openalex.org/W2003171404,https://openalex.org/W2064815984
https://openalex.org/W1977709885,https://openalex.org/W1976391205
https://openalex.org/W1977709885,https://openalex.org/W1981160614
https://openalex.org/W1977709885,https://openalex.org/W2000046950
https://openalex.org/W1977709885,https://openalex.org/W2001497035
https://openalex.org/W1977709885,https://openalex.org/W2003171404
https://openalex.org/W1977709885,https://openalex.org/W2026520402
https://openalex.org/W1977709885,https://openalex.org/W2036176224
https://openalex.org/W1977709885,https://openalex.org/W2045435533
https://openalex.org/W1977709885,https://openalex.org/W2061650108
https://openalex.org/W1977709885,https://openalex.org/W2064815984
https://openalex.org/W1977709885,https://openalex.org/W2075230442
https://openalex.org/W1977709885,https://openalex.org/W2077659966
https://openalex.org/W1977709885,https://openalex.org/W2101749257
https://openalex.org/W1977709885,https://openalex.org/W2103081715
https://openalex.org/W1977709885,https://openalex.org/W2108038398
https://openalex.org/W1977709885,https://openalex.org/W2115420193
https://openalex.org/W1977709885,https://openalex.org/W2123746851
https://openalex.org/W1977709885,https://openalex.org/W2133702185
https://openalex.org/W1977709885,https://openalex.org/W2138993899
https://openalex.org/W1977709885,https://openalex.org/W2140754284
https://openalex.org/W1977709885,https://openalex.org/W2149402050
https://openalex.org/W1977709885,https://openalex.org/W2153344788
https://openalex.org/W1977709885,https://openalex.org/W2156319424
https://openalex.org/W1977709885,https://openalex.org/W2160051211
https://openalex.org/W1977709885,https://openalex.org/W2167380395
https://openalex.org/W1977709885,https://openalex.org/W2170039745
https://openalex.org/W2050480410,https://openalex.org/W1930053815
https://openalex.org/W2050480410,https://openalex.org/W1963554509
https://openalex.org/W2050480410,https://openalex.org/W1966452674
https://openalex.org/W2050480410,https://openalex.org/W1970196890
https://openalex.org/W2050480410,https://openalex.org/W1973260880
https://openalex.org/W2050480410,https://openalex.org/W1976391205
https://openalex.org/W2050480410,https://openalex.org/W1978917197
https://openalex.org/W2050480410,https://openalex.org/W1981160614
https://openalex.org/W2050480410,https://openalex.org/W1982831423
https://openalex.org/W2050480410,https://openalex.org/W1982873976
https://openalex.org/W2050480410,https://openalex.org/W1986316308
https://openalex.org/W2050480410,https://openalex.org/W1988101725
https://openalex.org/W2050480410,https://openalex.org/W2001487604
https://openalex.org/W2050480410,https://openalex.org/W2001497035
https://openalex.org/W2050480410,https://openalex.org/W2002712030
https://openalex.org/W2050480410,https://openalex.org/W2003171404
https://openalex.org/W2050480410,https://openalex.org/W2005622066
https://openalex.org/W2050480410,https://openalex.org/W2026520402
https://openalex.org/W2050480410,https://openalex.org/W2030974598
https://openalex.org/W2050480410,https://openalex.org/W2030994161
https://openalex.org/W2050480410,https://openalex.org/W2036176224
https://openalex.org/W2050480410,https://openalex.org/W2039705224
https://openalex.org/W2050480410,https://openalex.org/W2040665850
https://openalex.org/W2050480410,https://openalex.org/W2043972484
https://openalex.org/W2050480410,https://openalex.org/W2045435533
