source_community,target_community,weight
37313961,37314362,2
37313961,37365710,1
37314098,37314362,1
37314226,37314362,3
37314226,39579344,1
37314227,37314362,4
37314228,37314362,4
37314231,37314362,2
37314362,37313961,2
37314362,37314098,1
37314362,37314231,2
37314362,37315142,1
37314362,37315144,1
37314362,37348287,2
37314362,37348938,21
37314362,37365710,868
37314362,37382610,2
37314362,37382738,57
37314362,37383393,4
37314362,37383528,563
37314362,37383783,5
37314362,37451904,1
37314362,37469465,4
37314362,39579344,102
37314362,39613796,125
37314362,39613799,15
37314362,39630700,4
37314362,39631747,28
37314362,39683232,24
37314362,41879319,3
37314362,41879441,14
37314362,41931321,1
37314362,41931325,17
37314362,41947829,3
37314362,41948087,1
37314362,41964729,226
37314362,44075662,17
37314362,44093737,2
37314362,44127932,21
37314362,46357939,1
37315142,37314362,14
37315142,37365710,1
37315142,37383528,5
37315144,37314227,1
37315144,37314362,1
37331130,37314226,1
37331130,37314362,3
37331253,37314226,1
37331253,37314362,1
37331253,37331130,1
37331253,37365710,1
37348287,37314362,3
37348683,37314362,1
37348683,37365710,1
37348683,37383528,1
37348938,37314362,69
37348938,37365710,14
37348938,37383393,2
37348938,39579344,1
37348938,39613796,2
37348938,44093737,1
37349470,37314362,8
37349470,37365710,1
37349470,37383783,1
37349470,39631747,2
37349470,44093737,1
37365446,37314362,4
37365446,37383527,1
37365710,37313961,2
37365710,37314226,3
37365710,37314362,1632
37365710,37331130,1
37365710,37348938,4
37365710,37382610,2
37365710,37382738,9
37365710,37383528,120
37365710,39563101,1
37365710,39579344,29
37365710,39613796,28
37365710,39613799,1
37365710,39630700,2
37365710,39631224,1
37365710,39631747,2
37365710,39683232,1
37365710,41879319,1
37365710,41879441,4
37365710,41931321,1
37365710,41931325,7
37365710,41948087,1
37365710,41964729,25
37365710,44075662,3
37365710,44093737,1
37365710,44127932,2
37365710,46357939,1
37366495,37314362,2
37366495,37365710,1
37366495,37382738,1
37382610,37314362,11
37382610,37365710,1
37382610,41931325,1
37382738,37314362,35
37382738,37365710,4
37382738,37366495,2
37382738,37383528,2
37383393,37314362,19
37383393,37365710,2
37383393,39579344,1
37383527,37314362,5
37383527,37315144,1
37383527,37331130,1
37383528,37314362,376
37383528,37365710,27
37383528,39579344,3
37383528,39631747,1
37383528,41879319,1
37383528,41964729,4
37383528,44075662,1
37400289,37314362,7
37400289,37365710,1
37400289,37383528,1
37417450,37314362,2
37434355,37314362,3
37434615,37314362,5
37451904,37314362,1
37469465,37314362,26
37469465,37383528,1
37469465,37383783,1
37469465,39631747,3
39563101,37314362,4
39563101,37365710,2
39563230,37314362,9
39579344,37314362,169
39579344,37348938,1
39579344,37365710,12
39579344,37383528,3
39579344,39613796,4
39579344,41964729,4
39613796,37314362,269
39613796,37365710,40
39613796,37382738,1
39613796,37383528,3
39613796,37383783,1
39613796,39579344,26
39613796,41862153,1
39613796,41930801,1
39613796,41931325,2
39613796,41964729,3
39613796,46357939,1
39613799,37314362,50
39613799,39613796,1
39613799,41964729,2
39614067,37314362,3
39614067,41931321,1
39630700,37314362,62
39630700,37365710,4
39630700,37382738,2
39630700,37383528,2
39630700,39613796,2
39630700,41964729,2
39630700,44093737,2
39631224,37314362,3
39631224,37365710,2
39631224,37383528,2
39631747,37314362,52
39631747,37383528,2
39631747,37383783,3
39631747,37469465,1
39631747,39579344,1
39631747,39613799,1
39647989,39700257,1
39648118,37314362,6
39682179,39563101,1
39682182,37314362,1
39683232,37314362,6
39683232,37383528,3
39683358,37314362,1
39699342,37314362,6
39700257,39647989,1
39717291,37314362,1
39717291,41810544,1
39717681,37314362,2
39717681,41879319,1
41810147,37365710,1
41810282,37314362,25
41810282,37365710,9
41810282,37383528,1
41810282,39613796,1
41810282,39630700,1
41810282,44093737,1
41810544,37314362,1
41810544,37382738,1
41810797,39613796,1
41844469,37314362,1
41879319,37314362,4
41879441,37314362,37
41879441,37365710,3
41879441,37383393,1
41896216,37314362,3
41930801,37314362,5
41930801,39613796,1
41931325,37314362,97
41931325,37365710,17
41931325,37382610,1
41931325,37382738,1
41931325,39579344,1
41931325,39613796,6
41931325,39631224,1
41931325,41931321,1
41947565,37314362,5
41947565,44127932,1
41964729,37314362,240
41964729,37348938,1
41964729,37365710,10
41964729,37382738,1
41964729,37383528,7
41964729,39579344,4
41964729,39613796,2
41964729,39631747,1
41964729,44075662,1
41964729,44093737,2
41964729,44127932,1
41965384,37314362,1
41965642,37314362,1
44075662,37314362,14
44075662,37365710,1
44075662,37383528,1
44092555,37314362,1
44093737,37314362,10
44093737,41964729,1
44127016,37314362,8
44127672,37314362,2
44127932,37314362,3
44195653,37314362,2
44213082,37314362,1
46324274,37314362,15
46324274,37365710,5
46324274,37382738,1
46324274,41964729,1
46357939,39613796,1
