source,target
https://openalex.org/W2102600871,https://openalex.org/W1853767801
https://openalex.org/W2102600871,https://openalex.org/W2011258461
https://openalex.org/W2102600871,https://openalex.org/W2071433262
https://openalex.org/W2102600871,https://openalex.org/W2073832139
https://openalex.org/W2102600871,https://openalex.org/W2102197207
https://openalex.org/W2102600871,https://openalex.org/W2153305744
https://openalex.org/W2102600871,https://openalex.org/W2162447676
https://openalex.org/W2102600871,https://openalex.org/W3099582894
https://openalex.org/W4233629529,https://openalex.org/W2145049141
https://openalex.org/W1965635970,https://openalex.org/W1853767801
https://openalex.org/W1965635970,https://openalex.org/W2073832139
https://openalex.org/W1965635970,https://openalex.org/W2118265220
https://openalex.org/W1965635970,https://openalex.org/W2162447676
https://openalex.org/W1965635970,https://openalex.org/W3099582894
https://openalex.org/W2170502516,https://openalex.org/W1963877303
https://openalex.org/W2170502516,https://openalex.org/W1967094474
https://openalex.org/W2170502516,https://openalex.org/W2004791213
https://openalex.org/W2170502516,https://openalex.org/W2030909054
https://openalex.org/W2170502516,https://openalex.org/W2079562131
https://openalex.org/W2170502516,https://openalex.org/W2106891871
https://openalex.org/W2170502516,https://openalex.org/W2135125925
https://openalex.org/W2170502516,https://openalex.org/W2145944858
https://openalex.org/W2170502516,https://openalex.org/W2160253850
https://openalex.org/W2168227401,https://openalex.org/W1980064884
https://openalex.org/W1987186022,https://openalex.org/W1909215790
https://openalex.org/W1987186022,https://openalex.org/W1980064884
https://openalex.org/W1987186022,https://openalex.org/W2007714515
https://openalex.org/W1987186022,https://openalex.org/W2031560129
https://openalex.org/W1987186022,https://openalex.org/W2072193250
https://openalex.org/W1987186022,https://openalex.org/W2077460333
https://openalex.org/W1987186022,https://openalex.org/W2127580386
https://openalex.org/W1987186022,https://openalex.org/W2963100959
https://openalex.org/W4409619668,https://openalex.org/W2761986865
https://openalex.org/W4409619668,https://openalex.org/W4224230398
https://openalex.org/W3154052373,https://openalex.org/W2761986865
https://openalex.org/W3154052373,https://openalex.org/W4233629529
https://openalex.org/W1847925139,https://openalex.org/W2083217178
https://openalex.org/W1847925139,https://openalex.org/W2155705849
https://openalex.org/W1847925139,https://openalex.org/W2158454843
https://openalex.org/W2143922058,https://openalex.org/W2000909045
https://openalex.org/W2143922058,https://openalex.org/W2028206697
https://openalex.org/W2143922058,https://openalex.org/W2154390306
https://openalex.org/W2145509039,https://openalex.org/W2038800414
https://openalex.org/W2936063629,https://openalex.org/W3098092149
https://openalex.org/W3196467357,https://openalex.org/W2130916877
https://openalex.org/W3196467357,https://openalex.org/W2142520301
https://openalex.org/W3196467357,https://openalex.org/W2215104173
https://openalex.org/W3196467357,https://openalex.org/W2749229678
https://openalex.org/W3196467357,https://openalex.org/W2761986865
