source_community,target_community,weight
56541545,56541673,1
56541545,56559753,2
56541545,56611239,1
56541545,56645033,1
56541545,56645429,1
56541545,58824610,1
56541545,58841773,1
56541545,58859069,1
56541545,58910548,1
56541545,61038640,1
56541673,56593024,4
56541673,58841773,3
56541673,58910548,2
56541675,56559753,1
56541675,56645429,2
56541675,58824353,4
56541676,58841773,1
56541934,56645429,1
56541938,56542332,1
56541938,56593549,2
56541938,56610713,2
56541938,56645429,1
56541938,58790287,1
56541938,58841254,2
56542196,56611370,1
56542196,56645429,1
56542328,56593024,1
56542328,56594209,1
56542328,56628400,2
56542328,56645429,42
56542328,56696389,6
56542332,56541938,1
56542332,56558966,1
56542332,56559226,2
56542332,56576657,1
56542332,56593024,1
56542332,56610454,1
56542332,56627615,1
56542332,56628400,3
56542332,56645429,18
56542332,56679227,1
56542332,56679620,2
56542332,56679883,1
56542332,56696389,1
56542332,56696646,1
56542332,58790555,1
56542332,58824745,1
56542332,58841254,1
56542332,58858278,1
56542332,58875961,1
56542332,58892868,1
56542332,58893649,1
56542332,58910548,1
56542332,58944346,1
56542332,61037857,2
56542332,61072837,3
56542332,61175408,1
56542458,56576657,1
56542458,56645429,2
56542458,61175408,1
56542466,56645429,5
56542593,56593024,2
56542593,56628400,1
56542593,56645429,9
56542593,58790287,1
56542594,56542332,1
56542594,56542593,1
56542594,56558966,1
56542594,56576657,1
56542594,56593024,3
56542594,56610449,1
56542594,56628400,1
56542594,56645429,47
56542594,56696389,1
56542594,56696522,1
56542594,58790287,1
56542594,58807447,1
56542594,58824745,2
56542594,58841516,1
56542594,58858937,2
56542594,58892868,1
56542594,61124575,1
56542594,61158378,1
56542594,63285946,1
56542594,65586569,2
56542720,56559493,1
56542720,56610449,1
56542720,56679753,1
56542720,61055280,1
56558838,56559622,2
56558838,56610715,1
56558838,56645429,1
56558838,61175408,2
56558840,56576657,1
56558840,56645429,1
56558966,56593941,1
56558966,56627482,1
56558966,56628400,1
56558966,56644510,1
