community,label,x,y,domain,topic_id
34886001,Genetic diversity and population structure,1.0,0.0,crispr,https://openalex.org/T10012
34886003,Plant Stress Responses and Tolerance,0.9999982783070192,0.0018556354699568,crispr,https://openalex.org/T10014
34886004,Genomics and Phylogenetic Studies,0.9999931132340052,0.0037112645502445,crispr,https://openalex.org/T10015
34886262,T-cell and B-cell Immunology,0.9999845047987436,0.0055668808512159,crispr,https://openalex.org/T10031
34886269,Tuberculosis Research and Epidemiology,0.9999724530308762,0.007422477983268,crispr,https://openalex.org/T10038
34886393,COVID-19 Clinical Research Studies,0.999956957971902,0.0092780495568636,crispr,https://openalex.org/T10041
34886396,Protein Structure and Dynamics,0.9999380196751768,0.0111335891825536,crispr,https://openalex.org/T10044
34886656,MicroRNA in disease regulation,0.999915638205912,0.0129890904709989,crispr,https://openalex.org/T10062
34886657,Nanoparticle-Based Drug Delivery,0.9998898136411758,0.0148445470329924,crispr,https://openalex.org/T10063
34886660,Gut microbiota and health,0.9998605460698924,0.0166999524794811,crispr,https://openalex.org/T10066
34886791,Plant-Microbe Interactions and Immunity,0.9998278355928408,0.0185553004215878,crispr,https://openalex.org/T10076
34886792,Neuroscience and Neuropharmacology Research,0.9997916823226562,0.0204105844706336,crispr,https://openalex.org/T10077
34886794,Nanoparticles: synthesis and applications,0.9997520863838284,0.0222657982381593,crispr,https://openalex.org/T10079
34886921,Parkinson's Disease Mechanisms and Treatments,0.999709047912701,0.0241209353359479,crispr,https://openalex.org/T10085
34886922,Alzheimer's disease research and treatments,0.9996625670574724,0.0259759893760464,crispr,https://openalex.org/T10086
34887048,Malaria Research and Control,0.9996126439781942,0.0278309539707878,crispr,https://openalex.org/T10091
34887051,Epilepsy research and treatment,0.9995592788467704,0.029685822732813,crispr,https://openalex.org/T10094
34887053,Metal-Organic Frameworks: Synthesis and Applications,0.9995024718469584,0.0315405892750929,crispr,https://openalex.org/T10096
34903034,Osteoarthritis Treatment and Mechanisms,0.9994422231743662,0.0333952472109504,crispr,https://openalex.org/T10105
34903035,Autism Spectrum Disorder Research,0.9993785330364532,0.0352497901540826,crispr,https://openalex.org/T10106
34903162,HIV Research and Treatment,0.9993114016525292,0.0371042117185822,crispr,https://openalex.org/T10112
34903166,Sperm and Testicular Function,0.9992408292537536,0.03895850551896,crispr,https://openalex.org/T10116
34903168,SARS-CoV-2 and COVID-19 Research,0.9991668160831344,0.0408126651701669,crispr,https://openalex.org/T10118
34903169,Sustainability and Climate Change Governance,0.9990893623955271,0.0426666842876154,crispr,https://openalex.org/T10119
34903292,Building Energy and Comfort Optimization,0.9990084684576352,0.0445205564872023,crispr,https://openalex.org/T10121
34903294,DNA Repair Mechanisms,0.9989241345480074,0.0463742753853299,crispr,https://openalex.org/T10123
34903300,Glioma Diagnosis and Treatment,0.998836360957038,0.0482278345989287,crispr,https://openalex.org/T10129
34903423,Gold and Silver Nanoparticles Synthesis and Applications,0.9987451479869656,0.0500812277454789,crispr,https://openalex.org/T10131
34903427,Insect-Plant Interactions and Control,0.998650495951871,0.0519344484430325,crispr,https://openalex.org/T10135
34903431,Heavy metals in environment,0.9985524051776784,0.0537874903102354,crispr,https://openalex.org/T10139
34903553,Food composition and properties,0.9984508760021518,0.0556403469663493,crispr,https://openalex.org/T10140
34903554,Probiotics and Fermented Foods,0.9983459087748956,0.0574930120312735,crispr,https://openalex.org/T10141
34903556,Chronic Obstructive Pulmonary Disease (COPD) Research,0.998237503857352,0.0593454791255672,crispr,https://openalex.org/T10143
34903559,Cervical Cancer and HPV Research,0.9981256616228016,0.0611977418704713,crispr,https://openalex.org/T10146
34903560,Antibiotic Resistance in Bacteria,0.9980103824563598,0.06304979388793,crispr,https://openalex.org/T10147
34903684,Antifungal resistance and susceptibility,0.9978916667549776,0.0649016288006137,crispr,https://openalex.org/T10150
34903685,Hepatitis C virus research,0.997769514927439,0.0667532402319398,crispr,https://openalex.org/T10151
34903692,Cancer Immunotherapy and Biomarkers,0.9976439273943598,0.0686046218060956,crispr,https://openalex.org/T10158
34903818,Metal complexes synthesis and properties,0.9975149045881864,0.0704557671480598,crispr,https://openalex.org/T10163
34903821,Mosquito-borne diseases and control,0.997382446953194,0.0723066698836245,crispr,https://openalex.org/T10166
34903822,Influenza Virus Research Studies,0.9972465549454852,0.0741573236394172,crispr,https://openalex.org/T10167
34903824,Protein Kinase Regulation and GTPase Signaling,0.9971072290329892,0.0760077220429227,crispr,https://openalex.org/T10169
34903946,Retinal Diseases and Treatments,0.9969644696954584,0.0778578587225052,crispr,https://openalex.org/T10170
34903947,Biofuel production and bioconversion,0.9968182774244684,0.0797077273074299,crispr,https://openalex.org/T10171
34903952,Mesenchymal stem cell research,0.9966686527234156,0.0815573214278854,crispr,https://openalex.org/T10176
34904081,Plant Molecular Biology Research,0.9965155961075158,0.0834066347150052,crispr,https://openalex.org/T10184
34920190,Rheumatoid Arthritis Research and Therapies,0.996359108103802,0.0852556608008899,crispr,https://openalex.org/T10200
34920197,Advanced biosensing and bioanalysis techniques,0.9961991892511224,0.0871043933186291,crispr,https://openalex.org/T10207
34920322,Computational Drug Discovery Methods,0.9960358401001396,0.0889528259023232,crispr,https://openalex.org/T10211
34920328,Cardiac electrophysiology and arrhythmias,0.995869061213328,0.0908009521871053,crispr,https://openalex.org/T10217
34920454,Genomics and Chromatin Dynamics,0.9956988531649712,0.0926487658091633,crispr,https://openalex.org/T10222
34920584,Pancreatic and Hepatic Oncology Research,0.9955252165411614,0.0944962604057618,crispr,https://openalex.org/T10231
34920714,Plant tissue culture and regeneration,0.9953481519397968,0.0963434296152638,crispr,https://openalex.org/T10240
34920847,Microbial Natural Products and Biosynthesis,0.9951676599705788,0.0981902670771527,crispr,https://openalex.org/T10252
34920977,Genetic Associations and Epidemiology,0.994983741255011,0.1000367664320544,crispr,https://openalex.org/T10261
34920982,Plant Water Relations and Carbon Dynamics,0.9947963964263964,0.101882921321759,crispr,https://openalex.org/T10266
34920984,Developmental Biology and Gene Regulation,0.994605626129836,0.1037287253892426,crispr,https://openalex.org/T10268
34920985,Epigenetics and DNA Methylation,0.9944114310222252,0.1055741722786893,crispr,https://openalex.org/T10269
34921113,Helicobacter pylori-related gastroenterology studies,0.9942138117722528,0.1074192556355133,crispr,https://openalex.org/T10276
34921373,Cell death mechanisms and regulation,0.994012769060398,0.1092639691063804,crispr,https://openalex.org/T10294
34937352,Mitochondrial Function and Pathology,0.9938083035789286,0.1111083063392303,crispr,https://openalex.org/T10301
