source_community,target_community,weight
60903792,60938632,2
60903792,60955404,1
60903792,61041081,2
60903792,63272926,1
60903921,60904838,3
60903921,60973087,1
60903921,63203493,13
60903922,60904056,22
60903922,60904186,1
60903922,60904838,254
60903922,60955404,1
60903922,60973087,16
60903922,60973222,9
60903922,61024309,3
60903922,61041081,11
60903922,61058366,1
60903922,63152924,5
60903922,63203493,425
60903922,63204021,3
60903922,63307375,2
60903922,65399841,1
60903922,65469135,8
60903922,65521019,1
60903922,65554423,7
60904056,60903922,26
60904056,60904836,1
60904056,60904838,14
60904056,60938632,31
60904056,60955404,2
60904056,60973087,59
60904056,60973222,35
60904056,61024309,10
60904056,61041081,4
60904056,61058366,1
60904056,63203493,506
60904056,63204021,2
60904056,63237683,1
60904056,63272662,1
60904056,65469135,1
60904056,65554423,6
60904056,69913968,1
60904186,60903922,1
60904186,60904838,5
60904186,60973087,7
60904186,61041081,2
60904186,61058366,1
60904186,63152924,3
60904186,63203493,5
60904836,60903922,2
60904836,60904056,4
60904836,60904838,2
60904836,60973087,8
60904836,60973222,1
60904836,61058366,1
60904836,63203493,33
60904838,60903921,27
60904838,60903922,323
60904838,60904056,4
60904838,60921735,2
60904838,60973087,68
60904838,61024309,1
60904838,61041081,5
60904838,61058366,10
60904838,63152924,9
60904838,63203493,870
60904838,63220525,1
60904838,63237812,12
60904838,63306980,11
60904838,65469135,12
60904838,65554423,4
60904838,67648975,3
60920817,63203493,1
60921735,60904838,3
60921735,60955404,1
60921735,60973087,13
60921735,60989728,1
60921735,61024309,1
60921735,61041081,7
60921735,63203493,6
60921735,65469135,1
60938242,60904186,2
60938242,63152924,3
60938632,60903792,1
60938632,60904056,1
60938632,60955404,1
60938632,60973087,5
60938632,60973222,1
60938632,61041081,3
60938632,63203493,10
60938632,63272926,1
60938632,65469135,1
60955404,60904056,8
60955404,60904836,1
60955404,60938632,3
60955404,60972304,1
60955404,60973087,5
60955404,60973222,1
60955404,60989728,1
60955404,61024309,1
60955404,61041081,1
60955404,63203493,23
60955404,65399841,1
60955923,60956189,1
60955923,60973222,1
60955923,63203493,7
60955923,65520749,1
60956189,60904838,1
60956189,60921735,5
60956189,60973087,2
60956189,61041081,6
60956189,63203493,16
60956189,63255894,1
60956189,63272926,1
60956189,65520749,1
60972304,60938632,1
60972304,63203493,2
60972565,60904838,1
60972565,60973087,2
60972565,61041081,1
60972565,63203493,1
60973087,60903922,26
60973087,60904056,71
60973087,60904838,134
60973087,60921735,18
60973087,60938632,26
60973087,60956189,1
60973087,60973222,11
60973087,60989728,3
60973087,61024309,16
60973087,61041081,56
60973087,61058366,26
60973087,63151878,1
60973087,63152924,11
60973087,63203493,1364
60973087,63204021,2
60973087,63220525,2
60973087,63255894,1
60973087,63272528,3
60973087,63272662,1
60973087,63289041,3
60973087,65469135,12
60973087,65554423,8
60973087,69913968,1
60973222,60903922,15
60973222,60904056,25
60973222,60904838,2
60973222,60973087,4
60973222,61041081,5
60973222,63203493,60
60973222,67716970,1
60989728,60921735,1
60989728,60973087,7
60989728,61024309,1
60989728,63203493,2
60990645,60904836,1
60990645,63203493,1
61024309,60903922,22
61024309,60904056,16
61024309,60904838,8
61024309,60938632,3
61024309,60973087,22
61024309,60973222,1
61024309,61041081,21
61024309,63152924,1
61024309,63203493,256
61024309,63204021,6
61024309,65469135,6
61024309,65554423,8
61041081,60903922,27
61041081,60904056,8
61041081,60904186,1
61041081,60904836,1
61041081,60904838,52
61041081,60921735,1
61041081,60956189,2
61041081,60973087,54
61041081,60973222,4
61041081,61024309,29
61041081,61058366,36
61041081,63152924,6
61041081,63203493,540
61041081,63204021,7
61041081,63220525,1
61041081,63220782,1
61041081,63237683,1
61041081,65469135,5
61041081,65554423,6
61041081,67665092,1
61041081,69913968,2
61058366,60903922,6
61058366,60904056,1
61058366,60904186,1
61058366,60904836,3
61058366,60904838,14
61058366,60938632,3
61058366,60973087,16
61058366,61024309,1
61058366,61041081,43
61058366,63152273,1
61058366,63152924,28
61058366,63203493,110
61058366,63204021,1
61059159,60903922,2
61059159,60904838,1
61059159,63203493,2
63152273,60903922,1
63152273,63203493,1
63152924,60903921,3
63152924,60903922,13
63152924,60904056,3
63152924,60904186,14
63152924,60904836,1
63152924,60904838,71
63152924,60938242,4
63152924,60938632,1
63152924,60973087,16
63152924,60973222,1
63152924,61024309,1
63152924,61041081,15
63152924,61058366,31
63152924,63152273,2
63152924,63203493,73
63152924,63204021,1
63152924,63306980,2
63152924,65434420,1
63152924,65537259,1
63152924,65554423,5
63152924,67648975,1
63186724,60972304,1
63187118,63203493,2
63203493,60903921,1
63203493,60903922,282
63203493,60904056,340
63203493,60904186,1
63203493,60904836,20
63203493,60904838,481
63203493,60921735,8
63203493,60938632,64
63203493,60955404,5
63203493,60955923,3
63203493,60956189,3
63203493,60973087,536
63203493,60973222,71
63203493,61024309,123
63203493,61041081,195
63203493,61058366,27
63203493,63152273,1
63203493,63152924,1
63203493,63204021,35
63203493,63220525,5
63203493,63220782,9
63203493,63221441,2
63203493,63237683,2
63203493,63255894,4
63203493,63306980,4
63203493,63307375,1
63203493,65399841,1
63203493,65452373,3
63203493,65469135,12
63203493,65554423,43
63203493,67717626,1
63203493,69913968,4
63203494,63203493,1
63204021,60904056,2
63204021,61041081,1
63204021,63203493,4
63204021,63221441,1
63220525,60903922,3
63220525,60904838,5
63220525,63203493,8
63221441,60903922,1
63221441,63203493,1
63237683,61041081,1
63237683,63203493,2
63237812,60904838,4
63237812,63203493,2
63254714,60938632,1
63254714,61024309,1
63254714,63203493,14
63255894,60921735,1
63255894,60973087,2
63255894,61041081,1
63255894,63203493,17
63255894,67717234,1
63255894,67786268,1
63272528,60921735,1
63272528,60973087,2
63272528,60989728,1
63272528,61024309,1
63272528,63151878,1
63272528,63203493,1
63272662,63203493,4
63272926,60903792,1
63272926,60938632,3
63272926,60955404,1
63272926,61041081,1
63272926,67716970,1
63306195,60903922,1
63306195,60904056,2
63306195,67717626,1
63306980,60904838,13
63306980,63203493,6
63306985,60904838,2
63306985,63203493,1
65399841,60955404,1
65399841,63203493,4
65434420,63203493,2
65452373,60904056,1
65452373,60904838,1
65452373,60973087,1
65452373,63203493,14
65469135,60903922,18
65469135,60904056,1
65469135,60904838,18
65469135,60938632,1
65469135,60973087,6
65469135,61024309,3
65469135,61041081,10
65469135,63203493,35
65469135,63307375,1
65521019,60955404,2
65521019,60972304,1
65521019,63203493,4
65537259,60903922,1
65537259,60904838,2
65537259,60973087,1
65537259,63203493,3
65537394,60955404,1
65554423,60903922,2
65554423,60904838,7
65554423,61024309,2
65554423,63203493,15
65554423,63221441,1
67648975,60903921,1
67648975,60903922,3
67648975,60904838,18
67648975,63203493,3
67648975,63237812,1
69913968,60903922,2
69913968,60973087,1
69913968,61041081,3
69913968,63203493,6
69913968,63204021,1
69913968,63237683,1
69948683,60973087,1
