source_community,target_community,weight
18991755,18992804,4
18991755,19026997,6
18991890,18992679,1
18991890,23591170,1
18991892,18992146,2
18991892,18992804,91
18991892,19009840,8
18991892,19026208,1
18991892,19026997,15
18991892,19027124,2
18991892,21275090,1
18991892,21291853,1
18991892,23488465,7
18992015,19026997,3
18992015,19027259,2
18992015,19061322,3
18992017,19026997,13
18992017,19043637,1
18992019,18992804,1
18992146,18991892,2
18992146,18992674,1
18992146,18992678,15
18992146,18992804,46
18992146,18992938,1
18992146,19009840,1
18992146,19026997,30
18992146,21291852,1
18992146,21291853,1
18992146,23488465,1
18992153,18992804,7
18992153,19026997,2
18992153,19043637,1
18992282,18992804,3
18992282,19026997,4
18992282,19146336,1
18992674,18992804,38
18992674,19009840,2
18992674,19027263,1
18992674,23591170,1
18992678,18991755,1
18992678,18991892,5
18992678,18992146,9
18992678,18992674,1
18992678,18992804,143
18992678,19009840,7
18992678,19026208,1
18992678,19026997,97
18992678,19027263,1
18992678,19077560,1
18992678,21291853,2
18992678,23488336,1
18992678,23488465,16
18992678,23591170,2
18992678,25736428,1
18992804,18991892,35
18992804,18992153,2
18992804,18992674,16
18992804,18992678,20
18992804,19009308,1
18992804,19009840,19
18992804,19026082,8
18992804,19026208,3
18992804,19026606,2
18992804,19026997,388
18992804,19027259,18
18992804,19027263,12
18992804,19043637,13
18992804,19044286,1
18992804,19061184,2
18992804,19061322,3
18992804,19077559,3
18992804,19078221,2
18992804,19112537,2
18992804,19146467,6
18992804,21275090,14
18992804,21291852,2
18992804,21291853,7
18992804,21308489,1
18992804,21309021,1
18992804,21342818,2
18992804,23488337,3
18992804,23488465,15
18992804,23523310,1
18992804,23539942,8
18992804,23557105,5
18992804,23574011,2
18992804,23591034,2
18992804,23591170,3
18992932,18992804,9
18992932,19026997,2
18992932,23574796,1
18992938,18991892,1
18992938,18992804,5
18992938,19026997,2
18992938,21360634,1
18992938,21360763,1
18992939,19026606,1
18992939,19026997,1
18992941,18992804,4
18992941,19026997,2
18992941,19095381,1
18992941,23574011,1
19008921,18992804,4
19008921,18992932,1
19008921,19026997,11
19008921,19077560,1
19009308,18991892,1
19009308,18992804,16
19009308,19026082,1
19009308,19026997,5
19009308,19027259,4
19009308,19043637,2
19009308,19060921,1
19009308,19146467,1
19009308,23488465,2
19009309,18992804,1
19009840,18991892,19
19009840,18992678,6
19009840,18992804,117
19009840,18992938,2
19009840,19026082,1
19009840,19026208,1
19009840,19026997,23
19009840,19027124,1
19009840,19146467,1
19009840,21342818,1
19009840,23488465,12
19010095,18992146,2
19010100,18992678,1
19010100,18992804,5
19026082,18992674,1
19026082,18992804,28
19026082,19009308,1
19026082,19009840,1
19026082,19026208,1
19026082,19026997,7
19026082,19027259,1
19026082,19027263,1
19026082,21274432,1
19026082,21291853,1
19026082,23591170,2
19026208,18992678,1
19026208,18992804,35
19026208,19026082,1
19026208,19061184,2
19026208,19095505,1
19026208,21309407,1
19026215,18992674,1
19026215,18992678,1
19026215,18992804,6
19026215,19026208,1
19026215,19026997,2
19026215,21275090,1
19026215,23488465,1
19026604,18992804,4
19026604,19026082,1
19026604,19026997,9
19026604,19027259,14
19026604,19095511,1
19026604,23557105,4
19026604,23574011,1
19026604,23591034,2
19026606,18992804,10
19026606,19026208,1
19026606,19026997,15
19026606,19027259,2
19026606,19147258,1
19026606,21275085,1
19026606,23488465,1
19026997,18991755,1
19026997,18991890,1
19026997,18991892,16
19026997,18992146,2
19026997,18992153,1
19026997,18992674,3
19026997,18992678,25
19026997,18992804,1220
19026997,18992932,1
19026997,18992938,3
19026997,19008921,3
19026997,19009308,1
19026997,19009309,2
19026997,19009840,1
19026997,19026604,1
19026997,19026606,7
19026997,19027259,31
19026997,19027263,48
19026997,19043637,37
19026997,19061184,6
19026997,19061322,4
19026997,19077560,21
19026997,19078221,2
19026997,19078737,2
19026997,19095381,7
19026997,19095769,2
19026997,19112537,2
19026997,19146467,4
19026997,19147258,7
19026997,21274432,2
19026997,21275085,3
19026997,21275090,10
19026997,21291463,1
19026997,21291852,3
19026997,21291853,1
19026997,21309021,1
19026997,21309407,1
19026997,21326699,2
19026997,21360763,1
19026997,21361027,1
19026997,23488465,29
19026997,23539942,9
19026997,23556584,2
19026997,23557105,4
19026997,23574011,4
19026997,23591034,10
19026997,23625231,8
19027124,18992804,2
19027124,19009840,3
19027124,23488465,1
19027259,18992015,1
19027259,18992804,47
19027259,19009308,4
19027259,19026082,1
19027259,19026604,4
19027259,19026997,16
19027259,19027263,14
19027259,19043637,4
19027259,21291463,1
19027259,23539942,1
19027259,23557105,22
19027259,23574011,1
19027259,23591034,9
19027259,25822225,1
19027263,18991892,1
19027263,18992674,2
19027263,18992804,34
19027263,19026997,57
19027263,19027259,7
19027263,19147258,3
19027263,21257275,1
19027263,21291463,1
19027263,23557105,1
