community,label,x,y,domain,topic_id
18991755,Advanced Chemical Physics Studies,-0.2649378603639372,0.9642654873766764,graphene_2d_materials,https://openalex.org/T10002
18991890,Adsorption and biosorption for pollutant removal,-0.2667267294631139,0.9637721991165292,graphene_2d_materials,https://openalex.org/T10016
18991892,Advancements in Battery Materials,-0.2685146801192152,0.9632755922167217,graphene_2d_materials,https://openalex.org/T10018
18992015,Quantum Information and Cryptography,-0.2703017061756361,0.9627756683872624,graphene_2d_materials,https://openalex.org/T10020
18992017,Semiconductor Quantum Structures and Devices,-0.2720878014789565,0.9622724293495828,graphene_2d_materials,https://openalex.org/T10022
18992019,TiO2 Photocatalysis and Solar Cells,-0.2738729598789612,0.9617658768365288,graphene_2d_materials,https://openalex.org/T10024
18992146,Electrocatalysts for Energy Conversion,-0.2756571752286607,0.961256012592356,graphene_2d_materials,https://openalex.org/T10030
18992153,Physics of Superconductivity and Magnetism,-0.2774404413843127,0.9607428383727238,graphene_2d_materials,https://openalex.org/T10037
18992282,Organic Electronics and Photovoltaics,-0.2792227522054434,0.9602263559446896,graphene_2d_materials,https://openalex.org/T10045
18992286,Magnetic properties of thin films,-0.2810041015548691,0.9597065670867012,graphene_2d_materials,https://openalex.org/T10049
18992542,Nanoparticle-Based Drug Delivery,-0.2827844832987168,0.9591834735885924,graphene_2d_materials,https://openalex.org/T10063
18992674,Carbon Nanotubes in Composites,-0.2845638913064441,0.958657077251576,graphene_2d_materials,https://openalex.org/T10074
18992678,Advanced Photocatalysis Techniques,-0.2863423194508629,0.958127379888238,graphene_2d_materials,https://openalex.org/T10078
18992679,Nanoparticles: synthesis and applications,-0.2881197616081591,0.9575943833225306,graphene_2d_materials,https://openalex.org/T10079
18992804,Graphene research and applications,-0.2898962116579125,0.9570580893897668,graphene_2d_materials,https://openalex.org/T10083
18992932,ZnO doping and properties,-0.2916716634831204,0.9565184999366136,graphene_2d_materials,https://openalex.org/T10090
18992938,Metal-Organic Frameworks: Synthesis and Applications,-0.2934461109702168,0.9559756168210856,graphene_2d_materials,https://openalex.org/T10096
18992939,Luminescence Properties of Advanced Materials,-0.2952195480090946,0.9554294419125392,graphene_2d_materials,https://openalex.org/T10097
18992941,GaN-based semiconductor devices and materials,-0.2969919684931249,0.954879977091665,graphene_2d_materials,https://openalex.org/T10099
19008921,Ferroelectric and Piezoelectric Materials,-0.2987633663191801,0.9543272242504828,graphene_2d_materials,https://openalex.org/T10107
19009308,Gold and Silver Nanoparticles Synthesis and Applications,-0.3005337353876541,0.9537711852923338,graphene_2d_materials,https://openalex.org/T10131
19009309,Advanced ceramic materials synthesis,-0.3023030696024827,0.9532118621318748,graphene_2d_materials,https://openalex.org/T10132
19009578,Ionosphere and magnetosphere dynamics,-0.3040713628711653,0.9526492566950714,graphene_2d_materials,https://openalex.org/T10159
19009840,Supercapacitor Materials and Fabrication,-0.3058386091047855,0.9520833709191912,graphene_2d_materials,https://openalex.org/T10179
19009962,Analytical chemistry methods development,-0.3076048022180327,0.9515142067527972,graphene_2d_materials,https://openalex.org/T10180
19010095,Catalytic Processes in Materials Science,-0.3093699361292223,0.9509417661557414,graphene_2d_materials,https://openalex.org/T10192
19010100,Membrane Separation Technologies,-0.3111340047603166,0.950366051099158,graphene_2d_materials,https://openalex.org/T10197
19026082,Advanced biosensing and bioanalysis techniques,-0.3128970020369468,0.9497870635654556,graphene_2d_materials,https://openalex.org/T10207
19026206,Advanced oxidation water treatment,-0.3146589218884332,0.949204805548312,graphene_2d_materials,https://openalex.org/T10210
19026208,Electrochemical sensors and biosensors,-0.3164197582478049,0.9486192790526664,graphene_2d_materials,https://openalex.org/T10212
19026215,Mechanical Behavior of Composites,-0.3181795050518229,0.9480304860947124,graphene_2d_materials,https://openalex.org/T10219
19026474,Aquatic Ecosystems and Phytoplankton Dynamics,-0.3199381562410001,0.9474384287018917,graphene_2d_materials,https://openalex.org/T10236
19026604,Metamaterials and Metasurfaces Applications,-0.3216957057596219,0.9468431089128856,graphene_2d_materials,https://openalex.org/T10245
19026606,Perovskite Materials and Applications,-0.3234521475557662,0.9462445287776108,graphene_2d_materials,https://openalex.org/T10247
19026997,2D Materials and Applications,-0.3252074755813263,0.9456426903572094,graphene_2d_materials,https://openalex.org/T10275
19027124,Advanced Battery Materials and Technologies,-0.3269616837920308,0.9450375957240432,graphene_2d_materials,https://openalex.org/T10281
19027259,Plasmonic and Surface Plasmon Research,-0.328714766147463,0.9444292469616868,graphene_2d_materials,https://openalex.org/T10295
19027263,Photonic and Optical Devices,-0.330466716611084,0.9438176461649196,graphene_2d_materials,https://openalex.org/T10299
19043242,Liquid Crystal Research Advancements,-0.3322175291502525,0.9432027954397194,graphene_2d_materials,https://openalex.org/T10306
19043499,Quantum Dots Synthesis And Properties,-0.3339671977362449,0.9425846969032544,graphene_2d_materials,https://openalex.org/T10321
19043637,Advanced Sensor and Energy Harvesting Materials,-0.335715716344277,0.9419633526838764,graphene_2d_materials,https://openalex.org/T10338
19043763,"Hydrogels: synthesis, properties, applications",-0.3374630789535242,0.9413387649211136,graphene_2d_materials,https://openalex.org/T10343
19043894,Zeolite Catalysis and Synthesis,-0.3392092795471427,0.9407109357656624,graphene_2d_materials,https://openalex.org/T10353
19044023,Silicon Carbide Semiconductor Technologies,-0.3409543121122905,0.9400798673793812,graphene_2d_materials,https://openalex.org/T10361
19044160,Metal and Thin Film Mechanics,-0.3426981706401459,0.9394455619352818,graphene_2d_materials,https://openalex.org/T10377
19044286,Quantum and electron transport phenomena,-0.3444408491259315,0.9388080216175227,graphene_2d_materials,https://openalex.org/T10382
19060402,Advanced Polymer Synthesis and Characterization,-0.346182341568933,0.9381672486214016,graphene_2d_materials,https://openalex.org/T10405
19060406,Fuel Cells and Related Materials,-0.347922641972519,0.9375232451533468,graphene_2d_materials,https://openalex.org/T10409
19060531,High-pressure geophysics and materials,-0.3496617443441639,0.936876013430911,graphene_2d_materials,https://openalex.org/T10413
19060664,Cold Atom Physics and Bose-Einstein Condensates,-0.3513996426954671,0.9362255556827628,graphene_2d_materials,https://openalex.org/T10425
19060921,Advanced Thermoelectric Materials and Devices,-0.353136331042174,0.9355718741486792,graphene_2d_materials,https://openalex.org/T10440
19061184,Gas Sensing Nanomaterials and Sensors,-0.3548718034041958,0.9349149710795382,graphene_2d_materials,https://openalex.org/T10461
19061316,Semiconductor materials and devices,-0.3566060538056315,0.9342548487373106,graphene_2d_materials,https://openalex.org/T10472
19061322,Diamond and Carbon-based Materials Research,-0.3583390762747879,0.933591509395052,graphene_2d_materials,https://openalex.org/T10478
19061576,Orbital Angular Momentum in Optics,-0.3600708648441996,0.9329249553368965,graphene_2d_materials,https://openalex.org/T10490
19061577,Enhanced Oil Recovery Techniques,-0.3618014135506502,0.9322551888580464,graphene_2d_materials,https://openalex.org/T10491
19077559,Polymer Nanocomposites and Properties,-0.3635307164351922,0.9315822122647662,graphene_2d_materials,https://openalex.org/T10501
19077560,Advanced Memory and Neural Computing,-0.3652587675431688,0.9309060278743744,graphene_2d_materials,https://openalex.org/T10502
19078082,Advanced Fluorescence Microscopy Techniques,-0.366985560924233,0.9302266380152344,graphene_2d_materials,https://openalex.org/T10540
19078221,Advancements in Semiconductor Devices and Circuit Design,-0.3687110906323683,0.9295440450267484,graphene_2d_materials,https://openalex.org/T10558
19078350,Laser-Matter Interactions and Applications,-0.3704353507259103,0.9288582512593468,graphene_2d_materials,https://openalex.org/T10566
