source,target
https://openalex.org/W2998881619,https://openalex.org/W1032629512
https://openalex.org/W4308766741,https://openalex.org/W4205379795
https://openalex.org/W2770646498,https://openalex.org/W2166213130
https://openalex.org/W2104003823,https://openalex.org/W2169509924
https://openalex.org/W3093053585,https://openalex.org/W2310322011
https://openalex.org/W3093053585,https://openalex.org/W3093053585
https://openalex.org/W3111397348,https://openalex.org/W2936709629
https://openalex.org/W3111397348,https://openalex.org/W3031884005
https://openalex.org/W2934922729,https://openalex.org/W1590553747
https://openalex.org/W2934922729,https://openalex.org/W1973963032
https://openalex.org/W2934922729,https://openalex.org/W2516619560
https://openalex.org/W2959449984,https://openalex.org/W2076198632
https://openalex.org/W2959449984,https://openalex.org/W2165070219
https://openalex.org/W3134746059,https://openalex.org/W2008744347
https://openalex.org/W3134746059,https://openalex.org/W2150632173
https://openalex.org/W2581824660,https://openalex.org/W2027649342
https://openalex.org/W2581824660,https://openalex.org/W2097830904
https://openalex.org/W4313547267,https://openalex.org/W3001262658
https://openalex.org/W4386728322,https://openalex.org/W1523693806
https://openalex.org/W4386728322,https://openalex.org/W1966526764
https://openalex.org/W4386728322,https://openalex.org/W2048098925
https://openalex.org/W4322743974,https://openalex.org/W1523693806
https://openalex.org/W4322743974,https://openalex.org/W2078989706
https://openalex.org/W4322743974,https://openalex.org/W2097616194
https://openalex.org/W4322743974,https://openalex.org/W2904049988
https://openalex.org/W4322743974,https://openalex.org/W3035758066
https://openalex.org/W4322743974,https://openalex.org/W4220699429
https://openalex.org/W4322743974,https://openalex.org/W4304084233
https://openalex.org/W2982711111,https://openalex.org/W2082268152
https://openalex.org/W2982711111,https://openalex.org/W2099176640
https://openalex.org/W2982711111,https://openalex.org/W2901164269
https://openalex.org/W2740213823,https://openalex.org/W1860864010
https://openalex.org/W2740213823,https://openalex.org/W2002207827
https://openalex.org/W2740213823,https://openalex.org/W2031978571
https://openalex.org/W4389861133,https://openalex.org/W2001591494
https://openalex.org/W4389861133,https://openalex.org/W2046250764
https://openalex.org/W4389861133,https://openalex.org/W2154516787
https://openalex.org/W4389861133,https://openalex.org/W2625470034
https://openalex.org/W4389861133,https://openalex.org/W2954917865
https://openalex.org/W4389861133,https://openalex.org/W2995199710
https://openalex.org/W4389861133,https://openalex.org/W2998881619
https://openalex.org/W2460160187,https://openalex.org/W2131493813
https://openalex.org/W2918908250,https://openalex.org/W2093067391
https://openalex.org/W2918908250,https://openalex.org/W2152746275
https://openalex.org/W2918908250,https://openalex.org/W2345358281
https://openalex.org/W2916551902,https://openalex.org/W2157726779
https://openalex.org/W4304084233,https://openalex.org/W2904049988
https://openalex.org/W2926691411,https://openalex.org/W2735527928
https://openalex.org/W4392757206,https://openalex.org/W1997128330
https://openalex.org/W4392757206,https://openalex.org/W2155324869
https://openalex.org/W4392757206,https://openalex.org/W3009077651
https://openalex.org/W4392757206,https://openalex.org/W3077764649
https://openalex.org/W4392757206,https://openalex.org/W3090693089
https://openalex.org/W4392757206,https://openalex.org/W3092589524
https://openalex.org/W4392757206,https://openalex.org/W3108493784
https://openalex.org/W4392757206,https://openalex.org/W4304084233
https://openalex.org/W2172886986,https://openalex.org/W1560496206
https://openalex.org/W3119285888,https://openalex.org/W2130090902
https://openalex.org/W3119285888,https://openalex.org/W2553689505
https://openalex.org/W3119285888,https://openalex.org/W2782203058
https://openalex.org/W2551827189,https://openalex.org/W2013437585
https://openalex.org/W2551827189,https://openalex.org/W2091717318
https://openalex.org/W2551827189,https://openalex.org/W2105722863
https://openalex.org/W2551827189,https://openalex.org/W2154110613
https://openalex.org/W2996380129,https://openalex.org/W1994344724
https://openalex.org/W2996380129,https://openalex.org/W2057706543
https://openalex.org/W2996380129,https://openalex.org/W2066713758
https://openalex.org/W2996380129,https://openalex.org/W2093611899
https://openalex.org/W2996380129,https://openalex.org/W2103552916
https://openalex.org/W2996380129,https://openalex.org/W2227431445
https://openalex.org/W2996380129,https://openalex.org/W2559947248
https://openalex.org/W2996380129,https://openalex.org/W2909353434
https://openalex.org/W2996380129,https://openalex.org/W2948220248
https://openalex.org/W2883053634,https://openalex.org/W2157535220
https://openalex.org/W4290672950,https://openalex.org/W2117503265
https://openalex.org/W3001262658,https://openalex.org/W1492665086
https://openalex.org/W3001262658,https://openalex.org/W1675517407
https://openalex.org/W2949817856,https://openalex.org/W2150632173
https://openalex.org/W2949817856,https://openalex.org/W2166987747
https://openalex.org/W3102624934,https://openalex.org/W2150123812
https://openalex.org/W3102624934,https://openalex.org/W2172886986
https://openalex.org/W3102624934,https://openalex.org/W2769995426
https://openalex.org/W3020593143,https://openalex.org/W2165468754
https://openalex.org/W3020593143,https://openalex.org/W2804789540
https://openalex.org/W3020593143,https://openalex.org/W2893502788
https://openalex.org/W3020593143,https://openalex.org/W2945516613
https://openalex.org/W3049633837,https://openalex.org/W2111567059
https://openalex.org/W2765290339,https://openalex.org/W62603772
https://openalex.org/W2765290339,https://openalex.org/W1505937405
https://openalex.org/W2765290339,https://openalex.org/W1550876205
https://openalex.org/W2765290339,https://openalex.org/W1588992136
https://openalex.org/W2765290339,https://openalex.org/W1967111894
https://openalex.org/W2765290339,https://openalex.org/W1974927898
https://openalex.org/W2765290339,https://openalex.org/W2022812113
https://openalex.org/W2765290339,https://openalex.org/W2025714022
https://openalex.org/W2765290339,https://openalex.org/W2029503022
https://openalex.org/W2765290339,https://openalex.org/W2031978571
https://openalex.org/W2765290339,https://openalex.org/W2044130121
https://openalex.org/W2765290339,https://openalex.org/W2110054485
https://openalex.org/W2765290339,https://openalex.org/W2117503265
https://openalex.org/W2765290339,https://openalex.org/W2130979925
https://openalex.org/W2765290339,https://openalex.org/W2145954079
https://openalex.org/W2765290339,https://openalex.org/W2155634762
https://openalex.org/W2765290339,https://openalex.org/W2157535220
https://openalex.org/W2765290339,https://openalex.org/W2164728918
https://openalex.org/W2765290339,https://openalex.org/W4296217171
