source,target
https://openalex.org/W2070508637,https://openalex.org/W1963760477
https://openalex.org/W2070508637,https://openalex.org/W2032946838
https://openalex.org/W2070508637,https://openalex.org/W2127282085
https://openalex.org/W2102600871,https://openalex.org/W1885258061
https://openalex.org/W2102600871,https://openalex.org/W1963760477
https://openalex.org/W2102600871,https://openalex.org/W1967245741
https://openalex.org/W2102600871,https://openalex.org/W1987488212
https://openalex.org/W2102600871,https://openalex.org/W2068108425
https://openalex.org/W2102600871,https://openalex.org/W2076152999
https://openalex.org/W1968690455,https://openalex.org/W1939930449
https://openalex.org/W1968690455,https://openalex.org/W1963760477
https://openalex.org/W1968690455,https://openalex.org/W1977101238
https://openalex.org/W1968690455,https://openalex.org/W1985663566
https://openalex.org/W1968690455,https://openalex.org/W2010545881
https://openalex.org/W1968690455,https://openalex.org/W2026586306
https://openalex.org/W1968690455,https://openalex.org/W2039556889
https://openalex.org/W1968690455,https://openalex.org/W2113781487
https://openalex.org/W1968690455,https://openalex.org/W2151864661
https://openalex.org/W1968690455,https://openalex.org/W2155828690
https://openalex.org/W1968690455,https://openalex.org/W2160335211
https://openalex.org/W1968690455,https://openalex.org/W2164668957
https://openalex.org/W2033318235,https://openalex.org/W1963760477
https://openalex.org/W2033318235,https://openalex.org/W1965635970
https://openalex.org/W1985663566,https://openalex.org/W1963760477
https://openalex.org/W1985663566,https://openalex.org/W1987488212
https://openalex.org/W1985663566,https://openalex.org/W2010545881
https://openalex.org/W1985663566,https://openalex.org/W2028102127
https://openalex.org/W1985663566,https://openalex.org/W2078720990
https://openalex.org/W1985663566,https://openalex.org/W2120319791
https://openalex.org/W1985663566,https://openalex.org/W2160335211
https://openalex.org/W1985663566,https://openalex.org/W2318323104
https://openalex.org/W1985663566,https://openalex.org/W3099286418
https://openalex.org/W2151864661,https://openalex.org/W1963760477
https://openalex.org/W2151864661,https://openalex.org/W2010545881
https://openalex.org/W2151864661,https://openalex.org/W2022362220
https://openalex.org/W2151864661,https://openalex.org/W2318323104
https://openalex.org/W1967245741,https://openalex.org/W1963760477
https://openalex.org/W2097630927,https://openalex.org/W1963760477
https://openalex.org/W2097630927,https://openalex.org/W2137861933
https://openalex.org/W2097630927,https://openalex.org/W2151864661
https://openalex.org/W4233629529,https://openalex.org/W1963760477
https://openalex.org/W4233629529,https://openalex.org/W2151864661
https://openalex.org/W2076152999,https://openalex.org/W1963760477
https://openalex.org/W2076152999,https://openalex.org/W1967245741
https://openalex.org/W2076152999,https://openalex.org/W1987488212
https://openalex.org/W2076152999,https://openalex.org/W2028102127
https://openalex.org/W2084110269,https://openalex.org/W1963760477
https://openalex.org/W2084110269,https://openalex.org/W1987488212
https://openalex.org/W2084110269,https://openalex.org/W2028102127
https://openalex.org/W2084110269,https://openalex.org/W2318323104
https://openalex.org/W2006357369,https://openalex.org/W1963760477
https://openalex.org/W2006357369,https://openalex.org/W1967245741
https://openalex.org/W2106779363,https://openalex.org/W1963760477
https://openalex.org/W2106779363,https://openalex.org/W2003687834
https://openalex.org/W2106779363,https://openalex.org/W2010545881
https://openalex.org/W2106779363,https://openalex.org/W2151864661
https://openalex.org/W2106779363,https://openalex.org/W2318323104
https://openalex.org/W2106779363,https://openalex.org/W3099286418
https://openalex.org/W2106779363,https://openalex.org/W3105451511
https://openalex.org/W3102938219,https://openalex.org/W1939930449
https://openalex.org/W3102938219,https://openalex.org/W1963760477
https://openalex.org/W3102938219,https://openalex.org/W1977101238
https://openalex.org/W3102938219,https://openalex.org/W1985663566
https://openalex.org/W3102938219,https://openalex.org/W2010545881
https://openalex.org/W3102938219,https://openalex.org/W2026586306
https://openalex.org/W3102938219,https://openalex.org/W2039556889
https://openalex.org/W3102938219,https://openalex.org/W2113781487
https://openalex.org/W3102938219,https://openalex.org/W2151864661
https://openalex.org/W3102938219,https://openalex.org/W2155828690
https://openalex.org/W3102938219,https://openalex.org/W2160335211
https://openalex.org/W3102938219,https://openalex.org/W2164668957
https://openalex.org/W2109435540,https://openalex.org/W1963760477
https://openalex.org/W2109435540,https://openalex.org/W1976848699
https://openalex.org/W2109435540,https://openalex.org/W1987488212
https://openalex.org/W2109435540,https://openalex.org/W2006529264
https://openalex.org/W2109435540,https://openalex.org/W2028102127
