source,target
https://openalex.org/W2014935324,https://openalex.org/W1986583880
https://openalex.org/W2014935324,https://openalex.org/W2028260084
https://openalex.org/W2014935324,https://openalex.org/W2058122340
https://openalex.org/W2014935324,https://openalex.org/W2068824512
https://openalex.org/W2014935324,https://openalex.org/W2072923279
https://openalex.org/W2014935324,https://openalex.org/W2101977779
https://openalex.org/W2014935324,https://openalex.org/W2102415385
https://openalex.org/W2014935324,https://openalex.org/W2113467957
https://openalex.org/W2014935324,https://openalex.org/W2118492507
https://openalex.org/W2014935324,https://openalex.org/W2125284466
https://openalex.org/W2014935324,https://openalex.org/W2134233006
https://openalex.org/W2014935324,https://openalex.org/W2136334331
https://openalex.org/W2014935324,https://openalex.org/W2138159532
https://openalex.org/W2105685140,https://openalex.org/W1986583880
https://openalex.org/W2105685140,https://openalex.org/W1987112649
https://openalex.org/W2105685140,https://openalex.org/W2014935324
https://openalex.org/W2105685140,https://openalex.org/W2028260084
https://openalex.org/W2105685140,https://openalex.org/W2030164271
https://openalex.org/W2105685140,https://openalex.org/W2058122340
https://openalex.org/W2105685140,https://openalex.org/W2068824512
https://openalex.org/W2105685140,https://openalex.org/W2072923279
https://openalex.org/W2105685140,https://openalex.org/W2102415385
https://openalex.org/W2105685140,https://openalex.org/W2113467957
https://openalex.org/W2105685140,https://openalex.org/W2113674800
https://openalex.org/W2105685140,https://openalex.org/W2118492507
https://openalex.org/W2105685140,https://openalex.org/W2119882629
https://openalex.org/W2105685140,https://openalex.org/W2125284466
https://openalex.org/W2105685140,https://openalex.org/W2125631448
https://openalex.org/W2105685140,https://openalex.org/W2134233006
https://openalex.org/W2105685140,https://openalex.org/W2134985338
https://openalex.org/W2105685140,https://openalex.org/W2136334331
https://openalex.org/W2105685140,https://openalex.org/W2138159532
https://openalex.org/W2105685140,https://openalex.org/W2169767991
https://openalex.org/W2125284466,https://openalex.org/W2058122340
https://openalex.org/W2125284466,https://openalex.org/W2134233006
https://openalex.org/W2136334331,https://openalex.org/W1986583880
https://openalex.org/W2136334331,https://openalex.org/W2058122340
https://openalex.org/W2136334331,https://openalex.org/W2118492507
https://openalex.org/W2136334331,https://openalex.org/W2125284466
https://openalex.org/W2136334331,https://openalex.org/W2134233006
https://openalex.org/W2021994802,https://openalex.org/W2058122340
https://openalex.org/W2021994802,https://openalex.org/W2087638855
https://openalex.org/W2021994802,https://openalex.org/W2118492507
https://openalex.org/W2021994802,https://openalex.org/W2119882629
https://openalex.org/W2021994802,https://openalex.org/W2125284466
https://openalex.org/W2021994802,https://openalex.org/W2134233006
https://openalex.org/W2021994802,https://openalex.org/W4211172053
https://openalex.org/W2021994802,https://openalex.org/W4229601930
https://openalex.org/W2146564548,https://openalex.org/W2014935324
https://openalex.org/W2146564548,https://openalex.org/W2030164271
https://openalex.org/W2146564548,https://openalex.org/W2058122340
https://openalex.org/W2146564548,https://openalex.org/W2072923279
https://openalex.org/W2146564548,https://openalex.org/W2118492507
https://openalex.org/W2146564548,https://openalex.org/W2136334331
https://openalex.org/W2118492507,https://openalex.org/W2030164271
https://openalex.org/W2118492507,https://openalex.org/W2058122340
https://openalex.org/W2101977779,https://openalex.org/W2058122340
https://openalex.org/W2101977779,https://openalex.org/W2118492507
https://openalex.org/W2101977779,https://openalex.org/W2125284466
https://openalex.org/W2140746165,https://openalex.org/W1988310931
https://openalex.org/W2140746165,https://openalex.org/W2014935324
https://openalex.org/W2140746165,https://openalex.org/W2020306845
https://openalex.org/W2140746165,https://openalex.org/W2056815766
https://openalex.org/W2140746165,https://openalex.org/W2058122340
https://openalex.org/W2140746165,https://openalex.org/W2102415385
https://openalex.org/W2140746165,https://openalex.org/W2112304948
https://openalex.org/W2140746165,https://openalex.org/W2124030055
https://openalex.org/W2140746165,https://openalex.org/W2125027354
https://openalex.org/W2140746165,https://openalex.org/W2135479172
https://openalex.org/W2140746165,https://openalex.org/W2149070465
https://openalex.org/W2134233006,https://openalex.org/W2058122340
https://openalex.org/W2014451195,https://openalex.org/W2021994802
https://openalex.org/W2014451195,https://openalex.org/W2058122340
https://openalex.org/W2014451195,https://openalex.org/W2101977779
https://openalex.org/W2014451195,https://openalex.org/W4211172053
https://openalex.org/W2135479172,https://openalex.org/W1967432304
https://openalex.org/W2135479172,https://openalex.org/W1990589060
https://openalex.org/W2135479172,https://openalex.org/W2014935324
https://openalex.org/W2135479172,https://openalex.org/W2030677057
https://openalex.org/W2135479172,https://openalex.org/W2056355037
https://openalex.org/W2135479172,https://openalex.org/W2056815766
https://openalex.org/W2135479172,https://openalex.org/W2058122340
https://openalex.org/W2135479172,https://openalex.org/W2065062234
https://openalex.org/W2135479172,https://openalex.org/W2101977779
https://openalex.org/W2135479172,https://openalex.org/W2112304948
https://openalex.org/W2135479172,https://openalex.org/W2113228695
https://openalex.org/W2135479172,https://openalex.org/W2115568341
https://openalex.org/W2135479172,https://openalex.org/W2124030055
https://openalex.org/W2135479172,https://openalex.org/W2152685429
https://openalex.org/W1976156302,https://openalex.org/W1967432304
https://openalex.org/W1976156302,https://openalex.org/W1969637192
https://openalex.org/W1976156302,https://openalex.org/W1988310931
https://openalex.org/W1976156302,https://openalex.org/W1990589060
https://openalex.org/W1976156302,https://openalex.org/W2014935324
https://openalex.org/W1976156302,https://openalex.org/W2020694967
https://openalex.org/W1976156302,https://openalex.org/W2022506474
https://openalex.org/W1976156302,https://openalex.org/W2028157562
https://openalex.org/W1976156302,https://openalex.org/W2030677057
https://openalex.org/W1976156302,https://openalex.org/W2038754799
https://openalex.org/W1976156302,https://openalex.org/W2042087808
https://openalex.org/W1976156302,https://openalex.org/W2050268910
https://openalex.org/W1976156302,https://openalex.org/W2051105944
https://openalex.org/W1976156302,https://openalex.org/W2056355037
https://openalex.org/W1976156302,https://openalex.org/W2057330747
https://openalex.org/W1976156302,https://openalex.org/W2058122340
https://openalex.org/W1976156302,https://openalex.org/W2060009331
https://openalex.org/W1976156302,https://openalex.org/W2065062234
https://openalex.org/W1976156302,https://openalex.org/W2072214543
https://openalex.org/W1976156302,https://openalex.org/W2072836371
https://openalex.org/W1976156302,https://openalex.org/W2072923279
https://openalex.org/W1976156302,https://openalex.org/W2074684620
https://openalex.org/W1976156302,https://openalex.org/W2077263179
https://openalex.org/W1976156302,https://openalex.org/W2078881104
https://openalex.org/W1976156302,https://openalex.org/W2080880982
https://openalex.org/W1976156302,https://openalex.org/W2087638855
https://openalex.org/W1976156302,https://openalex.org/W2099779584
https://openalex.org/W1976156302,https://openalex.org/W2101977779
https://openalex.org/W1976156302,https://openalex.org/W2102415385
https://openalex.org/W1976156302,https://openalex.org/W2105685140
https://openalex.org/W1976156302,https://openalex.org/W2110835769
https://openalex.org/W1976156302,https://openalex.org/W2113228695
https://openalex.org/W1976156302,https://openalex.org/W2113674800
https://openalex.org/W1976156302,https://openalex.org/W2118492507
https://openalex.org/W1976156302,https://openalex.org/W2119882629
https://openalex.org/W1976156302,https://openalex.org/W2124030055
https://openalex.org/W1976156302,https://openalex.org/W2125284466
https://openalex.org/W1976156302,https://openalex.org/W2125612486
https://openalex.org/W1976156302,https://openalex.org/W2126934395
https://openalex.org/W1976156302,https://openalex.org/W2134985338
https://openalex.org/W1976156302,https://openalex.org/W2135479172
https://openalex.org/W1976156302,https://openalex.org/W2136334331
https://openalex.org/W1976156302,https://openalex.org/W2146564548
https://openalex.org/W1976156302,https://openalex.org/W2149070465
https://openalex.org/W1976156302,https://openalex.org/W4229601930
https://openalex.org/W2099779584,https://openalex.org/W2014935324
https://openalex.org/W2099779584,https://openalex.org/W2058122340
https://openalex.org/W2099779584,https://openalex.org/W2072836371
https://openalex.org/W2099779584,https://openalex.org/W2087638855
https://openalex.org/W2099779584,https://openalex.org/W2101977779
https://openalex.org/W2099779584,https://openalex.org/W2102415385
https://openalex.org/W2099779584,https://openalex.org/W2118492507
https://openalex.org/W2099779584,https://openalex.org/W2119882629
https://openalex.org/W2099779584,https://openalex.org/W2125284466
https://openalex.org/W2099779584,https://openalex.org/W2136334331
https://openalex.org/W2099779584,https://openalex.org/W2138159532
https://openalex.org/W2099779584,https://openalex.org/W2148144129
https://openalex.org/W2099779584,https://openalex.org/W2149070465
https://openalex.org/W2011899447,https://openalex.org/W2021994802
https://openalex.org/W2011899447,https://openalex.org/W2032823609
https://openalex.org/W2011899447,https://openalex.org/W2058122340
https://openalex.org/W2011899447,https://openalex.org/W2072923279
https://openalex.org/W2011899447,https://openalex.org/W2104029981
https://openalex.org/W2011899447,https://openalex.org/W2105685140
https://openalex.org/W2011899447,https://openalex.org/W2125612486
https://openalex.org/W2163980958,https://openalex.org/W1979345035
https://openalex.org/W2163980958,https://openalex.org/W1988310931
https://openalex.org/W2163980958,https://openalex.org/W2014935324
https://openalex.org/W2163980958,https://openalex.org/W2028157562
https://openalex.org/W2163980958,https://openalex.org/W2028783209
https://openalex.org/W2163980958,https://openalex.org/W2037961889
https://openalex.org/W2163980958,https://openalex.org/W2051105944
https://openalex.org/W2163980958,https://openalex.org/W2057626905
https://openalex.org/W2163980958,https://openalex.org/W2058122340
https://openalex.org/W2163980958,https://openalex.org/W2074684620
https://openalex.org/W2163980958,https://openalex.org/W2080880982
https://openalex.org/W2163980958,https://openalex.org/W2119882629
https://openalex.org/W2163980958,https://openalex.org/W2125612486
https://openalex.org/W2163980958,https://openalex.org/W2126421651
https://openalex.org/W2163980958,https://openalex.org/W2134233006
https://openalex.org/W2163980958,https://openalex.org/W2138159532
https://openalex.org/W2163980958,https://openalex.org/W2140372631
https://openalex.org/W2163980958,https://openalex.org/W4211172053
https://openalex.org/W2163980958,https://openalex.org/W4229601930
https://openalex.org/W2149070465,https://openalex.org/W2014935324
https://openalex.org/W2149070465,https://openalex.org/W2058122340
https://openalex.org/W2149070465,https://openalex.org/W2065062234
https://openalex.org/W2149070465,https://openalex.org/W2101977779
https://openalex.org/W2149070465,https://openalex.org/W2112304948
https://openalex.org/W2149070465,https://openalex.org/W2125027354
https://openalex.org/W2041311241,https://openalex.org/W2021994802
https://openalex.org/W2041311241,https://openalex.org/W2058122340
https://openalex.org/W2041311241,https://openalex.org/W2080880982
https://openalex.org/W2041311241,https://openalex.org/W2126934395
https://openalex.org/W2041311241,https://openalex.org/W4211172053
https://openalex.org/W2030164271,https://openalex.org/W2058122340
https://openalex.org/W2060009331,https://openalex.org/W2014935324
https://openalex.org/W2060009331,https://openalex.org/W2058122340
https://openalex.org/W2060009331,https://openalex.org/W2101977779
https://openalex.org/W2060009331,https://openalex.org/W2125284466
https://openalex.org/W2060009331,https://openalex.org/W2125631448
https://openalex.org/W2060009331,https://openalex.org/W2134233006
https://openalex.org/W2060009331,https://openalex.org/W2136334331
https://openalex.org/W2498106012,https://openalex.org/W1833005811
https://openalex.org/W2498106012,https://openalex.org/W1868805735
https://openalex.org/W2498106012,https://openalex.org/W1953096683
https://openalex.org/W2498106012,https://openalex.org/W1992478270
https://openalex.org/W2498106012,https://openalex.org/W2006105172
https://openalex.org/W2498106012,https://openalex.org/W2010289698
https://openalex.org/W2498106012,https://openalex.org/W2011385937
https://openalex.org/W2498106012,https://openalex.org/W2018958741
https://openalex.org/W2498106012,https://openalex.org/W2029281675
https://openalex.org/W2498106012,https://openalex.org/W2031378143
https://openalex.org/W2498106012,https://openalex.org/W2041311241
https://openalex.org/W2498106012,https://openalex.org/W2050211069
https://openalex.org/W2498106012,https://openalex.org/W2051698493
https://openalex.org/W2498106012,https://openalex.org/W2058122340
https://openalex.org/W2498106012,https://openalex.org/W2059115869
https://openalex.org/W2498106012,https://openalex.org/W2078118572
https://openalex.org/W2498106012,https://openalex.org/W2098269095
https://openalex.org/W2498106012,https://openalex.org/W2134233006
https://openalex.org/W2498106012,https://openalex.org/W2144088175
https://openalex.org/W2498106012,https://openalex.org/W2148934103
https://openalex.org/W2498106012,https://openalex.org/W2174354114
https://openalex.org/W2498106012,https://openalex.org/W2281778970
https://openalex.org/W2498106012,https://openalex.org/W2292770293
https://openalex.org/W2498106012,https://openalex.org/W3037464148
https://openalex.org/W2074880343,https://openalex.org/W2014935324
https://openalex.org/W2074880343,https://openalex.org/W2038754799
https://openalex.org/W2074880343,https://openalex.org/W2058122340
https://openalex.org/W2074880343,https://openalex.org/W2060009331
https://openalex.org/W2074880343,https://openalex.org/W2110835769
https://openalex.org/W2074880343,https://openalex.org/W2126421651
https://openalex.org/W2074880343,https://openalex.org/W2134233006
https://openalex.org/W2074880343,https://openalex.org/W2134985338
https://openalex.org/W2074880343,https://openalex.org/W2136334331
https://openalex.org/W2074880343,https://openalex.org/W2146564548
https://openalex.org/W2074880343,https://openalex.org/W2147199374
https://openalex.org/W2401906193,https://openalex.org/W1754346341
https://openalex.org/W2401906193,https://openalex.org/W2025282879
https://openalex.org/W2401906193,https://openalex.org/W2030677057
https://openalex.org/W2401906193,https://openalex.org/W2058122340
https://openalex.org/W2401906193,https://openalex.org/W2146349866
https://openalex.org/W2401906193,https://openalex.org/W2253812227
https://openalex.org/W2401906193,https://openalex.org/W2292770293
https://openalex.org/W2057330747,https://openalex.org/W1967432304
https://openalex.org/W2057330747,https://openalex.org/W1986583880
https://openalex.org/W2057330747,https://openalex.org/W2014935324
https://openalex.org/W2057330747,https://openalex.org/W2058122340
https://openalex.org/W2057330747,https://openalex.org/W2058957873
