source,target
https://openalex.org/W3119952098,https://openalex.org/W2078365477
https://openalex.org/W3119952098,https://openalex.org/W2088226047
https://openalex.org/W3119952098,https://openalex.org/W2129690444
https://openalex.org/W3119952098,https://openalex.org/W2410975458
https://openalex.org/W3119952098,https://openalex.org/W2563720483
https://openalex.org/W3119952098,https://openalex.org/W2976566477
https://openalex.org/W3119952098,https://openalex.org/W2989135569
https://openalex.org/W3083241614,https://openalex.org/W1505343478
https://openalex.org/W3083241614,https://openalex.org/W1964027278
https://openalex.org/W3083241614,https://openalex.org/W1986189475
https://openalex.org/W3083241614,https://openalex.org/W1993399595
https://openalex.org/W3083241614,https://openalex.org/W2004549986
https://openalex.org/W3083241614,https://openalex.org/W2023615726
https://openalex.org/W3083241614,https://openalex.org/W2030928347
https://openalex.org/W3083241614,https://openalex.org/W2035378093
https://openalex.org/W3083241614,https://openalex.org/W2036495967
https://openalex.org/W3083241614,https://openalex.org/W2071841602
https://openalex.org/W3083241614,https://openalex.org/W2078455937
https://openalex.org/W3083241614,https://openalex.org/W2083501377
https://openalex.org/W3083241614,https://openalex.org/W2102538757
https://openalex.org/W3083241614,https://openalex.org/W2117595393
https://openalex.org/W3083241614,https://openalex.org/W2125826054
https://openalex.org/W3083241614,https://openalex.org/W2148171446
https://openalex.org/W3083241614,https://openalex.org/W2153075279
https://openalex.org/W3083241614,https://openalex.org/W2158341557
https://openalex.org/W3083241614,https://openalex.org/W2162088497
https://openalex.org/W3083241614,https://openalex.org/W2167062509
https://openalex.org/W3083241614,https://openalex.org/W2188930066
https://openalex.org/W3083241614,https://openalex.org/W2343150225
https://openalex.org/W3083241614,https://openalex.org/W2563720483
https://openalex.org/W3083241614,https://openalex.org/W2566680380
https://openalex.org/W3083241614,https://openalex.org/W2586360538
https://openalex.org/W3083241614,https://openalex.org/W2731046709
https://openalex.org/W3083241614,https://openalex.org/W2761865284
https://openalex.org/W3083241614,https://openalex.org/W2762906919
https://openalex.org/W3083241614,https://openalex.org/W2765317088
https://openalex.org/W3083241614,https://openalex.org/W2783006976
https://openalex.org/W3083241614,https://openalex.org/W2787902098
https://openalex.org/W3083241614,https://openalex.org/W2805293481
https://openalex.org/W3083241614,https://openalex.org/W2889977344
https://openalex.org/W3083241614,https://openalex.org/W2891057921
https://openalex.org/W3083241614,https://openalex.org/W2906257674
https://openalex.org/W3083241614,https://openalex.org/W2912465744
https://openalex.org/W3083241614,https://openalex.org/W2913914265
https://openalex.org/W3083241614,https://openalex.org/W2924485771
https://openalex.org/W3083241614,https://openalex.org/W2956175090
https://openalex.org/W3083241614,https://openalex.org/W2959398154
https://openalex.org/W3083241614,https://openalex.org/W3000095198
https://openalex.org/W3083241614,https://openalex.org/W3022258762
https://openalex.org/W4224436908,https://openalex.org/W1934236512
https://openalex.org/W4224436908,https://openalex.org/W1975170354
https://openalex.org/W4224436908,https://openalex.org/W1989848555
https://openalex.org/W4224436908,https://openalex.org/W1997437115
https://openalex.org/W4224436908,https://openalex.org/W2020398205
https://openalex.org/W4224436908,https://openalex.org/W2041255015
https://openalex.org/W4224436908,https://openalex.org/W2080580603
https://openalex.org/W4224436908,https://openalex.org/W2083102356
https://openalex.org/W4224436908,https://openalex.org/W2090711753
https://openalex.org/W4224436908,https://openalex.org/W2103761010
https://openalex.org/W4224436908,https://openalex.org/W2107097628
https://openalex.org/W4224436908,https://openalex.org/W2116846792
https://openalex.org/W4224436908,https://openalex.org/W2117595393
https://openalex.org/W4224436908,https://openalex.org/W2140571939
https://openalex.org/W4224436908,https://openalex.org/W2143777796
https://openalex.org/W4224436908,https://openalex.org/W2148103005
https://openalex.org/W4224436908,https://openalex.org/W2148171446
https://openalex.org/W4224436908,https://openalex.org/W2158630697
https://openalex.org/W4224436908,https://openalex.org/W2158976881
https://openalex.org/W4224436908,https://openalex.org/W2162088497
https://openalex.org/W4224436908,https://openalex.org/W2164265873
https://openalex.org/W4224436908,https://openalex.org/W2165456770
https://openalex.org/W4224436908,https://openalex.org/W2167062509
https://openalex.org/W4224436908,https://openalex.org/W2170196186
https://openalex.org/W4224436908,https://openalex.org/W2460079419
https://openalex.org/W4224436908,https://openalex.org/W2552041992
https://openalex.org/W4224436908,https://openalex.org/W2581406049
https://openalex.org/W4224436908,https://openalex.org/W2611378632
