source_community,target_community,weight
87874756,87874888,11
87874756,87875544,7
87874756,87875675,6
87874756,87909342,1
87874756,87944052,1
87874756,88012439,1
87874756,90123375,3
87874756,90174722,1
87874756,90244150,14
87874756,92508617,1
87874756,96919787,1
87874757,90244150,1
87874883,87875544,4
87874887,87875675,1
87874888,87875544,381
87874888,87875675,2
87874888,87875939,11
87874888,87892438,2
87874888,87892440,1
87874888,87892444,2
87874888,87892831,3
87874888,87909736,8
87874888,87926760,2
87874888,87926891,1
87874888,87943405,1
87874888,87943536,3
87874888,87943666,3
87874888,87944450,1
87874888,87961347,3
87874888,87995535,1
87874888,88012439,5
87874888,88012960,2
87874888,88012965,2
87874888,88029728,1
87874888,88030124,1
87874888,88030385,5
87874888,90123375,32
87874888,90140922,1
87874888,90141061,1
87874888,90141187,1
87874888,90158221,2
87874888,90158348,1
87874888,90174722,4
87874888,90174726,1
87874888,90174850,1
87874888,90192537,5
87874888,90208784,2
87874888,90209698,2
87874888,90226077,1
87874888,90226334,1
87874888,90243760,1
87874888,90244150,91
87874888,90261057,4
87874888,90278209,3
87874888,90278346,6
87874888,92370939,1
87874888,92388492,2
87874888,92406049,1
87874888,92440759,1
87874888,92457526,2
87874888,92474424,8
87874888,92475080,1
87874888,92508755,2
87874888,94773874,1
87875017,87875544,2
87875017,94654404,1
87875150,87875544,9
87875408,87874888,1
87875408,87875544,7
87875408,87978509,1
87875408,92406049,1
87875544,87874756,1
87875544,87874883,3
87875544,87874888,645
87875544,87875017,5
87875544,87875150,2
87875544,87875408,30
87875544,87875675,14
87875544,87875802,9
87875544,87875805,14
87875544,87875806,4
87875544,87875807,1
87875544,87875939,15
87875544,87891919,7
87875544,87892310,104
87875544,87892437,4
87875544,87892438,123
87875544,87892443,2
87875544,87892444,10
87875544,87892570,8
87875544,87892831,8
87875544,87893092,2
87875544,87893101,3
87875544,87909468,1
87875544,87909731,1
87875544,87909736,64
87875544,87909869,1
87875544,87909997,9
87875544,87910126,6
87875544,87910254,2
87875544,87926760,2
87875544,87926891,32
87875544,87927026,36
87875544,87927153,17
87875544,87927414,1
87875544,87943403,1
87875544,87943405,6
87875544,87943536,34
87875544,87943666,16
87875544,87944052,2
87875544,87944053,5
87875544,87944191,1
87875544,87944450,17
87875544,87944453,4
87875544,87944579,3
87875544,87944584,2
87875544,87960563,6
87875544,87960697,1
87875544,87960957,1
87875544,87961214,9
87875544,87961347,1
87875544,87961474,21
87875544,87961739,1
87875544,87961742,12
87875544,87977720,9
87875544,87978509,12
87875544,87978638,2
87875544,87978900,3
87875544,87994881,2
87875544,87995010,5
87875544,87995537,1
87875544,87995665,4
87875544,87995667,4
87875544,88012307,2
87875544,88012439,62
87875544,88012440,21
87875544,88012832,4
87875544,88012965,1
87875544,88013095,3
87875544,88029596,18
87875544,88029728,6
87875544,88030124,1
87875544,90122845,10
87875544,90122977,14
87875544,90123112,18
87875544,90123243,1
87875544,90123375,128
87875544,90123636,1
87875544,90123768,45
87875544,90123896,1
87875544,90123897,3
87875544,90140007,11
87875544,90140922,85
87875544,90141187,2
87875544,90157172,35
87875544,90157559,1
87875544,90157560,21
87875544,90157692,4
87875544,90157693,1
87875544,90157957,4
87875544,90158221,266
87875544,90158222,1
87875544,90158344,6
87875544,90158348,42
87875544,90174334,1
87875544,90174463,2
87875544,90174720,10
87875544,90174726,57
87875544,90174850,3
87875544,90174858,7
87875544,90174989,2
87875544,90174990,1
87875544,90192404,13
87875544,90208779,8
87875544,90208784,3
87875544,90209173,2
87875544,90209700,28
87875544,90226077,9
87875544,90226334,5
87875544,90226602,7
87875544,90243760,8
87875544,90244150,246
87875544,90260528,6
87875544,90261057,1
87875544,90277558,4
87875544,90277562,9
87875544,90278079,2
87875544,90278080,1
87875544,90278209,76
87875544,90278346,1
87875544,92371598,9
87875544,92388492,16
87875544,92388757,8
87875544,92388888,17
87875544,92389282,3
87875544,92406049,325
87875544,92406442,40
87875544,92422816,5
87875544,92423212,5
87875544,92440500,6
87875544,92440635,69
87875544,92440759,2
87875544,92457009,19
87875544,92457398,4
87875544,92457526,4
87875544,92474301,10
87875544,92474424,31
87875544,92475080,2
87875544,92508755,1
87875544,92508883,4
87875544,92526173,2
87875544,92526568,2
87875544,94636712,8
87875544,94637374,2
87875544,94654404,28
87875544,94671690,11
87875544,94687800,1
87875544,94704835,10
87875544,94705486,1
87875544,94705625,1
87875544,94740069,8
87875544,94756451,1
87875544,96919781,3
87875675,87874756,8
87875675,87874887,4
87875675,87874888,22
87875675,87875544,52
87875675,87909731,1
87875675,87943536,3
87875675,87944052,9
87875675,87995534,1
87875675,88012307,6
87875675,88029596,3
87875675,90123375,3
87875675,90192404,24
87875675,90243756,1
87875675,90243760,1
87875675,90244150,25
87875675,90278209,1
87875675,92371597,2
87875675,92388492,3
87875675,92388888,1
87875675,92389143,3
87875675,92406049,1
87875675,92440500,1
87875675,92474424,1
87875675,92474686,1
87875675,92508617,2
87875675,92508885,3
87875675,96884932,1
87875802,87875544,12
87875802,90244150,1
87875802,90278079,1
87875802,92423212,1
87875805,87874888,3
87875805,87875544,34
87875805,87892438,1
87875805,90244150,1
87875805,92457398,1
87875806,87875544,3
87875807,87909736,1
87875939,87874888,46
87875939,87875544,75
87875939,87910126,1
87875939,90123375,4
87875939,90158221,6
87875939,90209698,1
87875939,90244150,7
87875939,90260659,1
87875939,90278209,1
87875939,92388492,1
87875939,92422681,1
87875939,92440500,1
87875939,92474424,4
87891919,87874888,5
87891919,87875544,9
87891919,90244150,1
87891919,94671690,2
87892050,87875544,1
87892050,87943666,1
87892175,87875544,1
87892310,87875544,67
87892310,87892438,1
87892310,90123105,1
87892310,90123375,1
87892310,90123768,2
87892310,90158221,6
87892310,90244150,1
87892310,92406049,1
87892310,92406442,1
87892437,87875544,3
87892437,87892438,1
87892437,87961742,1
87892437,90158221,1
87892437,92406049,1
87892438,87874888,20
87892438,87875150,1
87892438,87875544,133
87892438,87875939,1
87892438,87892310,2
87892438,87892444,1
87892438,87892570,1
87892438,87909736,2
87892438,87943536,2
87892438,87944450,1
87892438,88012440,1
87892438,90122845,1
87892438,90140922,1
87892438,90158221,4
87892438,90174726,1
87892438,90192404,1
87892438,90244150,6
87892438,90278209,1
87892438,92406049,5
87892438,92440635,3
87892438,92474424,1
