id,year,title,domain,primary_field,analysis_community,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,reference_count,source_dataset,legacy_is_landmark,reliable_anchor_source,anchor_policy,primary_topic,community,community_label,display_label,is_closure_node,domain_analysis_end_year,landmark_source
crispr::https://openalex.org/W2045435533,2012,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,crispr,Molecular Biology,35024081,35024081,1,Jinek 2012,W2045435533,10.1126/science.1225829,17234,48,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,expected_landmark_config
crispr::https://openalex.org/W2064815984,2013,Multiplex Genome Engineering Using CRISPR/Cas Systems,crispr,Molecular Biology,35024081,35024081,1,Cong 2013; Cong/Mali 2013,W2064815984,10.1126/science.1231143,15705,32,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,expected_landmark_config
crispr::https://openalex.org/W2003171404,2013,RNA-Guided Human Genome Engineering via Cas9,crispr,Molecular Biology,35024081,35024081,1,Mali 2013,W2003171404,10.1126/science.1232033,9379,46,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,expected_landmark_config
crispr::https://openalex.org/W1977709885,2013,Genome engineering using the CRISPR-Cas9 system,crispr,Molecular Biology,35024081,35024081,0,,W1977709885,10.1038/nprot.2013.143,11704,76,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W3029661147,2020,"The mutational constraint spectrum quantified from variation in 141,456 humans",crispr,Genetics,37237451,37237451,0,,W3029661147,10.1038/s41586-020-2308-7,10114,53,openalex_v3_query_core,0,,strict,Genomics and Rare Diseases,37237451,Genomics and Rare Diseases,Genomics and Rare Diseases,0,2025,
crispr::https://openalex.org/W3109746568,2020,Engineering precision nanoparticles for drug delivery,crispr,Biomaterials,34886657,34886657,0,,W3109746568,10.1038/s41573-020-0090-8,7339,320,openalex_v3_query_core,0,,strict,Nanoparticle-Based Drug Delivery,34886657,Nanoparticle-Based Drug Delivery,Nanoparticle-Based Drug Delivery,0,2025,
crispr::https://openalex.org/W2050480410,2014,The new frontier of genome engineering with CRISPR-Cas9,crispr,Molecular Biology,35024081,35024081,0,,W2050480410,10.1126/science.1258096,6935,157,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
crispr::https://openalex.org/W1864325817,2015,Cleavage of GSDMD by inflammatory caspases determines pyroptotic cell death,crispr,Molecular Biology,37134884,37134884,0,,W1864325817,10.1038/nature15514,6522,32,openalex_v3_query_core,0,,strict,Inflammasome and immune disorders,37134884,Inflammasome and immune disorders,Inflammasome and immune disorders,0,2025,
crispr::https://openalex.org/W2801309958,2018,Understanding the tumor immune microenvironment (TIME) for effective therapy,crispr,Oncology,34903692,34903692,0,,W2801309958,10.1038/s41591-018-0014-x,5996,112,openalex_v3_anchor_citer,0,,strict,Cancer Immunotherapy and Biomarkers,34903692,Cancer Immunotherapy and Biomarkers,Cancer Immunotherapy and Biomarkers,0,2025,
crispr::https://openalex.org/W2096261947,2014,Development and Applications of CRISPR-Cas9 for Genome Engineering,crispr,Molecular Biology,35024081,35024081,0,,W2096261947,10.1016/j.cell.2014.05.010,5859,105,openalex_v3_anchor_citer,0,,strict,CRISPR and Genetic Engineering,35024081,CRISPR and Genetic Engineering,CRISPR and Genetic Engineering,0,2025,
