source,target
https://openalex.org/W2105685140,https://openalex.org/W1977087560
https://openalex.org/W2105685140,https://openalex.org/W2018949714
https://openalex.org/W2105685140,https://openalex.org/W2030126423
https://openalex.org/W2105685140,https://openalex.org/W2030164271
https://openalex.org/W2105685140,https://openalex.org/W2046916922
https://openalex.org/W2105685140,https://openalex.org/W2060724751
https://openalex.org/W2105685140,https://openalex.org/W2069989016
https://openalex.org/W2105685140,https://openalex.org/W2072020654
https://openalex.org/W2105685140,https://openalex.org/W2084266112
https://openalex.org/W2105685140,https://openalex.org/W2118492507
https://openalex.org/W2146564548,https://openalex.org/W2018949714
https://openalex.org/W2146564548,https://openalex.org/W2030164271
https://openalex.org/W2146564548,https://openalex.org/W2059432259
https://openalex.org/W2146564548,https://openalex.org/W2118492507
https://openalex.org/W2118492507,https://openalex.org/W2030164271
https://openalex.org/W2606397457,https://openalex.org/W751845864
https://openalex.org/W2606397457,https://openalex.org/W2089608912
https://openalex.org/W2606397457,https://openalex.org/W2118492507
https://openalex.org/W2606397457,https://openalex.org/W2551927833
https://openalex.org/W2611395271,https://openalex.org/W889245261
https://openalex.org/W2611395271,https://openalex.org/W1112833715
https://openalex.org/W2611395271,https://openalex.org/W1260748775
https://openalex.org/W2611395271,https://openalex.org/W1456169536
https://openalex.org/W2611395271,https://openalex.org/W1501955150
https://openalex.org/W2611395271,https://openalex.org/W1514707913
https://openalex.org/W2611395271,https://openalex.org/W1523807289
https://openalex.org/W2611395271,https://openalex.org/W1524641833
https://openalex.org/W2611395271,https://openalex.org/W1529147870
https://openalex.org/W2611395271,https://openalex.org/W1552055731
https://openalex.org/W2611395271,https://openalex.org/W1592775356
https://openalex.org/W2611395271,https://openalex.org/W1745316358
https://openalex.org/W2611395271,https://openalex.org/W1800890817
https://openalex.org/W2611395271,https://openalex.org/W1803305912
https://openalex.org/W2611395271,https://openalex.org/W1858384429
https://openalex.org/W2611395271,https://openalex.org/W1878730722
https://openalex.org/W2611395271,https://openalex.org/W1890616858
https://openalex.org/W2611395271,https://openalex.org/W1891749393
https://openalex.org/W2611395271,https://openalex.org/W1894873768
https://openalex.org/W2611395271,https://openalex.org/W1905539406
https://openalex.org/W2611395271,https://openalex.org/W1907806721
https://openalex.org/W2611395271,https://openalex.org/W1931579435
https://openalex.org/W2611395271,https://openalex.org/W1935448428
https://openalex.org/W2611395271,https://openalex.org/W1948865326
https://openalex.org/W2611395271,https://openalex.org/W1961164702
https://openalex.org/W2611395271,https://openalex.org/W1973490797
https://openalex.org/W2611395271,https://openalex.org/W1978426240
https://openalex.org/W2611395271,https://openalex.org/W1983970619
https://openalex.org/W2611395271,https://openalex.org/W1986816117
https://openalex.org/W2611395271,https://openalex.org/W1987693322
