source_community,target_community,weight
32517050,32517838,4
32517050,32534474,9
32517050,32535128,15
32517050,32586088,1
32517050,32586479,2
32517050,32671761,2
32517050,34765531,7
32517050,34800122,5
32517050,34816497,1
32517050,34903346,1
32517050,37082660,3
32517050,37082663,5
32517050,39261322,1
32517051,34765531,1
32517051,34834700,1
32517313,32517969,1
32517313,32603775,1
32517313,34782822,1
32517313,34799728,1
32517313,34833782,1
32517313,34851991,1
32517316,32620934,1
32517443,32603771,2
32517443,34765531,2
32517703,32603771,1
32517703,32620275,1
32517703,34765531,3
32517703,34885924,2
32517703,34902823,1
32517703,34919725,1
32517706,32603775,1
32517706,34765931,1
32517706,34782822,1
32517707,32534739,1
32517707,32603775,1
32517707,32671764,1
32517707,34800120,1
32517707,34816623,1
32517707,34851991,1
32517838,32517050,3
32517838,32534474,2
32517838,32535128,6
32517838,34765531,9
32517838,34782170,1
32517838,34799728,1
32517838,34816497,1
32517838,34851991,3
32517838,37082663,3
32517838,37134142,1
32517839,34765531,1
32517839,34782822,1
32517839,34886052,1
32517968,32517969,3
32517968,32568399,12
32517968,32586216,1
32517968,32586610,2
32517968,32603775,90
32517968,32620019,8
32517968,32620672,4
32517968,32654863,1
32517968,32671893,2
32517968,32671897,12
32517968,34765531,56
32517968,34782822,12
32517968,34800120,1
32517968,34816884,1
32517968,34817677,1
32517968,34833782,1
32517968,37116325,1
32517968,39330881,3
32517969,32517968,31
32517969,32552420,1
32517969,32568399,3
32517969,32603771,1
32517969,32603775,24
32517969,32654863,7
32517969,32671635,2
32517969,32671761,7
32517969,32671897,4
32517969,34765531,27
32517969,34782822,11
32517969,34800120,1
32517969,34816884,1
32517969,34885532,1
32517969,37013362,1
32517969,37099299,1
32517969,37099561,1
32517969,37116194,1
32517969,39330881,2
32534081,32552420,1
32534081,32603775,2
32534082,34799462,1
32534209,32619883,1
32534209,32620672,3
32534209,34765531,5
32534209,34782822,1
32534209,34851991,1
32534215,32603775,1
32534215,34868766,1
32534338,32586747,1
32534338,34817677,1
32534341,32534606,1
32534341,32534871,1
32534341,32552420,1
32534341,32586745,2
32534341,32603771,3
32534341,32620019,1
32534341,32620275,1
32534341,34765531,27
32534341,34851991,2
32534341,37167817,1
32534347,32534739,1
32534347,32671635,1
32534347,34782822,1
32534474,32517050,19
32534474,32517838,2
32534474,32535128,12
32534474,32586088,1
32534474,34765531,6
32534474,37082660,1
32534474,37082663,31
32534474,37099689,2
32534603,32535255,2
32534603,32568399,1
32534603,32586084,8
32534603,32603775,2
32534603,32620019,1
32534603,32620275,1
32534603,32620672,1
32534603,32671897,2
32534603,34765531,16
32534603,34782822,1
32534603,34817677,2
32534603,34851991,1
32534603,39364554,1
32534606,32603771,4
32534606,34765531,1
32534733,34816884,5
32534733,37117120,1
32534739,32534603,1
32534739,32568797,3
32534739,32603768,4
32534739,32603771,1
32534739,32603775,1
32534739,32637962,3
32534739,34765531,1
32534739,34782829,2
32534739,34850814,1
32534739,34851991,1
32534865,32603775,1
32534865,32620275,1
32534865,34765531,1
32534868,32620019,1
32534871,32517968,2
32534871,32603771,1
32534871,32671897,1
32534871,34765531,3
32535128,32517050,4
32535128,32517838,1
32535128,32534474,14
32535128,32551761,1
32535128,32585824,1
32535128,32586479,13
32535128,32603771,1
32535128,32603775,1
32535128,32620019,1
32535128,32655258,1
32535128,34765531,43
32535128,34799728,2
32535128,34799859,2
32535128,34800122,16
32535128,34834444,11
32535128,34851991,1
32535128,37082660,1
32535128,37082663,11
32535129,34765531,2
32535129,34782829,1
32551369,32517969,1
32551369,32552420,1
32551369,32568797,1
32551369,32620414,1
32551369,34765531,1
32551376,32569316,1
32551501,32637703,1
32551501,34765531,16
32551501,34765925,1
32551631,34765531,1
32551634,32620275,8
32551634,34782822,1
32551634,34816884,1
32551634,34903346,1
32551894,34765531,1
32552031,32534209,1
32552031,34765531,4
32552032,32534209,1
32552032,32534341,4
32552032,32551501,2
32552032,32586740,1
32552032,32586747,1
32552032,32603771,6
32552032,32654866,1
32552032,34765531,7
32552032,34782822,1
32552032,34816623,1
32552032,34817677,1
32552032,37098907,1
32552032,37167817,1
32552416,32620275,1
32552416,34782822,1
32552419,32603775,1
32552419,32637703,1
32552419,34765531,3
32552419,37082266,4
32552420,32517968,1
32552420,32534871,1
32552420,32603771,3
32552420,32603775,7
32552420,32620414,2
32552420,32654863,2
32552420,34765531,32
32552420,34782822,1
32552420,34833782,1
32552420,34851207,2
32552420,34851991,6
32552420,34885532,1
32552420,34886052,1
32552420,34902826,1
32568399,32517968,20
32568399,32517969,5
32568399,32534871,1
32568399,32552032,1
32568399,32552420,4
32568399,32569054,2
32568399,32586084,17
32568399,32586610,1
32568399,32603771,1
32568399,32603775,85
32568399,32619883,1
32568399,32620019,1
32568399,32620275,5
32568399,32620804,1
32568399,32654996,1
32568399,32655128,1
32568399,32671761,1
32568399,32671764,1
32568399,32671897,1
32568399,34765531,24
32568399,34782822,4
32568399,34800120,1
32568399,34816884,1
32568399,34834312,1
32568399,34851991,1
32568399,34903346,1
32568399,37116071,1
32568406,32671761,1
32568406,34765531,2
32568407,32603775,2
32568407,34782695,1
32568797,32603768,1
32568797,32671635,4
32568797,34765531,5
32568797,34851991,1
32568924,32534209,1
32568924,32568399,2
32568924,32568797,1
32568924,32602860,1
32568924,32603775,2
32568924,32655128,1
32568924,32671764,3
32568924,34765531,2
32568924,34782822,1
32568924,34800120,2
32568924,34816884,1
32568924,34851991,1
32569054,32568399,1
32569054,32603775,3
32569054,34765531,1
32569316,32552420,1
32569316,32603253,1
32569316,34765531,7
32569316,34851991,24
32569316,34868766,1
32569324,32620275,1
32569324,34765531,3
32569324,34850812,4
32569324,37013888,1
32569324,39416037,1
32569451,32620408,1
32569453,32603775,1
32569453,32671635,1
32569453,34903346,1
32569584,32568399,1
32569584,32586084,21
32569584,32603775,3
32569584,32620275,1
32569584,32654866,3
32569584,34817677,2
32585560,32517968,1
32585560,34816891,1
32585560,37030782,1
32585566,34902822,1
32585697,32603637,1
32585697,32603771,1
32585697,34885532,1
32585697,34885790,1
32585697,37065506,1
32585697,37099299,1
32585823,32568797,1
32585823,32602856,1
32585823,32603771,1
32585823,32620275,7
32585823,32672156,1
32585823,34885532,1
32585823,37048606,1
32585824,32517968,1
32585824,32535128,1
32585824,32586479,2
32585824,32603775,1
32585824,34765531,3
32585824,37082660,1
32585956,34765531,1
32585956,34782822,1
32585956,34903220,1
32586084,32534603,5
32586084,32568399,7
32586084,32569584,1
32586084,32586088,1
32586084,32603775,41
32586084,32620019,1
32586084,32620804,1
32586084,32654866,3
32586084,32671897,11
32586084,34765531,68
32586084,34782693,1
32586084,34800120,1
32586084,34800249,1
32586084,34817677,6
32586084,34851864,1
32586084,34851991,3
32586084,37048212,1
32586084,37116325,4
32586084,39262112,1
32586084,39364554,2
32586088,32569453,1
32586088,34816884,1
32586088,34903346,1
32586216,32620275,1
32586479,32534474,1
32586479,32535128,8
32586479,32585824,1
32586479,34765531,12
32586479,34799728,1
32586479,37082660,1
32586610,32517968,5
32586610,32603775,1
32586610,34800120,1
32586610,34851991,2
32586610,37013884,1
32586740,32517969,1
32586740,32534209,1
32586740,32603771,4
32586740,34765531,15
32586740,34851991,2
32586740,37098907,1
32586740,39416037,1
32586745,32603775,1
32586745,32620019,1
32586745,32620672,1
32586745,34765531,5
32586747,34817677,1
32602725,32517969,1
32602725,32620275,3
32602856,32603775,1
32602856,32620275,1
32602856,34834700,1
32602856,34885924,1
32602860,32568924,1
32602860,32603775,1
32602860,32655128,2
32602860,34765531,6
32602860,34834700,1
32602983,32517968,1
32602983,34765531,1
32602983,34782822,3
32602990,32534341,1
32602990,32534999,1
32602990,32568924,1
32602990,32603775,1
32602990,32620804,1
32602990,32671764,2
32602990,34765531,2
32602990,34800120,1
32602990,34816623,1
32602990,34850814,2
32602990,34868766,1
32603244,34765531,1
32603253,34765531,2
32603253,34886052,1
32603637,32603771,1
32603637,34885532,1
32603768,32534606,1
32603768,32534868,1
32603768,32586740,1
32603768,32603775,1
32603768,32637703,1
32603768,32671635,1
32603768,34765531,2
32603768,34782691,1
32603768,34851997,1
32603768,37150783,1
32603771,32534341,2
32603771,32534606,1
32603771,32534871,1
32603771,32552032,2
32603771,32586740,4
32603771,32603637,1
32603771,32603775,4
32603771,32620019,1
32603771,32671635,1
32603771,32672021,2
32603771,34765531,74
32603771,34782829,1
32603771,34799464,1
32603771,34816884,1
32603771,34833782,1
32603771,34851991,4
32603771,34885532,4
32603771,37150654,1
32603771,37150783,1
32603771,39416037,2
32603775,32517968,86
32603775,32517969,16
32603775,32534209,1
32603775,32534603,5
32603775,32552032,1
32603775,32552420,13
32603775,32568399,35
32603775,32568407,2
32603775,32569316,1
32603775,32586084,19
32603775,32586088,1
32603775,32586742,1
32603775,32586747,1
32603775,32602856,1
32603775,32603637,1
32603775,32603768,1
32603775,32603771,1
32603775,32620019,12
32603775,32620275,3
32603775,32620414,6
32603775,32620672,8
32603775,32620804,1
32603775,32654863,5
32603775,32655128,1
32603775,32671761,4
32603775,32671764,1
32603775,32671893,8
32603775,32671897,43
32603775,32672021,1
32603775,34765277,2
32603775,34765531,181
32603775,34765931,2
32603775,34782693,1
32603775,34782822,49
32603775,34782827,1
32603775,34799464,6
32603775,34799859,8
32603775,34800120,1
32603775,34800514,1
32603775,34816629,1
32603775,34816884,24
32603775,34817677,1
32603775,34850812,1
32603775,34851991,7
32603775,34868766,3
32603775,34885532,1
32603775,34886052,1
32603775,34902819,1
32603775,34902822,1
32603775,34903346,1
32603775,37116325,2
32603775,37150783,1
32603775,39329968,1
32603775,39330881,2
32603775,39364554,1
32619883,32568797,1
32619883,32586747,1
32619883,32654998,1
32619883,34765531,1
32619883,34782822,1
32619883,34817677,1
32619883,34851598,1
32619885,32603771,1
32619885,32603775,4
32619885,32620414,1
32619885,32620672,1
32619885,32620804,1
32619885,32654863,4
32619885,32671761,2
32619885,32671897,1
32619885,32672021,1
32619885,34765531,3
32619885,34782822,1
32619885,34834174,1
32619885,34834700,3
32619885,34851475,2
32619885,34868766,1
32619885,34885532,5
32619885,34903220,1
32619885,37099299,1
32619885,39278618,2
32620019,32517968,3
32620019,32534341,1
32620019,32534868,2
32620019,32568399,1
32620019,32568406,1
32620019,32586745,1
32620019,32603771,1
32620019,32603775,6
32620019,32620672,4
32620019,32671635,2
32620019,32671893,1
32620019,32671897,2
32620019,34765531,30
32620019,34782822,6
32620019,34833783,1
32620019,34850812,2
32620143,34765531,3
32620143,34782822,1
32620144,32603771,1
32620144,34765531,1
32620148,32620934,1
32620275,32534341,1
32620275,32552416,2
32620275,32568399,3
32620275,32585823,1
32620275,32586084,8
32620275,32586088,1
32620275,32586216,3
32620275,32603771,4
32620275,32603775,4
32620275,32671635,1
32620275,32671761,2
32620275,32672021,2
32620275,32672156,1
32620275,34765531,31
32620275,34765662,1
32620275,34765668,1
32620275,34782822,1
32620275,34783349,4
32620275,34816884,6
32620275,34850814,1
32620275,34851208,1
32620275,34851991,3
32620275,37082660,5
32620275,37099299,2
32620408,32535128,2
32620414,32552420,11
32620414,32603771,3
32620414,32603775,3
32620414,34765531,38
32620414,34782822,3
32620414,34799335,1
32620414,34833782,2
32620414,34851991,2
32620414,34885532,2
32620672,32603775,3
32620672,32620019,1
32620672,32620934,1
32620672,32671897,1
32620672,34765531,2
32620672,34782822,1
32620804,32517707,1
32620804,32517968,3
32620804,32568399,2
32620804,32586084,2
32620804,32603775,6
32620804,32671761,1
32620804,32671764,4
32620804,34765531,3
32620804,34765662,1
32620804,34782822,2
32620804,34800120,2
32620804,34800514,1
32620804,34816884,2
32620804,34817677,1
32620804,34833783,1
32620804,34885532,1
32620804,37099561,1
32620804,39279011,1
32620806,32552420,1
32620806,32603771,1
32620806,32671761,1
32620934,32620019,1
32620934,34765531,4
32620934,34851991,2
32620934,34868766,2
32637044,34765531,1
