scope,domain,control_tier,n_rows,tier_count,tier_rate,relaxed_tier_rate,n_controls_median,n_controls_min,n_controls_max
all,all,all_non_landmark,5087,549,0.1079221545114999,0.17122075879693335,105.0,50.0,5083.0
all,all,field_all_years,5087,322,0.06329860428543346,0.17122075879693335,105.0,50.0,5083.0
all,all,field_year,5087,1206,0.2370748967957539,0.17122075879693335,105.0,50.0,5083.0
all,all,field_year3,5087,182,0.03577747198741891,0.17122075879693335,105.0,50.0,5083.0
all,all,field_year_refbin,5087,2828,0.5559268724198938,0.17122075879693335,105.0,50.0,5083.0
domain,crispr,all_non_landmark,261,7,0.02681992337164751,0.04980842911877394,186.0,51.0,5083.0
domain,crispr,field_all_years,261,6,0.022988505747126436,0.04980842911877394,186.0,51.0,5083.0
domain,crispr,field_year_refbin,261,248,0.9501915708812261,0.04980842911877394,186.0,51.0,5083.0
domain,exoplanets,all_non_landmark,657,18,0.0273972602739726,0.0395738203957382,99.0,52.0,5083.0
domain,exoplanets,field_all_years,657,8,0.0121765601217656,0.0395738203957382,99.0,52.0,5083.0
domain,exoplanets,field_year,657,63,0.0958904109589041,0.0395738203957382,99.0,52.0,5083.0
domain,exoplanets,field_year3,657,14,0.0213089802130898,0.0395738203957382,99.0,52.0,5083.0
domain,exoplanets,field_year_refbin,657,554,0.8432267884322678,0.0395738203957382,99.0,52.0,5083.0
domain,gamma_ray_bursts_and_supernovae,all_non_landmark,729,35,0.04801097393689986,0.04801097393689986,99.0,52.0,5083.0
domain,gamma_ray_bursts_and_supernovae,field_year,729,171,0.2345679012345679,0.04801097393689986,99.0,52.0,5083.0
domain,gamma_ray_bursts_and_supernovae,field_year3,729,8,0.010973936899862825,0.04801097393689986,99.0,52.0,5083.0
domain,gamma_ray_bursts_and_supernovae,field_year_refbin,729,515,0.7064471879286695,0.04801097393689986,99.0,52.0,5083.0
domain,genetics_aging_and_longevity_in_model_organisms,all_non_landmark,551,94,0.1705989110707804,0.24319419237749546,78.0,50.0,5083.0
domain,genetics_aging_and_longevity_in_model_organisms,field_all_years,551,40,0.07259528130671507,0.24319419237749546,78.0,50.0,5083.0
domain,genetics_aging_and_longevity_in_model_organisms,field_year,551,317,0.5753176043557169,0.24319419237749546,78.0,50.0,5083.0
domain,genetics_aging_and_longevity_in_model_organisms,field_year3,551,56,0.10163339382940109,0.24319419237749546,78.0,50.0,5083.0
domain,genetics_aging_and_longevity_in_model_organisms,field_year_refbin,551,44,0.07985480943738657,0.24319419237749546,78.0,50.0,5083.0
domain,graphene_2d_materials,all_non_landmark,255,27,0.10588235294117647,0.12156862745098039,77.0,50.0,5083.0
domain,graphene_2d_materials,field_all_years,255,4,0.01568627450980392,0.12156862745098039,77.0,50.0,5083.0
domain,graphene_2d_materials,field_year,255,163,0.6392156862745098,0.12156862745098039,77.0,50.0,5083.0
domain,graphene_2d_materials,field_year3,255,14,0.054901960784313725,0.12156862745098039,77.0,50.0,5083.0
domain,graphene_2d_materials,field_year_refbin,255,47,0.1843137254901961,0.12156862745098039,77.0,50.0,5083.0
domain,ipsc_reprogramming,all_non_landmark,812,119,0.14655172413793102,0.24876847290640394,113.0,50.0,5083.0
domain,ipsc_reprogramming,field_all_years,812,83,0.1022167487684729,0.24876847290640394,113.0,50.0,5083.0
domain,ipsc_reprogramming,field_year,812,19,0.023399014778325122,0.24876847290640394,113.0,50.0,5083.0
domain,ipsc_reprogramming,field_year_refbin,812,591,0.7278325123152709,0.24876847290640394,113.0,50.0,5083.0
domain,microbiome_metagenomics,all_non_landmark,492,127,0.258130081300813,0.2784552845528455,173.0,50.0,5083.0
domain,microbiome_metagenomics,field_all_years,492,10,0.02032520325203252,0.2784552845528455,173.0,50.0,5083.0
domain,microbiome_metagenomics,field_year3,492,3,0.006097560975609756,0.2784552845528455,173.0,50.0,5083.0
domain,microbiome_metagenomics,field_year_refbin,492,352,0.7154471544715447,0.2784552845528455,173.0,50.0,5083.0
domain,perovskite_solar_cells,all_non_landmark,299,4,0.013377926421404682,0.013377926421404682,138.0,52.0,5083.0
domain,perovskite_solar_cells,field_year,299,64,0.2140468227424749,0.013377926421404682,138.0,52.0,5083.0
domain,perovskite_solar_cells,field_year_refbin,299,231,0.7725752508361204,0.013377926421404682,138.0,52.0,5083.0
domain,topological_insulators,all_non_landmark,474,18,0.0379746835443038,0.0379746835443038,87.0,50.0,5083.0
domain,topological_insulators,field_year,474,280,0.5907172995780591,0.0379746835443038,87.0,50.0,5083.0
domain,topological_insulators,field_year3,474,12,0.02531645569620253,0.0379746835443038,87.0,50.0,5083.0
domain,topological_insulators,field_year_refbin,474,164,0.3459915611814346,0.0379746835443038,87.0,50.0,5083.0
domain,ubiquitin_and_proteasome_pathways,all_non_landmark,557,100,0.17953321364452424,0.4865350089766607,77.0,50.0,5083.0
domain,ubiquitin_and_proteasome_pathways,field_all_years,557,171,0.30700179533213645,0.4865350089766607,77.0,50.0,5083.0
domain,ubiquitin_and_proteasome_pathways,field_year,557,129,0.23159784560143626,0.4865350089766607,77.0,50.0,5083.0
domain,ubiquitin_and_proteasome_pathways,field_year3,557,75,0.13464991023339318,0.4865350089766607,77.0,50.0,5083.0
domain,ubiquitin_and_proteasome_pathways,field_year_refbin,557,82,0.14721723518850988,0.4865350089766607,77.0,50.0,5083.0
