model,kind,metric,oof_spearman,ci_low,ci_high,delta_vs_equal,fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,linear_oof_spearman,equal_weight_spearman,delta_vs_linear
equal_weights,fixed,,0.21762994655897314,0.19096130899695551,0.24443599255754753,0.0,,,,,,,,,
best_single_indicator,single_indicator,DeltaQ0,0.24486597840463187,0.2201477036640347,0.272985861125457,0.02723603184565873,,,,,,,,,
reference_count,bibliometric,,0.005766974701109931,-0.021226128856023752,0.0329975695886833,-0.2118629718578632,,,,,,,,,
cited_by_count,bibliometric,,0.028431279949014787,-0.0025133704563767988,0.058859598650298606,-0.18919866660995835,,,,,,,,,
random_dirichlet_median,sampled_weights,,0.17325963106059084,,,-0.0443703154983823,,,,,,,,,
learned_weight_oof,learned_hybrid,,0.29317719965722583,0.27142070412476693,0.3235872823977191,0.07554725309825269,,,,,,,,,
quadratic_ridge_oof,,,,,,0.10599202972759295,0.0,5087.0,5087.0,,,0.3236219762865661,0.29317719965722583,0.21762994655897314,0.030444776629340253
quadratic_ridge_oof_fold,,,,,,,1.0,1018.0,1018.0,0.01,0.429972433060364,0.32548676399783777,0.29317719965722583,0.21762994655897314,
quadratic_ridge_oof_fold,,,,,,,2.0,2036.0,1017.0,0.01,0.4025930004186795,0.3495641622774874,0.29317719965722583,0.21762994655897314,
quadratic_ridge_oof_fold,,,,,,,3.0,3053.0,1017.0,0.03,0.38846729531620644,0.2982514169299405,0.29317719965722583,0.21762994655897314,
quadratic_ridge_oof_fold,,,,,,,4.0,4070.0,1017.0,0.01,0.367317417560204,0.3113389987875066,0.29317719965722583,0.21762994655897314,
