scope,domain,fold_id,metric,metric_active,target,n,spearman
all,all,-1,B,1,RGPM,5087,0.1014364133323216
all,all,-1,B,1,RGPM_v3_balanced,5087,0.11283805106939357
all,all,-1,B,1,RGPM_mahalanobis_debug,5087,0.11654779415557093
all,all,-1,B,1,RGPM_breadth_component,5087,0.031012593512396453
all,all,-1,B,1,RGPM_boundary_component,5087,0.14941755908095805
all,all,-1,B,1,RGPM_consolidation_component,5087,-0.04216086261853971
all,all,-1,B,1,community_reach_z,5087,-0.01701134984689208
all,all,-1,B,1,field_entropy_z,5087,0.06817151442671973
all,all,-1,B,1,cross_community_adoption_z,5087,0.07253723241801377
all,all,-1,B,1,path_shortening_z,5087,0.2144990335186513
all,all,-1,B,1,modularity_shock_z,5087,0.16561010198890758
all,all,-1,B,1,partition_change_z,5087,0.12173408257293666
all,all,-1,B,1,boundary_mixing_z,5087,0.06572808214218265
all,all,-1,B,1,post_perturbation_concentration_z,5087,-0.05356726658672208
all,all,-1,B,1,hub_formation_z,5087,0.042232790252498834
all,all,-1,RS,1,RGPM,5087,0.13649168067795886
all,all,-1,RS,1,RGPM_v3_balanced,5087,0.1569212229086449
all,all,-1,RS,1,RGPM_mahalanobis_debug,5087,0.19244616769171033
all,all,-1,RS,1,RGPM_breadth_component,5087,0.13235090246108325
all,all,-1,RS,1,RGPM_boundary_component,5087,0.12529715122195823
all,all,-1,RS,1,RGPM_consolidation_component,5087,-0.12553261778069683
all,all,-1,RS,1,community_reach_z,5087,0.05572118084634711
all,all,-1,RS,1,field_entropy_z,5087,0.18847127183352208
all,all,-1,RS,1,cross_community_adoption_z,5087,0.15326361287788068
all,all,-1,RS,1,path_shortening_z,5087,0.3744468336666123
all,all,-1,RS,1,modularity_shock_z,5087,-0.0027474197444409686
all,all,-1,RS,1,partition_change_z,5087,0.26019863699565565
all,all,-1,RS,1,boundary_mixing_z,5087,-0.14063674193117848
all,all,-1,RS,1,post_perturbation_concentration_z,5087,-0.14266090534399203
all,all,-1,RS,1,hub_formation_z,5087,0.01549099915349012
all,all,-1,DeltaQ0,1,RGPM,5087,0.24486597840463187
all,all,-1,DeltaQ0,1,RGPM_v3_balanced,5087,0.2298432226361213
all,all,-1,DeltaQ0,1,RGPM_mahalanobis_debug,5087,0.10746487607488736
all,all,-1,DeltaQ0,1,RGPM_breadth_component,5087,0.09831976854848695
all,all,-1,DeltaQ0,1,RGPM_boundary_component,5087,0.3020832959511965
all,all,-1,DeltaQ0,1,RGPM_consolidation_component,5087,-0.08365264912807945
all,all,-1,DeltaQ0,1,community_reach_z,5087,0.022950863813194687
all,all,-1,DeltaQ0,1,field_entropy_z,5087,0.07082112399693599
all,all,-1,DeltaQ0,1,cross_community_adoption_z,5087,0.1697696088314397
all,all,-1,DeltaQ0,1,path_shortening_z,5087,0.028020612150368506
all,all,-1,DeltaQ0,1,modularity_shock_z,5087,0.510008355588896
all,all,-1,DeltaQ0,1,partition_change_z,5087,0.09024970951493685
all,all,-1,DeltaQ0,1,boundary_mixing_z,5087,0.5253973008585145
all,all,-1,DeltaQ0,1,post_perturbation_concentration_z,5087,-0.09187531305833246
all,all,-1,DeltaQ0,1,hub_formation_z,5087,0.004424841010534136
all,all,-1,Uzzi,1,RGPM,5087,-0.05851370685551319
all,all,-1,Uzzi,1,RGPM_v3_balanced,5087,-0.0748038519594834
all,all,-1,Uzzi,1,RGPM_mahalanobis_debug,5087,-0.10572854694572971
all,all,-1,Uzzi,1,RGPM_breadth_component,5087,-0.055149031331190354
all,all,-1,Uzzi,1,RGPM_boundary_component,5087,-0.05849296195616491
all,all,-1,Uzzi,1,RGPM_consolidation_component,5087,0.018834407706788826
all,all,-1,Uzzi,1,community_reach_z,5087,-0.01730482491407396
all,all,-1,Uzzi,1,field_entropy_z,5087,-0.031695744872426795
all,all,-1,Uzzi,1,cross_community_adoption_z,5087,-0.03654426548389803
all,all,-1,Uzzi,1,path_shortening_z,5087,-0.10220251055126865
all,all,-1,Uzzi,1,modularity_shock_z,5087,0.004473428881864055
all,all,-1,Uzzi,1,partition_change_z,5087,-0.095951608235687
all,all,-1,Uzzi,1,boundary_mixing_z,5087,0.09398803175207375
all,all,-1,Uzzi,1,post_perturbation_concentration_z,5087,0.023402387278530827
all,all,-1,Uzzi,1,hub_formation_z,5087,-0.02073402112374178
all,all,-1,RTD,1,RGPM,5087,0.17911045165605738
all,all,-1,RTD,1,RGPM_v3_balanced,5087,0.24953633175883772
all,all,-1,RTD,1,RGPM_mahalanobis_debug,5087,0.33027391523673755
all,all,-1,RTD,1,RGPM_breadth_component,5087,0.18762145912637915
all,all,-1,RTD,1,RGPM_boundary_component,5087,0.2043617692203059
all,all,-1,RTD,1,RGPM_consolidation_component,5087,-0.1717569739091835
all,all,-1,RTD,1,community_reach_z,5087,0.08095522132563511
all,all,-1,RTD,1,field_entropy_z,5087,0.12579326535855576
all,all,-1,RTD,1,cross_community_adoption_z,5087,0.24389024085032324
all,all,-1,RTD,1,path_shortening_z,5087,0.3738709936376706
all,all,-1,RTD,1,modularity_shock_z,5087,-0.011605741532972247
all,all,-1,RTD,1,partition_change_z,5087,0.3509392488386176
all,all,-1,RTD,1,boundary_mixing_z,5087,-0.21395790072951343
all,all,-1,RTD,1,post_perturbation_concentration_z,5087,-0.21224486902544346
all,all,-1,RTD,1,hub_formation_z,5087,0.020846861149402283
all,all,-1,BurtIP,1,RGPM,5087,0.11021685642806212
all,all,-1,BurtIP,1,RGPM_v3_balanced,5087,0.11204742911892761
all,all,-1,BurtIP,1,RGPM_mahalanobis_debug,5087,0.10380820878844547
all,all,-1,BurtIP,1,RGPM_breadth_component,5087,0.0498421875617777
all,all,-1,BurtIP,1,RGPM_boundary_component,5087,0.13124527434719407
all,all,-1,BurtIP,1,RGPM_consolidation_component,5087,-0.057555517318914874
all,all,-1,BurtIP,1,community_reach_z,5087,0.017589229751327717
all,all,-1,BurtIP,1,field_entropy_z,5087,0.08498849357207228
all,all,-1,BurtIP,1,cross_community_adoption_z,5087,0.0755349148481914
all,all,-1,BurtIP,1,path_shortening_z,5087,0.26060572639336166
all,all,-1,BurtIP,1,modularity_shock_z,5087,0.16033316549119425
all,all,-1,BurtIP,1,partition_change_z,5087,0.11694102537934023
all,all,-1,BurtIP,1,boundary_mixing_z,5087,0.04883425471615738
all,all,-1,BurtIP,1,post_perturbation_concentration_z,5087,-0.06560171856042502
all,all,-1,BurtIP,1,hub_formation_z,5087,0.029079975779880876
all,all,-1,PDE,1,RGPM,5087,0.1373301872176453
all,all,-1,PDE,1,RGPM_v3_balanced,5087,0.15135527789275635
all,all,-1,PDE,1,RGPM_mahalanobis_debug,5087,0.18802683625430303
all,all,-1,PDE,1,RGPM_breadth_component,5087,0.13330059031057673
all,all,-1,PDE,1,RGPM_boundary_component,5087,0.11691917347741909
all,all,-1,PDE,1,RGPM_consolidation_component,5087,-0.12770072377980254
all,all,-1,PDE,1,community_reach_z,5087,0.05929350130774358
all,all,-1,PDE,1,field_entropy_z,5087,0.19084442574295937
all,all,-1,PDE,1,cross_community_adoption_z,5087,0.15314466723053882
all,all,-1,PDE,1,path_shortening_z,5087,0.3832986138490061
all,all,-1,PDE,1,modularity_shock_z,5087,-0.007554484495995356
all,all,-1,PDE,1,partition_change_z,5087,0.25869549094647787
all,all,-1,PDE,1,boundary_mixing_z,5087,-0.15279696349903693
all,all,-1,PDE,1,post_perturbation_concentration_z,5087,-0.1442487165689872
all,all,-1,PDE,1,hub_formation_z,5087,0.014443461955260672
domain,crispr,-1,B,1,RGPM,261,0.08629736527134033
domain,crispr,-1,B,1,RGPM_v3_balanced,261,0.052073891510896364
domain,crispr,-1,B,1,RGPM_mahalanobis_debug,261,-0.06053417653266082
domain,crispr,-1,B,1,RGPM_breadth_component,261,0.0493499318902454
domain,crispr,-1,B,1,RGPM_boundary_component,261,0.07316660635855925
domain,crispr,-1,B,1,RGPM_consolidation_component,261,-0.14774588075853784
domain,crispr,-1,B,1,community_reach_z,261,0.09572280782680312
domain,crispr,-1,B,1,field_entropy_z,261,0.18115113245605854
domain,crispr,-1,B,1,cross_community_adoption_z,261,0.11168197176455355
domain,crispr,-1,B,1,path_shortening_z,261,0.13766807358723177
domain,crispr,-1,B,1,modularity_shock_z,261,0.0018877132504788769
domain,crispr,-1,B,1,partition_change_z,261,0.14170119747515142
domain,crispr,-1,B,1,boundary_mixing_z,261,0.0025686071407320125
domain,crispr,-1,B,1,post_perturbation_concentration_z,261,-0.16137366085448837
domain,crispr,-1,B,1,hub_formation_z,261,0.08639421735324933
domain,crispr,-1,RS,1,RGPM,261,-0.08480860743871037
domain,crispr,-1,RS,1,RGPM_v3_balanced,261,-0.1038438207356213
domain,crispr,-1,RS,1,RGPM_mahalanobis_debug,261,-0.050396991343388625
domain,crispr,-1,RS,1,RGPM_breadth_component,261,-0.07707238738641141
domain,crispr,-1,RS,1,RGPM_boundary_component,261,-0.04986916195890775
domain,crispr,-1,RS,1,RGPM_consolidation_component,261,-0.07243869513527937
domain,crispr,-1,RS,1,community_reach_z,261,-0.05564710809286279
domain,crispr,-1,RS,1,field_entropy_z,261,-0.12457103878906568
domain,crispr,-1,RS,1,cross_community_adoption_z,261,-0.05333989183540156
domain,crispr,-1,RS,1,path_shortening_z,261,0.05973865738930917
domain,crispr,-1,RS,1,modularity_shock_z,261,-0.19825507568612608
domain,crispr,-1,RS,1,partition_change_z,261,0.05218596327754626
domain,crispr,-1,RS,1,boundary_mixing_z,261,-0.19211347031693898
