audit_type,run_name,check,domain,status,value,threshold,details,id_suffix_duplicate_rate,n_landmarks,label,expected_year,expected_doi,match_method,n_matches,matched_ids,matched_titles,source_domain
input_integrity,multi_domain,id_suffix_duplicate_rate,all,pass,0.028959999999999986,0.05,"24,276 unique suffixes / 25,000 rows",,,,,,,,,,
input_integrity,multi_domain,max_pairwise_id_suffix_jaccard,all,pass,0.06541657788195185,0.5,graphene_2d_materials vs topological_insulators,,,,,,,,,,
input_integrity,multi_domain,cross_domain_title_duplicate_rate,all,pass,0.029759409841562577,0.5,"24,585 unique title-domain pairs",,,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,crispr,pass,2500.0,1.0,"2,500 works; 3 landmarks",0.0,3.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,exoplanets,pass,2500.0,1.0,"2,500 works; 1 landmarks",0.0,1.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,gamma_ray_bursts_and_supernovae,pass,2500.0,1.0,"2,500 works; 2 landmarks",0.0,2.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,genetics_aging_and_longevity_in_model_organisms,pass,2500.0,1.0,"2,500 works; 2 landmarks",0.0,2.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,graphene_2d_materials,pass,2500.0,1.0,"2,500 works; 1 landmarks",0.0,1.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,ipsc_reprogramming,pass,2500.0,1.0,"2,500 works; 3 landmarks",0.0,3.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,microbiome_metagenomics,pass,2500.0,1.0,"2,500 works; 2 landmarks",0.0,2.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,perovskite_solar_cells,pass,2500.0,1.0,"2,500 works; 3 landmarks",0.0,3.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,topological_insulators,pass,2500.0,1.0,"2,500 works; 2 landmarks",0.0,2.0,,,,,,,,
domain_summary,multi_domain,domain_rows_and_landmarks,ubiquitin_and_proteasome_pathways,pass,2500.0,1.0,"2,500 works; 2 landmarks",0.0,2.0,,,,,,,,
expected_landmark,,,crispr,matched,,,,,,Jinek 2012,2012.0,10.1126/science.1225829,doi_or_title,1.0,https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,crispr
expected_landmark,,,crispr,matched,,,,,,Cong/Mali 2013,2013.0,10.1126/science.1231143,doi_or_title,1.0,https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,crispr
expected_landmark,,,crispr,matched,,,,,,Mali 2013,2013.0,10.1126/science.1232033,doi_or_title,1.0,https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,crispr
expected_landmark,,,graphene_2d_materials,matched,,,,,,Novoselov 2004,2004.0,10.1126/science.1102896,doi_or_title,1.0,https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials
expected_landmark,,,ipsc_reprogramming,matched,,,,,,Takahashi/Yamanaka 2006,2006.0,10.1016/j.cell.2006.07.024,doi_or_title,1.0,https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming
expected_landmark,,,ipsc_reprogramming,matched,,,,,,Yu 2007,2007.0,10.1126/science.1151526,doi_or_title,1.0,https://openalex.org/W2142046859,Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells,ipsc_reprogramming
expected_landmark,,,ipsc_reprogramming,matched,,,,,,Takahashi 2007,2007.0,10.1016/j.cell.2007.11.019,doi_or_title,1.0,https://openalex.org/W2138977668,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,ipsc_reprogramming
